<doc id="edoc_wd_1760-01-02" attrs="word" year="1760" month="01" day="02" corpus="1">
<head id="hl1">
Erfurt	w39
<p id="p58">
Von	w7283
der	w7284
N	w7285
<g/>
.
Oe	w7287
<g/>
.
Regierung	w7289
wegen	w7290
<g/>
,
wird	w7292
mit	w7293
gegenwartig	w7294
<g/>
=
offenen	w7296
Edict	w7297
jedermänniglich	w7298
so=wol	w7299
<g/>
=
An	w7301
<g/>
-
als	w7303
Abwesenden	w7304
kund	w7305
und	w7306
zu	w7307
wisen	w7308
gemacht	w7309
<g/>
,
welcher	w7311
gestalten	w7312
über	w7313
des	w7314
verstorbenen	w7315
Johann	w7316
Garzeroll	w7317
gewest	w7318
Kaiserl	w7319
<g/>
.
Königl	w7321
<g/>
.
Hofmusici	w7323
<g/>
,
in	w7325
verfall	w7326
geratenes	w7327
Vermögen	w7328
<g/>
,
ein	w7330
ordentlicher	w7331
Concurs	w7332
angeordnet	w7333
<g/>
,
und	w7335
desselben	w7336
sammentliche	w7337
Glaubigere	w7338
zu	w7339
Anmeld	w7340
<g/>
=
und	w7342
Liquidirung	w7343
ihrer	w7344
an	w7345
erst	w7346
<g/>
=
bemeldten	w7348
Johann	w7349
Garzeroll	w7350
zustellen	w7351
haben=der	w7352
<g/>
=
Sprüch	w7354
und	w7355
Forderungen	w7356
auf	w7357
den	w7358
9	w7359
Januarii	w7360
1760	w7361
<g/>
.
Nachmittag	w7363
um	w7364
3	w7365
<g/>
.
Uhr	w7367
vor	w7368
Regierung	w7369
zur	w7370
gewöhnlichen	w7371
Tagsatzung	w7372
<g/>
,
für	w7374
die	w7375
erst	w7376
<g/>
=
andert=und	w7378
<g/>
=
dritte	w7380
<g/>
,
auch	w7382
allendliche	w7383
Frist	w7384
sub	w7385
clausula	w7386
præclusipraeclusi	w7387
zu	w7388
erscheinen	w7389
anberaumet	w7390
worden	w7391
<g/>
;
als	w7393
werden	w7394
all	w7395
<g/>
=
und	w7397
jede	w7398
Glaubigere	w7399
entweder	w7400
selbst	w7401
personlich	w7402
<g/>
,
oder	w7404
durch	w7405
hierzu	w7406
genugsam	w7407
gevoll=mächtigte	w7408
<g/>
=
Gewalts	w7410
<g/>
=
tragere	w7412
erscheinen	w7413
<g/>
,
und	w7415
ihre	w7416
anmeldente	w7417
Anforderungen	w7418
in	w7419
beglaubten	w7420
Abschrif=ten	w7421
<g/>
=
alsogewiß	w7423
einlegen	w7424
<g/>
,
wie	w7426
im	w7427
wiedrigen	w7428
der	w7429
Ausbleibende	w7430
von	w7431
gegenwartiger	w7432
Concurs	w7433
<g/>
-
massa	w7435
ganzlich	w7436
ausgeschlossen	w7437
seyn	w7438
<g/>
,
und	w7440
ihme	w7441
diesfalls	w7442
das	w7443
ewige	w7444
Stillschweigen	w7445
auferleget	w7446
werden	w7447
solle	w7448
<g/>
,
wornach	w7450
sich	w7451
ein	w7452
jeder	w7453
zu	w7454
richten	w7455
<g/>
,
und	w7457
für	w7458
Scha=den	w7459
<g/>
=
zu	w7461
hütten	w7462
wissen	w7463
wird	w7464
<g/>
,
so	w7466
beschehen	w7467
Wien	w7468
den	w7469
10	w7470
<g/>
.
November	w7472
1759	w7473
<g/>
.
</p>
<p id="p59">
Von	w7475
N	w7476
<g/>
.
Richter	w7478
und	w7479
Raht	w7480
des	w7481
Markts	w7482
Him=berg	w7483
<g/>
=
wegen	w7485
<g/>
,
wird	w7487
hiemit	w7488
durch	w7489
dieses	w7490
offentli=che	w7491
<g/>
=
Edict	w7493
jedermänniglich	w7494
kund	w7495
und	w7496
zu	w7497
wissen	w7498
ge=macht	w7499
<g/>
=
<g/>
;
welcher	w7502
<g/>
=
gestalten	w7504
des	w7505
Johann	w7506
Schusters	w7507
<g/>
,
gewest	w7509
<g/>
=
burgerl	w7511
<g/>
.
Fleischhacker	w7513
<g/>
=
meisters	w7515
und	w7516
behau=sten	w7517
<g/>
=
Unterthans	w7519
in	w7520
dem	w7521
Markt	w7522
Himberg	w7523
seel	w7524
<g/>
.
hin=terlassenes	w7526
<g/>
=
Vermögen	w7528
ad	w7529
Cridam	w7530
gediehen	w7531
<g/>
,
die	w7533
in	w7534
dem	w7535
Markt	w7536
Himberg	w7537
gelegen	w7538
Schusterische	w7539
Behausung	w7540
<g/>
,
worauf	w7542
auch	w7543
das	w7544
Fleischhacker	w7545
<g/>
=
ge=werb	w7547
<g/>
=
gegen	w7549
den	w7550
gewöhnlich	w7551
jährlichen	w7552
Bestand	w7553
verliehen	w7554
wird	w7555
<g/>
,
samt	w7557
denen	w7558
hierzu	w7559
gehörigen	w7560
vier	w7561
Haus	w7562
<g/>
-
gründen	w7564
<g/>
,
24	w7566
<g/>
.
ein	w7568
Viertel	w7569
Joch	w7570
überland=äckern	w7571
<g/>
=
<g/>
,
und	w7574
ein	w7575
Viertel	w7576
Wein	w7577
<g/>
=
garten	w7579
bey	w7580
einer	w7581
noch	w7582
<g/>
=
und	w7584
letzt	w7585
<g/>
=
maligen	w7587
Licitation	w7588
offentlich	w7589
wer=den	w7590
<g/>
=
ausgefeilet	w7592
<g/>
,
und	w7594
dem	w7595
Meist	w7596
<g/>
=
bietenden	w7598
ver=kauffet	w7599
<g/>
=
werden	w7601
<g/>
;
da	w7603
nun	w7604
hierzu	w7605
der	w7606
11	w7607
<g/>
.
künfti=gen	w7609
<g/>
=
Monats	w7611
Januarii	w7612
1760	w7613
<g/>
.
bestimmet	w7615
worden	w7616
<g/>
.
Als	w7618
wird	w7619
ein	w7620
solches	w7621
jedermänniglich	w7622
<g/>
,
wer	w7624
et=wann	w7625
<g/>
=
vorbemeldete	w7627
Behausung	w7628
<g/>
,
samt	w7630
zugehöri=gen	w7631
<g/>
=
Aeckern	w7633
und	w7634
Grund	w7635
<g/>
=
stucken	w7637
käuflichen	w7638
an	w7639
sich	w7640
zu	w7641
bringen	w7642
gesinnet	w7643
ist	w7644
<g/>
,
mit	w7646
diesem	w7647
offentlichen	w7648
Edict	w7649
zu	w7650
dem	w7651
Ende	w7652
kund	w7653
und	w7654
zu	w7655
wissen	w7656
gemacht	w7657
<g/>
,
damit	w7659
ein	w7660
sich	w7661
hervorthuender	w7662
Kauffer	w7663
bey	w7664
obbe=meld	w7665
<g/>
=
<g/>
=
auf	w7668
dem	w7669
11	w7670
<g/>
.
künftigen	w7672
Monats	w7673
Januarii	w7674
1760	w7675
fruh	w7676
um	w7677
9	w7678
<g/>
.
Uhr	w7680
auf	w7681
dem	w7682
Markt	w7683
Himber=gischen	w7684
<g/>
=
Raht	w7686
<g/>
=
haus	w7688
erscheinen	w7689
<g/>
,
und	w7691
sich	w7692
alda	w7693
an=melden	w7694
<g/>
=
lassen	w7696
mögen	w7697
<g/>
.
Actum	w7699
Markt	w7700
Himberg	w7701
den	w7702
22	w7703
<g/>
.
Dec	w7705
<g/>
.
1752	w7707
<g/>
.
</p>
<p id="p60">
Von	w7710
Sr	w7711
<g/>
.
Hochwürden	w7713
und	w7714
Gnaden	w7715
Herrn	w7716
Offi-cialen	w7717
<g/>
-
<g/>
,
und	w7720
Venerabilis	w7721
Consistorii	w7722
Archi	w7723
<g/>
-
Epi-scopalis	w7725
<g/>
-
wegen	w7727
<g/>
,
wird	w7729
durch	w7730
gegenwärtiges	w7731
Val=val	w7732
<g/>
=
<g/>
-
edict	w7735
nachfolgenden	w7736
Partheyen	w7737
<g/>
,
benanntlich	w7739
<g/>
:
dem	w7741
Jgnatz	w7742
Wolf	w7743
burgerl	w7744
<g/>
.
Schneider	w7746
<g/>
=
meister	w7748
<g/>
,
dem	w7750
Anton	w7751
Blumer	w7752
<g/>
,
ingleichen	w7754
burgerl	w7755
<g/>
.
Schnei=der	w7757
<g/>
=
<g/>
=
meister	w7760
<g/>
,
dem	w7762
Carl	w7763
Wernerth	w7764
herrschaftl	w7765
<g/>
.
Pfleger	w7767
zu	w7768
Traun	w7769
<g/>
,
dem	w7771
Fr	w7772
<g/>
.
Michael	w7774
Ord	w7775
<g/>
.
S	w7777
<g/>
.
Augustini	w7779
zu	w7780
Bruck	w7781
<g/>
,
dem	w7783
Herrn	w7784
Alexander	w7785
Mayer	w7786
PhilosophiæPhilosophiae	w7787
<g/>
&
MedicinæMedicinae	w7789
Doctori	w7790
<g/>
,
dem	w7792
Joseph	w7793
Ruep	w7794
Schneider	w7795
<g/>
=
meister	w7797
<g/>
,
dem	w7799
Michael	w7800
Buf=hauer	w7801
<g/>
=
Maurer	w7803
<g/>
=
meistern	w7805
zu	w7806
Höflein	w7807
<g/>
,
dem	w7809
Jo=seph	w7810
<g/>
=
Carl	w7812
Kollmann	w7813
Handels	w7814
<g/>
=
mann	w7816
zu	w7817
Bruck	w7818
<g/>
,
dem	w7820
Caspar	w7821
Kuvatsch	w7822
Schneider	w7823
<g/>
=
meister	w7825
zu	w7826
Rohrau	w7827
<g/>
,
dem	w7829
Martin	w7830
Hapel	w7831
Fleischhacker	w7832
<g/>
=
mei=stern	w7834
<g/>
=
zu	w7836
Höflein	w7837
<g/>
,
dem	w7839
Adam	w7840
Zwickelstorfer	w7841
<g/>
,
dem	w7843
Johann	w7844
Zwickelstorfer	w7845
<g/>
,
und	w7847
endlich	w7848
dem	w7849
Johann	w7850
Georg	w7851
Eygelsperger	w7852
<g/>
,
hiemit	w7854
kund	w7855
und	w7856
zu	w7857
wissen	w7858
gemacht	w7859
<g/>
:
Es	w7861
habe	w7862
untern	w7863
9	w7864
<g/>
.
Novembris	w7866
dies	w7867
Jahrs	w7868
1759	w7869
<g/>
.
der	w7871
gerichtl	w7872
<g/>
.
aufgestellte	w7874
Hofmannisch	w7875
<g/>
=
Curator	w7877
ad	w7878
lites	w7879
Herr	w7880
Augustin	w7881
Böck	w7882
<g/>
,
J	w7884
<g/>
.
U	w7886
<g/>
.
DoorDoctor	w7888
<g/>
,
auch	w7890
Hof	w7891
Kriegs	w7892
raht	w7893
und	w7894
Gerichts=advocat	w7895
<g/>
=
<g/>
,
bey	w7898
diesem	w7899
Venerabili	w7900
Foro	w7901
beygebracht	w7902
<g/>
,
welcher	w7904
<g/>
=
gestalten	w7906
vorgesetzte	w7907
Hofmannische	w7908
Credi=tores	w7909
<g/>
=
ihnen	w7911
durch	w7912
den	w7913
untern	w7914
7	w7915
<g/>
.
Septembris	w7917
hu-jus	w7918
<g/>
-
Anni	w7920
ergangenen	w7921
Cridä	w7922
<g/>
=
relations	w7924
<g/>
=
ausschlag	w7926
zu	w7927
prästiren	w7928
aufgetragene	w7929
respective	w7930
Legitimir=Producir	w7931
<g/>
=
<g/>
=
und	w7934
Einlegung	w7935
deren	w7936
Documenten	w7937
<g/>
,
wie	w7939
auch	w7940
ihre	w7941
Juramenta	w7942
am	w7943
fuglichsten	w7944
zusammen	w7945
auf	w7946
einmal	w7947
bey	w7948
einer	w7949
gnadig	w7950
anordnenden	w7951
Tag=satzung	w7952
<g/>
=
prästiren	w7954
konnten	w7955
<g/>
,
dahingegen	w7957
ihm	w7958
ein=und	w7959
<g/>
=
anderer	w7961
derenselben	w7962
Aufenthalt	w7963
nicht	w7964
eigent=lich	w7965
<g/>
=
bekannt	w7967
<g/>
,
folglichen	w7969
dann	w7970
obenbenannte	w7971
sam=mentliche	w7972
<g/>
=
Glaubigere	w7974
per	w7975
EdiumEdictum	w7976
ad	w7977
Valvas	w7978
hierzu	w7979
vorzuforderen	w7980
<g/>
,
das	w7982
nächste	w7983
und	w7984
kurzeste	w7985
Mittel	w7986
wäre	w7987
<g/>
;
dahero	w7989
hat	w7990
selber	w7991
gebetten	w7992
<g/>
,
1mo	w7994
<g/>
.
eine	w7996
hinlänglich	w7997
<g/>
,
jedoch	w7999
dergestalten	w8000
clausulirte	w8001
Tagsatzung	w8002
anzuordnen	w8003
<g/>
,
daß	w8005
hiebey	w8006
all	w8007
<g/>
=
und	w8009
je=de	w8010
<g/>
=
obbesagte	w8012
Hofmannische	w8013
Creditores	w8014
tertiætertiae	w8015
sis	w8016
also	w8017
gewiß	w8018
erscheinen	w8019
<g/>
,
und	w8021
zugleich	w8022
die	w8023
ihnen	w8024
auferlegte	w8025
respeiverespective	w8026
Legitimir	w8027
<g/>
=
Producir	w8029
<g/>
=
und	w8031
Einlegungen	w8032
deren	w8033
Documenten	w8034
<g/>
,
wie	w8036
auch	w8037
Ju=ramenta	w8038
<g/>
=
prästiren	w8040
<g/>
,
wie	w8042
im	w8043
widrigen	w8044
dieselbe	w8045
nicht	w8046
mehr	w8047
angehöret	w8048
<g/>
,
sondern	w8050
das	w8051
vorhandene	w8052
Hofmannische	w8053
Vermögen	w8054
unter	w8055
hie	w8056
liquidirende	w8057
Creditores	w8058
ohne	w8059
weiterem	w8060
vertheilet	w8061
<g/>
,
die	w8063
Aus=bleibend	w8064
<g/>
=
<g/>
=
und	w8067
nicht	w8068
Liquidirende	w8069
aber	w8070
nicht	w8071
mehr	w8072
gehöret	w8073
sondern	w8074
von	w8075
der	w8076
Hofmannischen	w8077
Con=curs	w8078
<g/>
=
<g/>
=
massa	w8081
gänzlichen	w8082
ausgeschlossen	w8083
<g/>
,
und	w8085
ihnen	w8086
das	w8087
ewige	w8088
Stillschweigen	w8089
auferleget	w8090
werden	w8091
solte	w8092
<g/>
,
dann	w8094
2do	w8095
hierzu	w8096
das	w8097
behörige	w8098
Valval	w8099
<g/>
=
edict	w8101
bey	w8102
der	w8103
Canzley	w8104
ausfertigen	w8105
zu	w8106
lassen	w8107
<g/>
.
Wann	w8109
nun	w8110
in	w8111
dieses	w8112
billige	w8113
Begehren	w8114
sub	w8115
eodem	w8116
Dato	w8117
ge=williget	w8118
<g/>
=
worden	w8120
<g/>
;
als	w8122
wird	w8123
ihnen	w8124
Eingangs	w8125
er=nannten	w8126
<g/>
=
Hofmannischen	w8128
Credits	w8129
<g/>
=
partheyen	w8131
hie=mit	w8132
<g/>
=
anbefohlen	w8134
<g/>
,
daß	w8136
selbe	w8137
auf	w8138
den	w8139
8	w8140
<g/>
.
kommen=den	w8142
<g/>
=
Monats	w8144
Januarii	w8145
1760	w8146
<g/>
.
fruh	w8148
um	w8149
9	w8150
<g/>
.
ihr	w8152
vor	w8153
diesem	w8154
Venerabili	w8155
Consistorio	w8156
persönlich	w8157
<g/>
,
</p>
<p id="p61">
oder	w8159
per	w8160
mandatarios	w8161
sufficienter	w8162
instruosinstructos	w8163
pro	w8164
Termino	w8165
1mo	w8166
<g/>
.
2do	w8168
<g/>
.
<g/>
&
3tio	w8171
<g/>
.
also	w8173
gewiß	w8174
zu	w8175
er=scheinen	w8176
<g/>
=
<g/>
,
und	w8179
zugleich	w8180
die	w8181
ihnen	w8182
auferlegte	w8183
re-spective	w8184
<g/>
-
Legitimir	w8186
<g/>
=
Producir	w8188
<g/>
=
und	w8190
Einlegungen	w8191
deren	w8192
Documenten	w8193
<g/>
,
wie	w8195
auch	w8196
die	w8197
Juramenta	w8198
prästiren	w8199
sollen	w8200
<g/>
,
als	w8202
im	w8203
widrigen	w8204
dieselbe	w8205
nicht	w8206
mehr	w8207
angehöret	w8208
<g/>
,
sondern	w8210
das	w8211
vorhandene	w8212
Hof=mannische	w8213
<g/>
=
Vermögen	w8215
unter	w8216
die	w8217
liquidirende	w8218
Glau=bigere	w8219
<g/>
=
rechtmäßig	w8221
vertheilet	w8222
<g/>
/
die	w8224
Ausbleibend=und	w8225
<g/>
=
nicht	w8227
Liquidirende	w8228
aber	w8229
von	w8230
der	w8231
Hofmanni=sche	w8232
<g/>
=
Concurs	w8234
<g/>
=
massa	w8236
gänzlich	w8237
ausgeschlossen	w8238
<g/>
,
und	w8240
ihnen	w8241
das	w8242
ewige	w8243
Stillschweigen	w8244
auferleget	w8245
seyn	w8246
solle	w8247
<g/>
.
So	w8249
allen	w8250
Eingangs	w8251
benannten	w8252
Credits=partheyen	w8253
<g/>
=
hiemit	w8255
zu	w8256
dem	w8257
Ende	w8258
erinneret	w8259
wird	w8260
<g/>
,
damit	w8262
dieselbe	w8263
sich	w8264
darnach	w8265
zu	w8266
richten	w8267
<g/>
,
und	w8269
für	w8270
Schaden	w8271
zu	w8272
huten	w8273
wissen	w8274
mögen	w8275
<g/>
.
Ex	w8277
Consistorio	w8278
Archi	w8279
<g/>
-
Episcopali	w8281
Viennensi	w8282
den	w8283
5	w8284
<g/>
.
Dec	w8286
<g/>
.
1759	w8288
<g/>
.
</p>
<p id="p62">
Von	w8290
der	w8291
N	w8292
<g/>
.
Oe	w8294
<g/>
.
Regierung	w8296
wegen	w8297
<g/>
,
wird	w8299
mit	w8300
gegenwärtig	w8301
<g/>
-
offenen	w8303
Edict	w8304
jedermänniglich	w8305
<g/>
,
so=wol	w8307
<g/>
=
An	w8309
<g/>
-
als	w8311
Abwesenden	w8312
<g/>
,
deme	w8314
daran	w8315
gelegen	w8316
<g/>
,
kund	w8318
und	w8319
zu	w8320
wissen	w8321
gemacht	w8322
<g/>
:
Es	w8324
habe	w8325
Regie=rung	w8326
<g/>
=
nach	w8328
erfolgt	w8329
tödtlichen	w8330
Hintritt	w8331
der	w8332
Ma=ria	w8333
<g/>
=
Theresia	w8335
di	w8336
Voglia	w8337
Wittib	w8338
<g/>
,
zu	w8340
Erfindung	w8341
desselben	w8342
etwann	w8343
verhandenen	w8344
Æris	w8345
alieni	w8346
<g/>
,
folgends	w8348
auch	w8349
zu	w8350
sicherer	w8351
Abhandlung	w8352
solcher	w8353
Verlassen=schaft	w8354
<g/>
=
für	w8356
nöhtig	w8357
befunden	w8358
<g/>
,
die	w8360
sammentliche	w8361
<g/>
,
sowol	w8363
in	w8364
<g/>
=
als	w8366
ausser	w8367
Land	w8368
befindliche	w8369
di	w8370
Voglai=sche	w8371
<g/>
=
Glaubiger	w8373
zu	w8374
Anmeld	w8375
<g/>
=
und	w8377
Liquidirung	w8378
ihrer	w8379
an	w8380
wiederholt	w8381
<g/>
=
di	w8383
Voglaische	w8384
Verlassenschaft	w8385
zu	w8386
stellen	w8387
habender	w8388
Sprüch	w8389
und	w8390
Forderungen	w8391
gericht=lich	w8392
<g/>
=
vorzuladen	w8394
<g/>
,
und	w8396
einzuberuffen	w8397
<g/>
;
zu	w8399
welchem	w8400
Ende	w8401
denenselben	w8402
der	w8403
24	w8404
<g/>
.
Tag	w8406
des	w8407
Monats	w8408
Ja=nuarii	w8409
<g/>
=
1760	w8411
<g/>
.
Nachmittag	w8413
um	w8414
4	w8415
<g/>
.
Uhr	w8417
zur	w8418
gewöhn=lichen	w8419
<g/>
=
Convocations	w8421
<g/>
=
und	w8423
Anmeldungs	w8424
<g/>
=
tagsatzung	w8426
zu	w8427
all	w8428
<g/>
=
endlicher	w8430
Frist	w8431
anberaumet	w8432
worden	w8433
<g/>
.
Sol=chemnach	w8435
<g/>
=
werden	w8437
all	w8438
<g/>
=
und	w8440
jede	w8441
<g/>
,
welche	w8443
bey	w8444
ge=dacht	w8445
<g/>
=
<g/>
=
Maria	w8448
Theresia	w8449
di	w8450
Voglaischer	w8451
Verlassen=schaft	w8452
<g/>
=
um	w8454
rechtmätiger	w8455
Forderung	w8456
<g/>
=
willen	w8458
einige	w8459
Sprüch	w8460
haben	w8461
<g/>
,
oder	w8463
zu	w8464
haben	w8465
vermeinen	w8466
<g/>
,
an	w8468
obbestimmten	w8469
Tag	w8470
und	w8471
Stund	w8472
vor	w8473
Regierung	w8474
in	w8475
der	w8476
daselbst	w8477
zu	w8478
solchem	w8479
Ende	w8480
offen	w8481
haltenden	w8482
Com=mißions	w8483
<g/>
=
stuben	w8485
entweder	w8486
selbst	w8487
persönlich	w8488
<g/>
,
oder	w8490
durch	w8491
hierzu	w8492
genugsam	w8493
gevollmächtigte	w8494
Gewalt=tragere	w8495
<g/>
=
also	w8497
gewiß	w8498
zu	w8499
erscheinen	w8500
<g/>
,
und	w8502
ihre	w8503
an	w8504
solche	w8505
Verlassenschaft	w8506
habende	w8507
Anforderung	w8508
anzu=melden	w8509
<g/>
=
<g/>
,
auch	w8512
rechtlich	w8513
zu	w8514
liquidiren	w8515
haben	w8516
<g/>
,
als	w8518
im	w8519
widrigen	w8520
die	w8521
Abhandlung	w8522
gleichwolen	w8523
vorge=nommen	w8524
<g/>
=
<g/>
,
und	w8527
ungehindert	w8528
deren	w8529
etwann	w8530
vor=handenen	w8531
<g/>
=
Glaubigern	w8533
<g/>
,
so	w8535
sich	w8536
mit	w8537
ihren	w8538
Anfor=derungen	w8539
<g/>
=
in	w8541
bestimmter	w8542
Zeit	w8543
nicht	w8544
angemeldet	w8545
<g/>
,
solche	w8547
Verlassenschaft	w8548
denen	w8549
rechtmäßigen	w8550
di	w8551
Vo=glaischen	w8552
<g/>
=
Erben	w8554
eingeantwortet	w8555
<g/>
,
auch	w8557
ansonsten	w8558
ex	w8559
officio	w8560
vorgelehret	w8561
werden	w8562
solle	w8563
<g/>
,
was	w8565
Rech=tens	w8566
<g/>
=
ist	w8568
<g/>
.
Wornach	w8570
sich	w8571
also	w8572
ein	w8573
jeder	w8574
zu	w8575
richten	w8576
wissen	w8577
wird	w8578
<g/>
.
So	w8580
beschehen	w8581
Wien	w8582
den	w8583
3	w8584
<g/>
.
De=cembris	w8586
<g/>
=
1759	w8588
<g/>
.
</p>
</doc>
