<doc id="edoc_wd_1727-11-12" attrs="word" year="1727" month="11" day="12" corpus="1">
<head id="hl1">
Peking	w54
welches	w7160
ihr	w7161
mir	w7162
nach	w7163
aufgedrukten	w7164
eu=rem	w7165
<g/>
=
Jnsigel	w7167
zuruk	w7168
gestellet	w7169
habet	w7170
<g/>
/
beweisen	w7172
<g/>
/
daß	w7174
das	w7175
von	w7176
mir	w7177
vorgesagte	w7178
Ungewitter	w7179
rich=tig	w7180
<g/>
=
zugetroffen	w7182
<g/>
/
und	w7184
hoffe	w7185
ich	w7186
auch	w7187
<g/>
/
daß	w7189
es	w7190
mit	w7191
denen	w7192
folgenden	w7193
Vorsagungen	w7194
<g/>
/
wie	w7196
auch	w7197
denen	w7198
<g/>
/
die	w7200
ich	w7201
euch	w7202
in	w7203
meinem	w7204
den	w7205
20sten	w7206
ver=wichenen	w7207
<g/>
=
Monats	w7209
Augusti	w7210
an	w7211
euch	w7212
abgeschickten	w7213
Briefe	w7214
geschrieben	w7215
<g/>
/
nicht	w7217
anderst	w7218
ergehen	w7219
werde	w7220
<g/>
.
</p>
<p id="p74">
Es	w7222
ist	w7223
weislich	w7224
<g/>
/
mein	w7226
Herr	w7227
<g/>
/
daß	w7229
man	w7230
sich	w7231
von	w7232
jetzt	w7233
an	w7234
bis	w7235
den	w7236
20sten	w7237
April	w7238
folgenden	w7239
Jah=res	w7240
<g/>
=
nicht	w7242
auf	w7243
das	w7244
Meer	w7245
begebe	w7246
<g/>
/
dieweilen	w7248
die	w7249
Winde	w7250
sich	w7251
öfters	w7252
alle	w7253
auf	w7254
einmal	w7255
auslassen	w7256
<g/>
/
und	w7258
mit	w7259
solchem	w7260
Gewalt	w7261
blasen	w7262
werden	w7263
<g/>
/
daß	w7265
daraus	w7266
so	w7267
wol	w7268
auf	w7269
dem	w7270
einen	w7271
als	w7272
dem	w7273
andern	w7274
Hemispherio	w7275
<g/>
,
meisten	w7277
Theils	w7278
aber	w7279
in	w7280
Europa	w7281
<g/>
/
und	w7283
denen	w7284
in	w7285
ihrer	w7286
Paralell	w7287
ligenden	w7288
Orten	w7289
ge=waltige	w7290
<g/>
=
Ungewittere	w7292
<g/>
/
und	w7294
Stürme	w7295
entstehen	w7296
werden	w7297
<g/>
.
Die	w7299
meiste	w7300
Stürme	w7301
auf	w7302
dem	w7303
Meer	w7304
<g/>
/
werden	w7306
sich	w7307
im	w7308
December	w7309
<g/>
/
Januario	w7311
<g/>
/
und	w7313
April	w7314
ereignen	w7315
<g/>
.
Die	w7317
Ungewitter	w7318
im	w7319
October	w7320
<g/>
/
und	w7322
November	w7323
werden	w7324
nur	w7325
Vorspiele	w7326
<g/>
/
und	w7328
gleich=sam	w7329
<g/>
=
Schatten	w7331
seyn	w7332
<g/>
/
gegen	w7334
denen	w7335
so	w7336
man	w7337
in	w7338
denen	w7339
nachfolgenden	w7340
3	w7341
<g/>
.
Monaten	w7343
wird	w7344
auszu=stehen	w7345
<g/>
=
haben	w7347
<g/>
.
</p>
<p id="p75">
Die	w7349
See	w7350
<g/>
=
Leute	w7352
werden	w7353
mich	w7354
wegen	w7355
ihrer	w7356
langen	w7357
Erfahrenheit	w7358
in	w7359
dieser	w7360
Sache	w7361
weit	w7362
über=treffen	w7363
<g/>
=
<g/>
/
und	w7366
vielleicht	w7367
mit	w7368
gewisseren	w7369
Proben	w7370
das	w7371
Widerspiel	w7372
könen	w7373
beweisen	w7374
<g/>
:
sie	w7376
sollen	w7377
sol=ches	w7378
<g/>
=
dem	w7380
Publico	w7381
darlegen	w7382
<g/>
/
ich	w7384
werde	w7385
mich	w7386
selbsten	w7387
ihnen	w7388
darfür	w7389
erkanntlich	w7390
zeigen	w7391
<g/>
/
und	w7393
nicht	w7394
der	w7395
letzte	w7396
seyn	w7397
<g/>
/
im	w7399
Fall	w7400
<g/>
/
daß	w7402
der	w7403
Aus=gang	w7404
<g/>
=
meine	w7406
Regeln	w7407
<g/>
(
welche	w7409
wegen	w7410
ihrer	w7411
Un=fehlbarkeit	w7412
<g/>
=
vor	w7414
Verlangen	w7415
eines	w7416
anderen	w7417
seine	w7418
zu	w7419
sehen	w7420
mich	w7421
fast	w7422
entzünden	w7423
<g/>
)
nicht	w7425
bekräftigen	w7426
solte	w7427
<g/>
/
etwas	w7429
daraus	w7430
zu	w7431
lehren	w7432
<g/>
/
und	w7434
fol folglich	w7435
<g/>
=
</p>
<p id="p76">
glich	w7437
mich	w7438
dessen	w7439
in	w7440
meinen	w7441
Unternehmungen	w7442
<g/>
/
die	w7444
denen	w7445
Potentaten	w7446
Republiquen	w7447
<g/>
/
und	w7449
Ge=lehrten	w7450
<g/>
=
einstens	w7452
viel	w7453
Nutzen	w7454
verschaffen	w7455
werden	w7456
<g/>
/
zu	w7458
bedienen	w7459
<g/>
.
</p>
<p id="p77">
Zufolge	w7461
meiner	w7462
Regeln	w7463
mus	w7464
es	w7465
von	w7466
jetzt	w7467
an	w7468
bis	w7469
den	w7470
3ten	w7471
December	w7472
noch	w7473
8	w7474
<g/>
.
Ungewit=tere	w7476
<g/>
=
geben	w7478
<g/>
.
Das	w7480
erste	w7481
<g/>
:
von	w7483
28sten	w7484
September	w7485
bis	w7486
1sten	w7487
October	w7488
inclusivè	w7489
<g/>
.
Das	w7491
anderte	w7492
<g/>
:
den	w7494
7ten	w7495
bis	w7496
10den	w7497
<g/>
.
Das	w7499
dritte	w7500
den	w7501
18den	w7502
bis	w7503
22sten	w7504
<g/>
.
Das	w7506
vierdte	w7507
<g/>
:
den	w7509
25sten	w7510
bis	w7511
27sten	w7512
<g/>
.
Das	w7514
fünfte	w7515
<g/>
:
den	w7517
1sten	w7518
November	w7519
bis	w7520
5ten	w7521
<g/>
.
Das	w7523
sechste	w7524
<g/>
:
den	w7526
10den	w7527
bis	w7528
13den	w7529
<g/>
.
Das	w7531
siebende	w7532
den	w7533
20sten	w7534
bis	w7535
23sten	w7536
<g/>
.
Und	w7538
das	w7539
achte	w7540
<g/>
:
von	w7542
29sten	w7543
bis	w7544
2ten	w7545
December	w7546
<g/>
.
</p>
<p id="p78">
Etliche	w7548
Umstände	w7549
können	w7550
auch	w7551
wol	w7552
um	w7553
ei=nige	w7554
<g/>
=
Täge	w7556
fehl	w7557
schlagen	w7558
<g/>
/
indeme	w7560
es	w7561
unmöglich	w7562
wegen	w7563
al	w7564
<g/>
=
zu	w7566
Kopf	w7567
<g/>
=
brechender	w7569
Arbeit	w7570
solches	w7571
gar	w7572
zu	w7573
gewis	w7574
zu	w7575
treffen	w7576
<g/>
.
Jch	w7578
melde	w7579
nichts	w7580
von	w7581
denen	w7582
heftigen	w7583
Winden	w7584
welche	w7585
sich	w7586
diese	w7587
Zeiten	w7588
hindurch	w7589
sehr	w7590
oft	w7591
werden	w7592
erheben	w7593
<g/>
/
wann	w7595
sie	w7596
nicht	w7597
durch	w7598
Regen	w7599
gestillet	w7600
werden	w7601
<g/>
.
Freytag	w7603
den	w7604
26sten	w7605
September	w7606
1727	w7607
<g/>
.
Eben	w7609
heute	w7610
blasset	w7611
ein	w7612
heftiger	w7613
Wind	w7614
in	w7615
Frankreich	w7616
<g/>
.
</p>
<p id="p79">
Turin	w7618
11	w7619
<g/>
.
October	w7621
<g/>
.
</p>
<p id="p80">
Seine	w7623
Majestät	w7624
der	w7625
König	w7626
haben	w7627
verschiede=nen	w7628
<g/>
=
Personen	w7630
folgende	w7631
Abteyen	w7632
ertheilet	w7633
<g/>
:
als	w7635
</p>
<p id="p81">
Die	w7636
Abtey	w7637
von	w7638
Lucedia	w7639
dem	w7640
Abate	w7641
di	w7642
Che-reny	w7643
<g/>
-
<g/>
;
</p>
<p id="p82">
Die	w7646
von	w7647
S	w7648
<g/>
.
Benigno	w7650
dem	w7651
Abate	w7652
d'Alirge	w7653
<g/>
;
</p>
<p id="p83">
Die	w7655
von	w7656
S	w7657
<g/>
.
Mauro	w7659
dem	w7660
Abate	w7661
di	w7662
S	w7663
<g/>
.
Giorgio	w7665
<g/>
;
</p>
<p id="p84">
Die	w7667
von	w7668
S	w7669
<g/>
.
Januario	w7671
dem	w7672
Abate	w7673
Ricardi	w7674
<g/>
;
</p>
<p id="p85">
Die	w7676
von	w7677
Taloire	w7678
dem	w7679
Abate	w7680
Mellarede	w7681
<g/>
;
</p>
<p id="p86">
Die	w7683
von	w7684
Kntremont	w7685
dem	w7686
Abbate	w7687
Sain	w7688
<g/>
,
</p>
<p id="p87">
Die	w7690
von	w7691
Villa	w7692
S	w7693
<g/>
.
Costanzo	w7695
dem	w7696
Theologo	w7697
Costa	w7698
<g/>
;
</p>
<p id="p88">
Die	w7700
von	w7701
S	w7702
<g/>
.
Gun	w7704
Gundem	w7705
Curaten	w7706
di	w7707
S	w7708
<g/>
.
Gio-vanni	w7710
<g/>
-
<g/>
-
Boggio	w7713
<g/>
;
</p>
<p id="p89">
Die	w7715
von	w7716
Novalesa	w7717
dem	w7718
Abate	w7719
Badia	w7720
<g/>
;
</p>
<p id="p90">
Die	w7722
von	w7723
Versolano	w7724
dem	w7725
Canonico	w7726
Coupier	w7727
<g/>
;
</p>
<p id="p91">
Die	w7729
von	w7730
Seloe	w7731
dem	w7732
Abate	w7733
Philipp	w7734
Juva-ra	w7735
<g/>
-
<g/>
,
einem	w7738
Sicilianer	w7739
<g/>
.
</p>
<p id="p92">
Die	w7741
von	w7742
S	w7743
<g/>
.
Pons	w7745
dem	w7746
Abate	w7747
Lettote	w7748
Ben-cini	w7749
<g/>
-
<g/>
,
einem	w7752
Malteser	w7753
<g/>
;
</p>
<p id="p93">
Die	w7755
von	w7756
Bezzo	w7757
dem	w7758
Abate	w7759
Fontana	w7760
<g/>
;
</p>
<p id="p94">
Die	w7762
von	w7763
Chezeny	w7764
dem	w7765
Abate	w7766
von	w7767
Chan-mont	w7768
<g/>
-
<g/>
;
</p>
<p id="p95">
Die	w7771
von	w7772
S	w7773
<g/>
.
Sixto	w7775
dem	w7776
Abate	w7777
von	w7778
Cheveron	w7779
<g/>
;
</p>
<p id="p96">
Die	w7781
von	w7782
S	w7783
<g/>
.
Steffano	w7785
d'Invrea	w7786
dem	w7787
Abate	w7788
di	w7789
Lauriano	w7790
<g/>
;
</p>
<p id="p97">
Und	w7792
die	w7793
von	w7794
dem	w7795
grossen	w7796
Creutz	w7797
dem	w7798
Aba-te	w7799
<g/>
-
Pasini	w7801
<g/>
,
einem	w7803
Paduaner	w7804
<g/>
.
</p>
</doc>
