<doc id="edoc_wd_1726-09-18" attrs="word" year="1726" month="09" day="18" corpus="1">
<head id="hl1">
Smirna	w54
Hr	w6999
<g/>
.
General	w7001
Gund	w7002
<g/>
.
Graf	w7004
v	w7005
<g/>
.
Althann	w7007
<g/>
/
ꝛc	w7009
<g/>
.
</p>
<p id="p151">
18ten	w7011
Beutel	w7012
<g/>
.
</p>
<p id="p152">
Jhre	w7014
Majestät	w7015
die	w7016
Kaiserin	w7017
<g/>
.
</p>
<p id="p153">
19ten	w7019
Beutel	w7020
<g/>
.
</p>
<p id="p154">
Jhre	w7022
Majestät	w7023
der	w7024
Kaiser	w7025
<g/>
/
unser	w7027
Allergnä=digster	w7028
<g/>
=
Herr	w7030
Herr	w7031
<g/>
/
ꝛc	w7033
<g/>
.
ꝛc	w7035
<g/>
.
</p>
<p id="p155">
20ten	w7037
Beutel	w7038
<g/>
.
</p>
<p id="p156">
Hr	w7040
<g/>
.
Ernst	w7042
Sigmund	w7043
Graf	w7044
von	w7045
Trautmanstorf	w7046
<g/>
/
ꝛc	w7048
<g/>
.
</p>
<p id="p157">
21ten	w7050
Beutel	w7051
<g/>
.
</p>
<p id="p158">
Hr	w7053
<g/>
.
Ottocar	w7055
Graf	w7056
von	w7057
Stahremberg	w7058
<g/>
/
ꝛc	w7060
<g/>
.
</p>
<p id="p159">
22ten	w7062
Beutel	w7063
<g/>
.
</p>
<p id="p160">
Hr	w7065
<g/>
.
Rudolph	w7067
Graf	w7068
von	w7069
Korzensky	w7070
<g/>
/
ꝛc	w7072
<g/>
.
</p>
<p id="p161">
23ten	w7075
Beutel	w7076
<g/>
.
</p>
<p id="p162">
Jhre	w7078
Majestät	w7079
der	w7080
Kaiser	w7081
<g/>
/
ꝛc	w7083
<g/>
.
</p>
<p id="p163">
24ten	w7085
Beutel	w7086
<g/>
.
</p>
<p id="p164">
Allerhöchst	w7088
<g/>
=
wiederholt	w7090
Jhre	w7091
Majestät	w7092
der	w7093
Kaiser	w7094
<g/>
/
ꝛc	w7096
<g/>
.
ꝛc	w7098
<g/>
.
</p>
<p id="p165">
25ten	w7100
Beutel	w7101
<g/>
.
</p>
<p id="p166">
Jhre	w7103
Durchl	w7104
<g/>
.
Ertz	w7106
<g/>
=
Hertzogin	w7108
Maria	w7109
Anna	w7110
durch	w7111
Hrn	w7112
<g/>
.
Grafen	w7114
von	w7115
Zichy	w7116
<g/>
/
ꝛc	w7118
<g/>
.
</p>
<p id="p167">
26ten	w7120
Beutel	w7121
<g/>
.
</p>
<p id="p168">
Jhre	w7123
Majestät	w7124
die	w7125
Kaiserin	w7126
<g/>
.
</p>
<p id="p169">
27ten	w7128
Beutel	w7129
<g/>
.
</p>
<p id="p170">
Allerhöchst	w7131
<g/>
=
wiederholt	w7133
Jhre	w7134
Majestät	w7135
die	w7136
Kaiserin	w7137
<g/>
.
</p>
<p id="p171">
28ten	w7139
Beutel	w7140
<g/>
.
</p>
<p id="p172">
Nochmal	w7142
Allerhöchst	w7143
<g/>
=
wiederholt	w7145
Jhre	w7146
Majest	w7147
<g/>
.
die	w7149
Kaiserin	w7150
<g/>
.
</p>
<p id="p173">
29ten	w7152
Beutel	w7153
<g/>
.
</p>
<p id="p174">
Jhre	w7155
Majestät	w7156
der	w7157
Kaiser	w7158
<g/>
/
ꝛc	w7160
<g/>
.
ꝛc	w7162
<g/>
.
</p>
<p id="p175">
30ten	w7164
Beutel	w7165
<g/>
.
</p>
<p id="p176">
Hr	w7167
<g/>
.
Carl	w7169
Graf	w7170
von	w7171
Harrach	w7172
<g/>
/
ꝛc	w7174
<g/>
.
</p>
<p id="p177">
31ten	w7176
Beutel	w7177
<g/>
.
</p>
<p id="p178">
Hr	w7179
<g/>
.
Corfix	w7181
Graf	w7182
von	w7183
Ulfeld	w7184
<g/>
/
ꝛc	w7186
<g/>
.
</p>
<p id="p179">
32ten	w7188
Beutel	w7189
<g/>
.
</p>
<p id="p180">
Jhre	w7191
Majestät	w7192
die	w7193
Kaiserin	w7194
<g/>
.
</p>
<p id="p181">
33ten	w7196
Beutel	w7197
<g/>
.
</p>
<p id="p182">
Ge	w7199
<g/>
.
Excell	w7201
<g/>
.
Hr	w7203
<g/>
.
Vice	w7205
-Stathalter	w7206
<g/>
/
ꝛc	w7208
<g/>
.
</p>
<p id="p183">
34ten	w7210
Beutel	w7211
<g/>
.
</p>
<p id="p184">
Hr	w7213
<g/>
.
Graf	w7215
von	w7216
Ulefeld	w7217
<g/>
/
</p>
<p id="p185">
35ten	w7219
Beutel	w7220
<g/>
.
</p>
<p id="p186">
Jhre	w7222
Majestät	w7223
der	w7224
Kaiser	w7225
<g/>
/
ꝛc	w7227
<g/>
.
be	w7229
<g/>
.
</p>
<p id="p187">
36ten	w7231
Beutel	w7232
<g/>
.
</p>
<p id="p188">
Se	w7234
<g/>
.
Excell	w7236
<g/>
.
Hr	w7238
<g/>
.
Graf	w7240
von	w7241
Salm	w7242
<g/>
/
ꝛc	w7244
<g/>
.
</p>
<p id="p189">
37ten	w7246
Beutel	w7247
<g/>
.
</p>
<p id="p190">
Hr	w7249
<g/>
.
Corsix	w7251
Anton	w7252
Graf	w7253
von	w7254
Ulfeld	w7255
<g/>
/
ꝛc	w7257
<g/>
.
</p>
<p id="p191">
38ten	w7259
Beutel	w7260
<g/>
.
</p>
<p id="p192">
Hr	w7262
<g/>
.
Ottocar	w7264
Graf	w7265
von	w7266
Stahremberg	w7267
<g/>
/
ꝛc	w7269
<g/>
.
</p>
<p id="p193">
39ten	w7271
Beutel	w7272
<g/>
.
</p>
<p id="p194">
Detto	w7274
Hr	w7275
<g/>
.
Graf	w7277
von	w7278
Stahremberg	w7279
<g/>
/
ꝛc	w7281
<g/>
.
</p>
<p id="p195">
40ten	w7283
<g/>
.
Beutel	w7285
<g/>
.
</p>
<p id="p196">
Jhre	w7287
Durchl	w7288
<g/>
.
Hr	w7290
<g/>
.
Erb	w7292
<g/>
=
Printz	w7294
zu	w7295
Lothringen	w7296
<g/>
/
ꝛc	w7298
<g/>
.
</p>
<p id="p197">
41ten	w7300
und	w7301
letzten	w7302
Beutel	w7303
<g/>
.
</p>
<p id="p198">
Samt	w7305
letztem	w7306
Haupt	w7307
<g/>
=
Fahn	w7309
<g/>
.
</p>
<p id="p199">
Jhre	w7311
Durchl	w7312
<g/>
.
Ertz	w7314
<g/>
=
Hertzogin	w7316
Maria	w7317
Anna	w7318
<g/>
/
durch	w7320
Hrn	w7321
<g/>
.
Obrist	w7323
<g/>
=
Kuchel	w7325
<g/>
=
Meistern	w7327
Grafen	w7328
v	w7329
<g/>
.
Mollart	w7331
<g/>
/
ꝛc	w7333
<g/>
.
</p>
<head id="hl34">
Renn	w7335
<g/>
=
Scheiben	w7337
<g/>
.
</head>
<p id="p200">
Gestaltsam	w7339
die	w7340
Ausbildungen	w7341
deren	w7342
Scheiben	w7343
auf	w7344
dismalige	w7345
Herren	w7346
Best	w7347
<g/>
=
Gebere	w7349
forderist	w7350
angetragen	w7351
gewesen	w7352
<g/>
;
als	w7354
kame	w7355
auf	w7356
dieser	w7357
zum	w7358
Vorschein	w7359
der	w7360
ge=crönte	w7361
<g/>
=
<g/>
/
an	w7364
seiner	w7365
gespaltenen	w7366
Ruten	w7367
kennbare	w7368
Bö=heimische	w7369
<g/>
=
Löw	w7371
<g/>
/
welcher	w7373
den	w7374
zum	w7375
Ziel	w7376
gewidmeten	w7377
grossen	w7378
goldenen	w7379
Becher	w7380
voll	w7381
Bad	w7382
<g/>
=
Wasser	w7384
<g/>
/
mit	w7386
sei=ner	w7387
<g/>
=
rechten	w7389
Pfoten	w7390
<g/>
:
und	w7392
mit	w7393
der	w7394
Linken	w7395
das	w7396
gewöhn=liche	w7397
<g/>
=
erdene	w7399
Trink	w7400
<g/>
=
Becherlein	w7402
darbotte	w7403
<g/>
:
derselbigen	w7405
</p>
<p id="p201">
Gegend	w7406
erschiene	w7407
ein	w7408
altes	w7409
und	w7410
baufälliges	w7411
<g/>
/
dem	w7413
Tempel	w7414
der	w7415
Minervæ Minervae	w7416
Medicinæ Medicinae	w7417
ähnlichen	w7418
Bad	w7419
<g/>
=
Haus	w7421
<g/>
/
die	w7423
darinnen	w7424
erhaltene	w7425
Genesung	w7426
<g/>
/
und	w7428
darunter	w7429
er=leute	w7430
<g/>
=
Jagt	w7432
erklärend	w7433
<g/>
.
Die	w7435
Uberschrift	w7436
<g/>
:
</p>
<p id="p202">
CORPUS	w7438
AQUÆ	w7439
CURANT	w7440
<g/>
;
ANIMUM	w7442
SED	w7443
GRATIA	w7444
DIVUM	w7445
<g/>
,
ET	w7447
CÆSAR	w7448
PLUS	w7449
TE	w7450
<g/>
,
BLANDA	w7452
DIANA	w7453
POTEST	w7454
<g/>
.
</p>
<head id="hl35">
Stech	w7456
<g/>
=
Scheiben	w7458
<g/>
.
</head>
<p id="p203">
Ein	w7460
uralter	w7461
mit	w7462
dem	w7463
rot	w7464
<g/>
=
und	w7466
weissen	w7467
Oesterrei=chischen	w7468
<g/>
=
Wappen	w7470
<g/>
=
Feld	w7472
und	w7473
Land	w7474
<g/>
=
werk	w7476
behangener	w7477
Al=tar	w7478
<g/>
=
<g/>
/
auf	w7481
welchem	w7482
zwey	w7483
Armen	w7484
ruheten	w7485
<g/>
;
deren	w7487
einer	w7488
den	w7489
Bogen	w7490
der	w7491
Dianæ Dianae	w7492
abdrukte	w7493
<g/>
/
der	w7495
ander	w7496
des	w7497
Schild	w7498
des	w7499
Martis	w7500
mit	w7501
seinem	w7502
zum	w7503
Ziel	w7504
gehaltenem	w7505
Medusa	w7506
-Kopf	w7507
entgegen	w7508
hielte	w7509
<g/>
.
Von	w7511
Ferne	w7512
einer	w7513
Seits	w7514
stunde	w7515
das	w7516
Brust	w7517
<g/>
=
Bild	w7519
Dianæ Dianae	w7520
auf	w7521
einer	w7522
Weg	w7523
<g/>
=
Säule	w7525
<g/>
/
nebst	w7527
dem	w7528
geopferten	w7529
Wild	w7530
<g/>
=
Brät	w7532
von	w7533
allerhand	w7534
Gattung	w7535
<g/>
;
und	w7537
ander	w7538
Seits	w7539
ein	w7540
ansehentliches	w7541
Kriegs	w7542
<g/>
=
und	w7544
Siegs	w7545
<g/>
=
Gepränge	w7547
<g/>
/
nebst	w7549
allerhand	w7550
zu	w7551
Boden	w7552
li=genden	w7553
<g/>
=
Kriegs	w7555
<g/>
=
Gezeug	w7557
<g/>
.
Aufschrift	w7559
<g/>
:
</p>
<p id="p204">
OBSEQUIUM	w7561
ATQUE	w7562
FIDEM	w7563
DOMINO	w7564
MANUS	w7565
UTRAQUE	w7566
PRÆSTAT	w7567
<g/>
,
SEU	w7569
BELLONA	w7570
TONAT	w7571
<g/>
,
SIVE	w7573
DIANA	w7574
VOCAT	w7575
<g/>
.
</p>
<head id="hl36">
Krantz	w7577
<g/>
=
Scheiben	w7579
<g/>
.
</head>
<p id="p205">
Zur	w7581
rechten	w7582
Hand	w7583
sasse	w7584
die	w7585
obberührte	w7586
Diana	w7587
<g/>
,
die	w7589
ihr	w7590
Fang	w7591
<g/>
=
Eisen	w7593
empor	w7594
hielte	w7595
<g/>
:
und	w7597
zur	w7598
Linken	w7599
über	w7600
<g/>
/
sasse	w7602
die	w7603
gewaffnete	w7604
Pallas	w7605
<g/>
,
so	w7607
ebenfals	w7608
ihre	w7609
Lantze	w7610
erhoben	w7611
hatte	w7612
<g/>
;
zwischen	w7614
welchen	w7615
ein	w7616
von	w7617
Eichen	w7618
<g/>
=
Laub	w7620
geflochtener	w7621
<g/>
/
und	w7623
zum	w7624
Ziel	w7625
dienlicher	w7626
Krantz	w7627
herunter	w7628
hienge	w7629
<g/>
;
jene	w7631
zur	w7632
Rechten	w7633
hatte	w7634
ihren	w7635
Falken	w7636
auf	w7637
der	w7638
Hand	w7639
sitzen	w7640
<g/>
/
und	w7642
diese	w7643
zur	w7644
Linken	w7645
lehnte	w7646
sich	w7647
auf	w7648
ihren	w7649
Schild	w7650
<g/>
.
Zuschrift	w7652
<g/>
:
</p>
<p id="p206">
IN	w7654
PUGNA	w7655
ET	w7656
LUDO	w7657
SOLI	w7658
VIGILAMUS	w7659
HONORI	w7660
<g/>
;
SEU	w7662
SIT	w7663
RES	w7664
AVIBUS	w7665
<g/>
,
SEU	w7667
PER	w7668
AGENDA	w7669
VIRIS	w7670
<g/>
.
</p>
<head id="hl37">
Ritter	w7672
Scheiblein	w7673
</head>
<p id="p207">
Ein	w7674
ungeheurer	w7675
<g/>
/
mit	w7677
einem	w7678
Thurn	w7679
von	w7680
allerhand	w7681
Kriegs	w7682
<g/>
=
Waffen	w7684
<g/>
/
die	w7686
auch	w7687
von	w7688
groß	w7689
<g/>
=
und	w7691
kleinem	w7692
Wild	w7693
<g/>
=
Brät	w7695
<g/>
/
nebst	w7697
verschiedenen	w7698
Geflügel	w7699
<g/>
=
werk	w7701
beladener	w7702
Elephant	w7703
<g/>
;
der	w7705
mit	w7706
seinem	w7707
aufhabenden	w7708
Last	w7709
nach	w7710
Haus	w7711
kehret	w7712
<g/>
.
Beyschrift	w7714
<g/>
:
</p>
<p id="p208">
SUDATUM	w7716
SATIS	w7717
EST	w7718
<g/>
,
PRÆDAS	w7720
ET	w7721
PRÆMIA	w7722
JACTANT	w7723
<g/>
;
QUÆ	w7725
BELLONA	w7726
TULIT	w7727
<g/>
,
QUÆQUE	w7729
DIANA	w7730
DEDIT	w7731
<g/>
.
</p>
<p id="p209">
Die	w7733
gewöhnliche	w7734
16	w7735
<g/>
.
Fahnen	w7737
der	w7738
Estandarten	w7739
von	w7740
hoch hochRosen	w7741
<g/>
=
Rosen	w7743
<g/>
=
färbigem	w7745
Gros	w7746
de	w7747
Tour	w7748
<g/>
,
die	w7750
5	w7751
<g/>
.
Haupt	w7753
<g/>
=
Fahne	w7755
mit	w7756
einem	w7757
besonderen	w7758
Dessein	w7759
und	w7760
silbernen	w7761
Qua=sten	w7762
<g/>
=
von	w7764
denen	w7765
anderen	w7766
unterschieden	w7767
<g/>
/
übrigens	w7769
aber	w7770
alle	w7771
ins	w7772
gesamt	w7773
mit	w7774
silbernen	w7775
Schnee	w7776
<g/>
=
Spizen	w7778
um	w7779
und	w7780
um	w7781
eingefasset	w7782
<g/>
;
die	w7784
Stangen	w7785
von	w7786
schöner	w7787
Drächsler	w7788
<g/>
=
Arbeit	w7790
<g/>
/
und	w7792
samt	w7793
denen	w7794
Spitz	w7795
<g/>
=
Crönlein	w7797
sein	w7798
versilbert	w7799
<g/>
:
ob	w7801
specificirte	w7802
Beuteln	w7803
<g/>
=
Anzahl	w7805
von	w7806
wiederholt	w7807
<g/>
=
hoch	w7809
Rosen	w7810
<g/>
=
färbigem	w7812
Gros	w7813
de	w7814
Tour	w7815
<g/>
,
über	w7817
und	w7818
über	w7819
mit	w7820
Sil=ber	w7821
<g/>
=
<g/>
=
auch	w7824
etwas	w7825
gar	w7826
wenig	w7827
untermnischter	w7828
Seiden	w7829
<g/>
=
Sti=kerey	w7831
<g/>
=
sehr	w7833
annehmlich	w7834
geziert	w7835
<g/>
/
auch	w7837
an	w7838
denen	w7839
Seiten	w7840
mit	w7841
Rosen	w7842
<g/>
=
färbigem	w7844
Moor	w7845
besetzt	w7846
<g/>
.
Die	w7848
Gesperrlein	w7849
zierlich	w7850
gestochen	w7851
und	w7852
fein	w7853
versilbert	w7854
<g/>
/
auf	w7856
besondere	w7857
Façon	w7858
sich	w7859
gar	w7860
bequemlich	w7861
schliessend	w7862
<g/>
.
</p>
</doc>
