<doc id="edoc_wd_1726-09-11" attrs="word" year="1726" month="09" day="11" corpus="1">
<head id="hl1">
St	w54
/
alt	w7145
6	w7146
<g/>
.
Viertl	w7148
J	w7149
<g/>
.
Dem	w7151
Lor	w7152
<g/>
.
Hinterberger	w7154
<g/>
/
Bindern	w7156
<g/>
/
s	w7158
<g/>
.
K	w7160
<g/>
.
Barb	w7162
<g/>
.
<g/>
/
im	w7165
Bierleutnerisch	w7166
<g/>
.
H	w7168
<g/>
.
zu	w7170
Gumpendorf	w7171
<g/>
/
alt	w7173
6	w7174
<g/>
.
Viertl	w7176
J	w7177
<g/>
.
Georg	w7179
Steinberger	w7180
<g/>
/
Wais	w7182
<g/>
/
im	w7184
Schlosserisch	w7185
<g/>
.
H	w7187
<g/>
.
auf	w7189
der	w7190
Landstraß	w7191
<g/>
/
alt	w7193
1	w7194
<g/>
.
J	w7196
<g/>
.
Dem	w7198
Georg	w7199
Edman	w7200
<g/>
/
Heiducken	w7202
<g/>
/
s	w7204
<g/>
.
K	w7206
<g/>
.
Anna	w7208
<g/>
/
bey	w7210
der	w7211
golden	w7212
Sonn	w7213
ausserm	w7214
Neubau	w7215
<g/>
/
alt	w7217
6	w7218
<g/>
.
J	w7220
<g/>
.
</list>
<head id="hl35">
Den	w7222
10	w7223
Septemb	w7224
<g/>
.
</head>
<head id="hl36">
Da	w7226
der	w7227
Stadt	w7228
<g/>
.
</head>
<list id="">
Dem	w7230
Joh	w7231
<g/>
.
Carl	w7233
Posch	w7234
<g/>
/
B	w7236
<g/>
.
Stein	w7238
<g/>
=
Schneidern	w7240
<g/>
/
s	w7242
<g/>
.
Stief	w7244
<g/>
=
K	w7246
<g/>
.
Matthias	w7248
Spieshofer	w7249
<g/>
/
welches	w7251
ohnversehens	w7252
einen	w7253
Fall	w7254
gethan	w7255
<g/>
/
und	w7257
gestern	w7258
im	w7259
Naglischen	w7260
H	w7261
<g/>
.
im	w7263
Koch	w7264
<g/>
=
Gässel	w7266
darauf	w7267
gestorben	w7268
<g/>
/
ist	w7270
alda	w7271
vom	w7272
Kaiserl	w7273
<g/>
.
Stadt	w7275
<g/>
=
Gericht	w7277
beschaut	w7278
<g/>
/
alt	w7280
12	w7281
<g/>
.
J	w7283
<g/>
.
Jac	w7285
<g/>
.
Etlbaur	w7287
<g/>
/
K	w7289
<g/>
.
Trabanten	w7291
Provisoner	w7292
<g/>
/
beym	w7294
roten	w7295
Säbl	w7296
im	w7297
Färber	w7298
<g/>
=
Gässel	w7300
<g/>
/
alt	w7302
64	w7303
<g/>
.
J	w7305
<g/>
.
Dem	w7307
Bened	w7308
<g/>
.
Scheider	w7310
<g/>
/
B	w7312
<g/>
.
Bier	w7314
<g/>
=
Leutgeben	w7316
<g/>
/
s	w7318
<g/>
.
K	w7320
<g/>
.
Benedict	w7322
<g/>
/
im	w7324
Spitzlkrammerisch	w7325
<g/>
.
H	w7327
<g/>
.
am	w7329
Saltzgries	w7330
<g/>
/
alt	w7332
6	w7333
<g/>
.
Viertl	w7335
J	w7336
<g/>
.
Joh	w7338
<g/>
.
Boumbey	w7340
<g/>
/
Herrn	w7342
<g/>
=
Koch	w7344
<g/>
/
bey	w7346
der	w7347
golden	w7348
Enten	w7349
in	w7350
der	w7351
Schuler	w7352
<g/>
=
Straß	w7354
<g/>
/
alt	w7356
36	w7357
<g/>
.
J	w7359
<g/>
.
Jos	w7361
<g/>
.
Scherz	w7363
<g/>
/
Guardi	w7365
<g/>
=
Soldat	w7367
<g/>
/
auf	w7369
der	w7370
Mölker	w7371
Pastey	w7372
<g/>
/
alt	w7374
46	w7375
<g/>
.
J	w7377
<g/>
.
Dem	w7379
Joh	w7380
<g/>
.
Brükl	w7382
<g/>
/
Kutschern	w7384
<g/>
/
s	w7386
<g/>
.
W	w7388
<g/>
.
Anna	w7390
<g/>
/
beym	w7392
gol=den	w7393
<g/>
=
Löwen	w7395
<g/>
/
in	w7397
der	w7398
Klugerstraß	w7399
<g/>
/
alt	w7401
26	w7402
<g/>
.
J	w7404
<g/>
.
Dem	w7406
Joh	w7407
<g/>
.
Durchl	w7409
<g/>
/
Kutschern	w7411
<g/>
/
s	w7413
<g/>
.
K	w7415
<g/>
.
Johann	w7417
<g/>
/
im	w7419
klein	w7420
Raben	w7421
<g/>
=
Hof	w7423
beyn	w7424
Franciscanern	w7425
<g/>
/
alt	w7427
6	w7428
<g/>
.
Viertl	w7430
J	w7431
<g/>
.
</list>
<head id="hl37">
Vor	w7433
der	w7434
Stadt	w7435
<g/>
.
</head>
<list id="">
Fr	w7437
<g/>
.
Elis	w7439
<g/>
.
Bartholom	w7441
<g/>
/
Wittib	w7443
<g/>
/
im	w7445
Kaiserl	w7446
<g/>
.
Jagt	w7448
<g/>
=
Stall	w7450
vorm	w7451
Burg	w7452
<g/>
=
Thor	w7454
<g/>
/
alt	w7456
40	w7457
<g/>
.
J	w7459
<g/>
.
Dem	w7461
Andre	w7462
Plaschgi	w7463
<g/>
/
Wirt	w7465
<g/>
/
s	w7467
<g/>
.
K	w7469
<g/>
.
Elis	w7471
<g/>
.
<g/>
/
in	w7474
s	w7475
<g/>
.
H	w7477
<g/>
.
bey	w7479
Maria	w7480
Hilf	w7481
<g/>
/
alt	w7483
7	w7484
<g/>
.
Viertl	w7486
J	w7487
<g/>
.
Bernh	w7489
<g/>
.
Artmüllner	w7491
<g/>
/
alt	w7493
27	w7494
<g/>
.
J	w7496
<g/>
.
und	w7498
Lor	w7499
<g/>
.
Landthaler	w7501
alt	w7502
44	w7503
<g/>
.
J	w7505
<g/>
.
<g/>
/
beede	w7508
bey	w7509
denen	w7510
F	w7511
<g/>
.
F	w7513
<g/>
.
Misericordiæ Misericordiae	w7515
<g/>
.
Dem	w7517
Philipp	w7518
Schnätter	w7519
<g/>
/
Zimmer	w7521
<g/>
=
Gesellen	w7523
<g/>
/
s	w7525
<g/>
.
W	w7527
<g/>
.
Maria	w7529
<g/>
/
beyn	w7531
drey	w7532
Hafen	w7533
am	w7534
Thury	w7535
<g/>
/
alt	w7537
58	w7538
<g/>
.
J	w7540
<g/>
.
Leonhard	w7542
Jäger	w7543
<g/>
/
armer	w7545
Mann	w7546
<g/>
/
in	w7548
der	w7549
Dominicaner	w7550
<g/>
=
Mühl	w7552
zu	w7553
Gumpendorf	w7554
<g/>
/
alt	w7556
79	w7557
<g/>
.
J	w7559
<g/>
.
</list>
</doc>
