<doc id="edoc_wd_1768-02-24" attrs="word" year="1768" month="02" day="24" corpus="1">
<head id="hl1">
Amsterdam	w35
öffentlichem	w7095
Druck	w7096
<g/>
.
Un=geachtet	w7098
<g/>
=
der	w7100
Verweisung	w7101
dieser	w7102
Geistlichen	w7103
<g/>
,
ist	w7105
doch	w7106
kein	w7107
von	w7108
ihnen	w7109
begleitetes	w7110
Amt	w7111
ledig	w7112
geblieben	w7113
<g/>
.
Jn	w7115
der	w7116
neuen	w7117
Vorschrift	w7118
der	w7119
Stu=dien	w7120
<g/>
=
erklären	w7122
uns	w7123
Se	w7124
<g/>
.
kön	w7126
<g/>
.
Hoheit	w7128
<g/>
,
daß	w7130
die=selben	w7131
<g/>
=
zur	w7133
Unterweisung	w7134
der	w7135
Jugend	w7136
in	w7137
der	w7138
Christenlehr	w7139
<g/>
,
und	w7141
zur	w7142
Ausübung	w7143
verschiedener	w7144
anderer	w7145
geistlichen	w7146
Uebungen	w7147
<g/>
,
die	w7149
vorher	w7150
diese	w7151
Geistliche	w7152
versehen	w7153
hatten	w7154
<g/>
,
die	w7156
P	w7157
<g/>
.
P	w7159
<g/>
.
der	w7161
Mißion	w7162
in	w7163
das	w7164
Reich	w7165
beruffen	w7166
hätten	w7167
<g/>
.
Den	w7169
aus	w7170
dem	w7171
Toscanischen	w7172
hieher	w7173
beschiedenen	w7174
Vätern	w7175
der	w7176
frommen	w7177
Schulen	w7178
wurde	w7179
die	w7180
Aufsicht	w7181
über	w7182
das	w7183
hiesige	w7184
adeliche	w7185
Convict	w7186
an=vertrauet	w7187
<g/>
=
<g/>
.
Ferner	w7190
haben	w7191
wir	w7192
auch	w7193
ein	w7194
Ver=zeichniß	w7195
<g/>
=
nicht	w7197
nur	w7198
allein	w7199
von	w7200
allen	w7201
neuen	w7202
Pro=fessoren	w7203
<g/>
=
der	w7205
hiesigen	w7206
hohen	w7207
Schule	w7208
<g/>
,
und	w7210
al=ler	w7211
<g/>
=
andern	w7213
Schulen	w7214
des	w7215
Parmesanischen	w7216
Ge=biets	w7217
<g/>
=
<g/>
,
sondern	w7220
auch	w7221
der	w7222
neuen	w7223
Besorger	w7224
al=ler	w7225
<g/>
=
anderen	w7227
geistlichen	w7228
Uebungen	w7229
in	w7230
öffentli=chem	w7231
<g/>
=
Druck	w7233
gesehen	w7234
<g/>
,
dergestalten	w7236
<g/>
,
daß	w7238
keine	w7239
Profeßur	w7240
<g/>
,
keine	w7242
Kanzel	w7243
<g/>
,
keine	w7245
von	w7246
den	w7247
Je=suiten	w7248
<g/>
=
vorhin	w7250
versehene	w7251
geistliche	w7252
Stelle	w7253
ledig	w7254
geblieben	w7255
ist	w7256
<g/>
.
</p>
<head id="hl26">
Modena	w7260
den	w7261
10	w7262
<g/>
.
Hornung	w7264
<g/>
.
</head>
<p id="p72">
Den	w7266
8ten	w7267
dieses	w7268
langten	w7269
die	w7270
aus	w7271
dem	w7272
Parmesanischen	w7273
verwiesene	w7274
Jesuiten	w7275
in	w7276
ver=schiedenen	w7277
<g/>
=
großen	w7279
Abtheilungen	w7280
hier	w7281
an	w7282
<g/>
,
von	w7284
wannen	w7285
sie	w7286
<g/>
,
nach	w7288
dem	w7289
<g/>
,
von	w7291
unserem	w7292
durchl	w7293
<g/>
.
Herzogen	w7295
ihnen	w7296
bewilligten	w7297
kurzen	w7298
Aufent=halt	w7299
<g/>
=
<g/>
,
und	w7302
andern	w7303
beygeschaften	w7304
Nothwendig=keiten	w7305
<g/>
=
<g/>
,
auf	w7308
vielen	w7309
Wägen	w7310
nacher	w7311
Bononien	w7312
abgegangen	w7313
sind	w7314
<g/>
.
</p>
<head id="hl27">
Civita	w7316
<g/>
=
Vecchia	w7318
den	w7319
15	w7320
<g/>
.
Jänner	w7322
<g/>
.
</head>
<p id="p73">
Jn	w7324
unseren	w7325
benachbarten	w7326
Oertern	w7327
befindet	w7328
sich	w7329
dermalen	w7330
eine	w7331
große	w7332
Anzahl	w7333
Jesuiten	w7334
aus	w7335
Sicilien	w7336
<g/>
.
Sechs	w7338
von	w7339
diesen	w7340
Geistli=chen	w7341
<g/>
=
<g/>
,
welche	w7344
die	w7345
Aufsicht	w7346
über	w7347
die	w7348
von	w7349
dem	w7350
römischen	w7351
Collegio	w7352
und	w7353
Noviciathause	w7354
be=sessenen	w7355
<g/>
=
Ländereyen	w7357
in	w7358
Sicilien	w7359
bishero	w7360
ge=habt	w7361
<g/>
=
hatten	w7363
<g/>
,
sind	w7365
allhier	w7366
angekommen	w7367
<g/>
.
Es	w7369
ist	w7370
in	w7371
hiesigem	w7372
Hafen	w7373
ein	w7374
genuesisches	w7375
Schif	w7376
mit	w7377
dem	w7378
Gepäcke	w7379
von	w7380
allen	w7381
vorgedachten	w7382
Geistlichen	w7383
eingelaufen	w7384
<g/>
,
derer	w7386
an	w7387
der	w7388
Zahl	w7389
150	w7390
<g/>
.
gewesen	w7392
<g/>
,
und	w7394
welche	w7395
<g/>
,
nachdem	w7397
sie	w7398
zu	w7399
Porto	w7400
<g/>
=
Stephano	w7402
in	w7403
Toscana	w7404
ausgesetzet	w7405
<g/>
,
und	w7407
dem=nächst	w7408
<g/>
=
bis	w7410
an	w7411
die	w7412
Gränzen	w7413
des	w7414
Kirchenstaats	w7415
begleitet	w7416
worden	w7417
<g/>
,
sich	w7419
nach	w7420
Toscanella	w7421
bege=ben	w7422
<g/>
=
haben	w7424
<g/>
.
Die	w7426
beyden	w7427
Bischöffe	w7428
von	w7429
Vi=terbo	w7430
<g/>
=
und	w7432
Montesiascone	w7433
haben	w7434
den	w7435
Auftrag	w7436
<g/>
,
für	w7438
ihre	w7439
Unterbringung	w7440
zu	w7441
sorgen	w7442
<g/>
,
und	w7444
sie	w7445
zu	w7446
geistlichen	w7447
Amtsverrichtungen	w7448
anzuwenden	w7449
<g/>
.
Vermuthlich	w7451
werden	w7452
einige	w7453
von	w7454
denselben	w7455
in	w7456
hiesigem	w7457
Distrikte	w7458
<g/>
,
der	w7460
unter	w7461
das	w7462
Bisthum	w7463
Viterbo	w7464
gehöret	w7465
<g/>
,
angebracht	w7467
werden	w7468
<g/>
.
</p>
<p id="p74">
Wir	w7470
Burgermeister	w7471
und	w7472
Rath	w7473
der	w7474
Stadt	w7475
Wien	w7476
<g/>
,
geben	w7478
hiemit	w7479
jederman	w7480
zu	w7481
vernehmen	w7482
<g/>
;
es	w7484
seye	w7485
über	w7486
die	w7487
schon	w7488
ehedessen	w7489
angeordnete	w7490
Licitationstagsa=tzungen	w7491
<g/>
=
verwilliget	w7493
worden	w7494
<g/>
,
das	w7496
Knapisch	w7497
vulgo	w7498
Fuhrmannische	w7499
in	w7500
der	w7501
Römerstrasse	w7502
liegende	w7503
Haus	w7504
abermal	w7505
offentlich	w7506
auszufeilen	w7507
<g/>
,
und	w7509
an	w7510
den	w7511
Meist=bietenden	w7512
<g/>
=
zu	w7514
verkaufen	w7515
<g/>
.
Da	w7517
nun	w7518
zu	w7519
diesem	w7520
En=de	w7521
<g/>
=
der	w7523
16	w7524
<g/>
.
des	w7526
Monats	w7527
Merz	w7528
dies	w7529
Jahrs	w7530
bestimmet	w7531
ist	w7532
<g/>
,
so	w7534
haben	w7535
diejenige	w7536
<g/>
,
welche	w7538
das	w7539
gedachte	w7540
Haus	w7541
zu	w7542
kaufen	w7543
willens	w7544
sind	w7545
<g/>
,
an	w7547
dem	w7548
bestimmten	w7549
Ta=ge	w7550
<g/>
=
<g/>
,
oder	w7553
da	w7554
wir	w7555
anderer	w7556
Verhinderniße	w7557
halber	w7558
diesen	w7559
Tag	w7560
nicht	w7561
zu	w7562
Rath	w7563
sitzeten	w7564
<g/>
,
dem	w7566
nächst	w7567
darauf	w7568
folgenden	w7569
Rathstag	w7570
fruh	w7571
um	w7572
8	w7573
<g/>
.
Uhr	w7575
vor	w7576
uns	w7577
zu	w7578
erscheinen	w7579
<g/>
,
und	w7581
sich	w7582
bey	w7583
unserem	w7584
<g/>
,
und	w7586
gemeiner	w7587
Stadt	w7588
Grundbuch	w7589
durch	w7590
den	w7591
Amtsschrei=ber	w7592
<g/>
=
anmelden	w7594
zu	w7595
lassen	w7596
<g/>
,
folglich	w7598
der	w7599
weiteren	w7600
Be=handlung	w7601
<g/>
=
abzuwarten	w7603
<g/>
.
</p>
<p id="p75">
Bey	w7605
Joseph	w7606
Kurtzböcken	w7607
Universtäts	w7608
<g/>
=
Buchdr	w7610
<g/>
.
in	w7612
seinem	w7613
Verlagsgewölbe	w7614
auf	w7615
dem	w7616
Hofe	w7617
ist	w7618
zu	w7619
haben	w7620
<g/>
:
</p>
<p id="p76">
Ermunterung	w7622
zur	w7623
Lectur	w7624
an	w7625
junge	w7626
Künstler	w7627
<g/>
:
eine	w7629
Rede	w7630
bey	w7631
der	w7632
ersten	w7633
feyerlichen	w7634
Austheilung	w7635
der	w7636
Preiße	w7637
in	w7638
der	w7639
neuerrichteten	w7640
k	w7641
<g/>
.
k	w7643
<g/>
.
Kupferste=cher	w7645
<g/>
=
Akademie	w7647
<g/>
,
gelesen	w7649
von	w7650
Jos	w7651
<g/>
.
v	w7653
<g/>
.
Sonnenfels	w7655
<g/>
.
groß	w7657
8vo	w7658
geb	w7659
<g/>
.
12	w7661
<g/>
.
kr	w7663
<g/>
.
</p>
<p id="p77">
Heilsame	w7665
Erinnerung	w7666
vom	w7667
bitteren	w7668
Leiden	w7669
und	w7670
Tod	w7671
Christi	w7672
auf	w7673
jeden	w7674
Tag	w7675
der	w7676
4otägigen	w7677
Fasten	w7678
von	w7679
einem	w7680
Pr	w7681
<g/>
.
der	w7683
G	w7684
<g/>
.
J	w7686
<g/>
.
8vo	w7688
in	w7689
Franzb	w7690
<g/>
.
51	w7692
<g/>
.
kr	w7694
<g/>
.
</p>
<p id="p78">
Seufzende	w7696
Turteltaube	w7697
nach	w7698
ihren	w7699
gefangenen	w7700
Geliebten	w7701
<g/>
,
das	w7703
ist	w7704
der	w7705
ganze	w7706
Paßton	w7707
in	w7708
schönen	w7709
Gebettern	w7710
<g/>
,
nebst	w7712
beygesetzten	w7713
Litaneyen	w7714
<g/>
,
Mor=gen	w7716
<g/>
=
<g/>
=
Abend	w7719
<g/>
=
Beicht	w7721
<g/>
=
Communion	w7723
und	w7724
Meßgebet=ter	w7725
<g/>
=
<g/>
,
7	w7728
<g/>
.
Bußpsalm	w7730
ꝛc	w7731
<g/>
.
mit	w7733
20	w7734
<g/>
.
Kupfern	w7736
in	w7737
Corduan	w7738
mit	w7739
Futeral	w7740
2	w7741
<g/>
.
fl	w7743
<g/>
.
15	w7745
<g/>
.
kr	w7747
<g/>
.
in	w7749
Leder	w7750
1	w7751
<g/>
.
fl	w7753
24	w7754
<g/>
.
kr	w7756
<g/>
.
</p>
<p id="p79">
Andächtige	w7758
Merzenfreytäg	w7759
zu	w7760
Ehren	w7761
des	w7762
am	w7763
Creutz	w7764
verwundten	w7765
Heylands	w7766
<g/>
,
um	w7768
ein	w7769
glückseeli=ge	w7770
<g/>
=
Sterbstund	w7772
<g/>
,
12mo	w7774
in	w7775
Leder	w7776
14	w7777
<g/>
.
kr	w7779
<g/>
.
ord	w7781
<g/>
.
10	w7783
<g/>
.
kr	w7785
<g/>
.
</p>
<p id="p80">
Geistlicher	w7787
Fastenspiegel	w7788
<g/>
,
in	w7790
welchem	w7791
die	w7792
Epi=stel	w7793
<g/>
=
<g/>
,
Stationen	w7796
und	w7797
Evangelien	w7798
für	w7799
jeden	w7800
Tag	w7801
der	w7802
Fasten	w7803
angemerkt	w7804
sind	w7805
<g/>
,
dann	w7807
Betrachtungen	w7808
aus	w7809
dem	w7810
Leiden	w7811
Christi	w7812
<g/>
,
dem	w7814
Psalm	w7815
Miserere	w7816
ꝛc	w7817
<g/>
.
8vo	w7819
in	w7820
Leder	w7821
24	w7822
<g/>
.
kr	w7824
<g/>
.
</p>
<p id="p81">
R	w7826
<g/>
.
P	w7828
<g/>
.
Tribolet	w7830
S	w7831
<g/>
.
J	w7833
<g/>
.
der	w7835
an	w7836
dem	w7837
Creutz	w7838
sterben=de	w7839
<g/>
=
Heyland	w7841
<g/>
,
in	w7843
Betrachtungen	w7844
<g/>
,
8	w7846
<g/>
.
Franzb	w7848
<g/>
.
51	w7850
<g/>
.
kr	w7852
<g/>
.
</p>
<p id="p82">
Anmuthige	w7854
Erwegungen	w7855
des	w7856
Leiden	w7857
und	w7858
To=des	w7859
<g/>
=
Jesu	w7861
Christi	w7862
12	w7863
<g/>
.
in	w7865
Leder	w7866
14	w7867
<g/>
.
kr	w7869
<g/>
.
ord	w7871
<g/>
.
10	w7873
<g/>
.
kr	w7875
<g/>
.
</p>
<p id="p83">
Der	w7877
zu	w7878
den	w7879
Sündern	w7880
redende	w7881
Heiland	w7882
<g/>
.
Fol	w7884
<g/>
.
in	w7886
Versen	w7887
10	w7888
<g/>
.
kr	w7890
<g/>
.
</p>
<p id="p84">
P	w7892
<g/>
.
Franc	w7894
<g/>
.
Harnischer	w7896
Ord	w7897
<g/>
.
PrædPraed	w7899
<g/>
.
Fastenpre=digten	w7901
<g/>
=
4to	w7903
in	w7904
Leder	w7905
geb	w7906
<g/>
.
1	w7908
<g/>
.
fl	w7910
<g/>
.
15	w7912
<g/>
.
kr	w7914
<g/>
.
</p>
<p id="p85">
R	w7916
<g/>
.
P	w7918
<g/>
.
Fischer	w7920
S	w7921
<g/>
.
J	w7923
<g/>
.
3	w7925
<g/>
.
Theile	w7927
Fastenpredigten	w7928
<g/>
,
4to	w7930
in	w7931
Leder	w7932
geb	w7933
<g/>
.
2	w7935
<g/>
.
fl	w7937
<g/>
.
30	w7939
<g/>
.
kr	w7941
<g/>
.
</p>
<p id="p86">
R	w7943
<g/>
.
D	w7945
<g/>
.
à	w7947
Vescovi	w7948
Advents	w7949
<g/>
=
und	w7951
Geheimniß=predigten	w7952
<g/>
=
4to	w7954
in	w7955
Leder	w7956
geb	w7957
<g/>
.
1	w7959
<g/>
.
fl	w7961
<g/>
.
15	w7963
<g/>
.
kr	w7965
<g/>
.
</p>
<p id="p87">
R	w7967
<g/>
.
P	w7969
<g/>
.
Vogl	w7971
S	w7972
<g/>
.
J	w7974
<g/>
.
Abhandlung	w7976
von	w7977
den	w7978
Tugen=den	w7979
<g/>
=
und	w7981
Lastern	w7982
2	w7983
<g/>
.
Theile	w7985
Franzb	w7986
<g/>
.
1	w7988
<g/>
.
fl	w7990
<g/>
.
47	w7992
<g/>
.
kr	w7994
<g/>
.
</p>
<p id="p88">
R	w7996
<g/>
.
P	w7998
<g/>
.
Cito	w8000
S	w8001
<g/>
.
J	w8003
<g/>
.
19	w8005
<g/>
.
kurze	w8007
christliche	w8008
Ermahnun=gen	w8009
<g/>
=
<g/>
,
aus	w8012
dem	w8013
wälschen	w8014
übersetzt	w8015
<g/>
,
2	w8017
<g/>
.
Theile	w8019
8vo	w8020
Franzb	w8021
<g/>
.
1	w8023
<g/>
.
fl	w8025
<g/>
.
</p>
<p id="p89">
Kräftige	w8027
Aufmunterung	w8028
zur	w8029
Busse	w8030
und	w8031
Bekeh=rung	w8032
<g/>
=
des	w8034
von	w8035
Gott	w8036
abgewichenen	w8037
Sünders	w8038
<g/>
,
groß	w8040
8vo	w8041
in	w8042
Franzb	w8043
<g/>
.
1	w8045
<g/>
.
fl	w8047
<g/>
.
8	w8049
<g/>
.
kr	w8051
<g/>
.
</p>
<p id="p90">
Die	w8053
Sprache	w8054
der	w8055
Religion	w8056
<g/>
,
aus	w8058
dem	w8059
französ	w8060
<g/>
.
übersetzt	w8062
<g/>
,
4to	w8064
geb	w8065
<g/>
.
24	w8067
<g/>
.
kr	w8069
<g/>
.
</p>
<p id="p91">
Neun	w8071
Sonntägliche	w8072
Andacht	w8073
zu	w8074
der	w8075
allerheil	w8076
<g/>
.
Dreyfaltigkeit	w8078
<g/>
,
nebst	w8080
Meß	w8081
<g/>
=
Morgen	w8083
<g/>
=
Abend	w8085
<g/>
=
Beicht	w8087
<g/>
=
und	w8089
Communiongebetter	w8090
<g/>
.
12	w8092
<g/>
.
in	w8094
Leder	w8095
geb	w8096
<g/>
.
20	w8098
<g/>
.
kr	w8100
<g/>
.
ord	w8102
<g/>
.
14	w8104
<g/>
.
kr	w8106
<g/>
.
</p>
<p id="p92">
Auserlösene	w8108
Andachtsübungen	w8109
auf	w8110
alle	w8111
Feste	w8112
des	w8113
ganzen	w8114
Jahrs	w8115
8vo	w8116
in	w8117
Corduan	w8118
mit	w8119
Futeral	w8120
<g/>
,
2	w8122
<g/>
.
fl	w8124
<g/>
.
15	w8126
<g/>
.
kr	w8128
<g/>
.
</p>
<p id="p93">
R	w8130
<g/>
.
P	w8132
<g/>
.
.Denis	w8134
S	w8135
<g/>
.
J	w8137
<g/>
.
Sammlung	w8139
kürzerer	w8140
Gedich=te	w8141
<g/>
=
aus	w8143
den	w8144
besten	w8145
Dichtern	w8146
Deutschlands	w8147
<g/>
,
groß	w8149
8vo	w8150
gebunden	w8151
1	w8152
<g/>
.
fl	w8154
<g/>
.
</p>
<p id="p94">
Abhandlung	w8156
von	w8157
dem	w8158
Nutzen	w8159
und	w8160
Gebrauch	w8161
der	w8162
Steinkohlen	w8163
<g/>
,
4to	w8165
geb	w8166
<g/>
.
15	w8168
<g/>
.
</p>
<p id="p95">
Anleitung	w8170
zum	w8171
Anbau	w8172
verschiedener	w8173
Oelgesäm	w8174
<g/>
,
und	w8176
wie	w8177
das	w8178
daraus	w8179
erlangende	w8180
Oel	w8181
statt	w8182
Jns=lichtkerzen	w8183
<g/>
=
zum	w8185
brennen	w8186
in	w8187
Lampen	w8188
vorzüglich	w8189
bey	w8190
der	w8191
Landwirthschaft	w8192
anzuwenden	w8193
sey	w8194
<g/>
.
8vo	w8196
<g/>
.
gebunden	w8198
10	w8199
<g/>
.
kr	w8201
<g/>
.
</p>
<p id="p96">
NB	w8203
<g/>
.
Es	w8205
ist	w8206
bereits	w8207
das	w8208
8te	w8209
Stück	w8210
der	w8211
Brie=fe	w8212
<g/>
=
über	w8214
die	w8215
wienerische	w8216
Schaubühne	w8217
zu	w8218
haben	w8219
<g/>
.
</p>
<p id="p97">
Bey	w8221
Emerich	w8222
Felix	w8223
Bader	w8224
in	w8225
der	w8226
Bognergasse	w8227
nächst	w8228
den	w8229
Todtenkopf	w8230
sind	w8231
zu	w8232
haben	w8233
<g/>
:
</p>
<p id="p98">
Spanhemii	w8235
<g/>
(
Ezchielis	w8237
<g/>
)
Liberi	w8239
Baronis	w8240
<g/>
,
<g/>
&
Legati	w8243
Regii	w8244
<g/>
,
Dissertationes	w8246
de	w8247
PræstantiaPraestantia	w8248
<g/>
&
Usu	w8250
Numismatum	w8251
Antiquorum	w8252
<g/>
,
2	w8254
<g/>
.
Tomi	w8256
Fol	w8257
<g/>
.
1706	w8259
<g/>
.
60	w8261
<g/>
.
fl	w8263
<g/>
.
</p>
<p id="p99">
Anectoten	w8265
<g/>
,
oder	w8267
Sammlung	w8268
kleiner	w8269
Begeben=heiten	w8270
<g/>
=
und	w8272
witziger	w8273
Einfälle	w8274
nach	w8275
alphabetischer	w8276
Ordnung	w8277
<g/>
,
8	w8279
<g/>
.
Leipzig	w8281
<g/>
,
1767	w8283
<g/>
.
2	w8285
<g/>
.
fl	w8287
<g/>
.
</p>
<p id="p100">
Belisar	w8289
von	w8290
dem	w8291
Herrn	w8292
Marmontel	w8293
aus	w8294
dem	w8295
französischen	w8296
übersetzt	w8297
<g/>
,
und	w8299
mit	w8300
neuen	w8301
Anmer=kungen	w8302
<g/>
=
begleitet	w8304
<g/>
,
nebst	w8306
der	w8307
glücklichen	w8308
Familie	w8309
<g/>
,
einer	w8311
moralischen	w8312
Erzählung	w8313
mit	w8314
Kupfer	w8315
<g/>
,
8vo	w8317
<g/>
.
Leipzig	w8319
<g/>
,
1767	w8321
<g/>
.
1	w8323
<g/>
.
fl	w8325
<g/>
.
30	w8327
<g/>
.
kr	w8329
<g/>
.
</p>
<p id="p101">
Theater	w8331
der	w8332
Deutschen	w8333
<g/>
,
5ter	w8335
Band	w8336
<g/>
,
8	w8338
<g/>
.
Berlin	w8340
<g/>
,
1767	w8342
<g/>
.
1	w8344
<g/>
.
fl	w8346
<g/>
.
4	w8348
<g/>
.
kr	w8350
<g/>
.
</p>
<p id="p102">
Schirach	w8352
<g/>
(
A	w8354
G	w8355
<g/>
.
<g/>
)
Melitto	w8358
<g/>
-
Theologia	w8360
<g/>
,
die	w8362
Verherrlichung	w8363
des	w8364
großen	w8365
Schöpfers	w8366
aus	w8367
der	w8368
wundervollen	w8369
Binne	w8370
<g/>
,
nach	w8372
Anleitung	w8373
der	w8374
Na=turlehre	w8375
<g/>
=
und	w8377
heiligen	w8378
Gottesgelarheit	w8379
in	w8380
erbau=lichen	w8381
<g/>
=
Betrachtuugen	w8383
<g/>
,
8	w8385
<g/>
.
Dreßden	w8387
<g/>
,
1767	w8389
<g/>
.
1	w8391
<g/>
.
fl	w8393
<g/>
.
30	w8395
<g/>
.
kr	w8397
<g/>
.
</p>
<p id="p103">
Abhandlungen	w8399
und	w8400
Erfahrungen	w8401
der	w8402
oeconomi=schen	w8403
<g/>
=
Binnengesellschaft	w8405
in	w8406
Oberlaußnitz	w8407
vom	w8408
Jahr	w8409
1766	w8410
<g/>
.
24	w8412
<g/>
.
kr	w8414
<g/>
.
vom	w8416
Jahr	w8417
1767	w8418
<g/>
.
1	w8420
<g/>
.
fl	w8422
<g/>
.
8	w8424
<g/>
.
Dreß=den	w8426
<g/>
=
<g/>
,
1766	w8429
<g/>
-
67	w8431
<g/>
.
</p>
<p id="p104">
Simonis	w8433
<g/>
(
M	w8435
<g/>
.
F	w8437
<g/>
.
J	w8439
<g/>
.
<g/>
)
Lobreden	w8442
<g/>
,
zu	w8444
der	w8445
Ver=herrlichung	w8446
<g/>
=
Gottes	w8448
in	w8449
seinen	w8450
Heiligen	w8451
<g/>
,
2ten	w8453
Bands	w8454
<g/>
,
2	w8456
<g/>
.
Theile	w8458
<g/>
,
8vo	w8460
<g/>
.
Augsburg	w8462
<g/>
,
1768	w8464
<g/>
.
2	w8466
<g/>
.
fl	w8468
<g/>
.
30	w8470
<g/>
.
kr	w8472
<g/>
.
</p>
<p id="p105">
Zuckerts	w8474
<g/>
(
J	w8476
<g/>
.
F	w8478
<g/>
.
<g/>
)
Systematische	w8481
Beschreibung	w8482
aller	w8483
Gesundbrunnen	w8484
und	w8485
Bäder	w8486
Deutschlands	w8487
<g/>
,
4to	w8489
<g/>
.
Berlin	w8491
<g/>
,
1768	w8493
<g/>
.
2	w8495
<g/>
.
fl	w8497
<g/>
.
15	w8499
<g/>
.
kr	w8501
<g/>
.
</p>
<p id="p106">
Versuch	w8503
aus	w8504
der	w8505
Litteratur	w8506
und	w8507
Moral	w8508
<g/>
,
8vo	w8510
<g/>
.
Leipzig	w8512
<g/>
,
1767	w8514
<g/>
.
2	w8516
<g/>
.
Stücke	w8518
1	w8519
<g/>
.
fl	w8521
<g/>
.
</p>
<p id="p107">
Geschichte	w8523
derFräulein	w8524
Phöbe	w8525
Osmond	w8526
von	w8527
der	w8528
Verfasserin	w8529
der	w8530
Lucie	w8531
Wellers	w8532
aus	w8533
dem	w8534
eng=lischen	w8535
<g/>
=
übersetzt	w8537
<g/>
,
8vo	w8539
<g/>
.
Leipzig	w8541
<g/>
,
1766	w8543
<g/>
.
1	w8545
<g/>
.
fl	w8547
<g/>
.
30	w8549
<g/>
.
kr	w8551
<g/>
.
</p>
<p id="p108">
Abendzeitvertreib	w8553
in	w8554
verschiedenen	w8555
Erzählun=gen	w8556
<g/>
=
<g/>
,
8ter	w8559
Theil	w8560
<g/>
,
8vo	w8562
<g/>
.
1767	w8564
<g/>
.
1	w8566
<g/>
.
fl	w8568
<g/>
.
</p>
<p id="p109">
Von	w8570
des	w8571
löbl	w8572
<g/>
.
Stifts	w8574
<g/>
,
und	w8576
würdigen	w8577
Gottes=haus	w8578
<g/>
=
unser	w8580
lieben	w8581
Frauen	w8582
zun	w8583
Schotten	w8584
in	w8585
Wien	w8586
Grundgerichts	w8587
wegen	w8588
<g/>
,
wird	w8590
hiemit	w8591
zu	w8592
vernehmen	w8593
gegeben	w8594
<g/>
:
Es	w8596
erfordere	w8597
die	w8598
Nothdurft	w8599
<g/>
,
daß	w8601
jene	w8602
<g/>
,
so	w8604
zu	w8605
nach	w8606
folgenden	w8607
kleinen	w8608
Verlassenschaften	w8609
<g/>
,
und	w8611
Depositen	w8612
einig	w8613
erweisliches	w8614
Recht	w8615
zu	w8616
haben	w8617
vermeinen	w8618
<g/>
,
zu	w8620
Darthuung	w8621
dessen	w8622
<g/>
,
und	w8624
sofort	w8625
zu	w8626
Aushebung	w8627
des	w8628
betreffenden	w8629
Betrags	w8630
um	w8631
so	w8632
mehr	w8633
</p>
<p id="p110">
einberuffen	w8634
werden	w8635
<g/>
,
als	w8637
mehr	w8638
daran	w8639
gelegen	w8640
ist	w8641
<g/>
,
daß	w8643
hieram	w8644
eine	w8645
förderliche	w8646
Richtigkeit	w8647
erreichet	w8648
werde	w8649
<g/>
;
wer	w8651
sich	w8652
demnach	w8653
zu	w8654
der	w8655
erliegenden	w8656
Ver=lassenschaft	w8657
<g/>
=
der	w8659
Anna	w8660
Maria	w8661
Albrechtin	w8662
St	w8663
<g/>
.
Ul=rich	w8665
<g/>
=
obern	w8667
Guts	w8668
<g/>
,
vermög	w8670
Verlasses	w8671
d	w8672
<g/>
.
d	w8674
<g/>
.
26	w8676
<g/>
.
Febr	w8678
<g/>
.
1755	w8680
<g/>
.
pr	w8682
<g/>
.
12	w8684
<g/>
.
fl	w8686
<g/>
.
8	w8688
<g/>
.
kr	w8690
<g/>
.
Der	w8692
Eva	w8693
Maria	w8694
Eneglin	w8695
obern	w8696
Guts	w8697
d	w8698
<g/>
.
d	w8700
<g/>
.
22	w8702
<g/>
.
März	w8704
1752	w8705
<g/>
.
pr	w8707
<g/>
.
1	w8709
<g/>
.
fl	w8711
<g/>
.
7	w8713
<g/>
.
kr	w8715
<g/>
.
der	w8717
Susanna	w8718
Guablin	w8719
obern	w8720
Guts	w8721
d	w8722
<g/>
.
d	w8724
<g/>
.
26	w8726
<g/>
.
Febr	w8728
<g/>
.
1755	w8730
<g/>
.
pr	w8732
<g/>
.
2	w8734
<g/>
.
fl	w8736
<g/>
.
52	w8738
<g/>
.
kr	w8740
<g/>
.
des	w8742
Joseph	w8743
Eiblstorfer	w8744
obern	w8745
Guts	w8746
d	w8747
<g/>
.
d	w8749
<g/>
.
6	w8751
<g/>
.
März	w8753
1752	w8754
pr	w8755
<g/>
.
1	w8757
<g/>
.
fl	w8759
<g/>
.
2	w8761
<g/>
.
kr	w8763
<g/>
.
der	w8765
Bar=bara	w8766
<g/>
=
Hubmüllerin	w8768
obern	w8769
Guts	w8770
d	w8771
<g/>
.
d	w8773
<g/>
.
19	w8775
<g/>
.
Jänner	w8777
1757	w8778
<g/>
.
pr	w8780
<g/>
.
10	w8782
<g/>
.
fl	w8784
<g/>
.
48	w8786
<g/>
.
kr	w8788
<g/>
.
des	w8790
Paul	w8791
Siegmund	w8792
Fux	w8793
d	w8794
<g/>
.
d	w8796
<g/>
.
30	w8798
<g/>
.
April	w8800
1757	w8801
<g/>
.
pr	w8803
<g/>
.
5	w8805
<g/>
.
fl	w8807
<g/>
.
4	w8809
<g/>
.
kr	w8811
<g/>
.
des	w8813
Adam	w8814
Ge=ringer	w8815
<g/>
=
untern	w8817
Guts	w8818
d	w8819
<g/>
.
d	w8821
<g/>
.
23	w8823
<g/>
.
Jänner	w8825
1760	w8826
<g/>
.
pr	w8828
<g/>
.
4	w8830
<g/>
.
fl	w8832
<g/>
.
53	w8834
<g/>
.
kr	w8836
<g/>
.
