<doc id="wr_1760-11-15" attrs="word" year="1760" month="11" day="15" corpus="2">
<head id="h2_d501e2585">
Kensington	w1_d501e2589
solches	w11_d501e16948
auch	w13_d501e16952
durch	w1_d501e16957
den	w3_d501e16960
bey	w5_d501e16963
dem	w7_d501e16966
K.	w9_d501e16969
O.	w11_d501e16972
H	w13_d501e16976
Marschallischen	w15_d501e16979
Amt	w17_d501e16982
d.	w1_d501e16987
d.	w3_d501e16990
29.	w5_d501e16993
Junii	w7_d501e16996
1696.	w9_d501e16999
publicirten	w11_d501e17002
Abschied	w13_d501e17006
be	w15_d501e17009
hauptet,	w1_d501e17015
und	w3_d501e17018
gleichwie	w5_d501e17021
dieser	w7_d501e17024
5te	w9_d501e17027
Theil	w11_d501e17030
ihnen	w13_d501e17034
von	w15_d501e17037
denen	w1_d501e17042
Mit=erben	w3_d501e17045
bisanhero	w5_d501e17048
nicht	w7_d501e17051
ersetzet	w9_d501e17054
worden,	w11_d501e17057
nicht	w1_d501e17062
weniger	w3_d501e17065
die	w5_d501e17068
Deposito	w7_d501e17071
befindlich	w9_d501e17074
geweste	w11_d501e17077
Sil	w13_d501e17081
ber=truhen,	w1_d501e17086
woraus	w3_d501e17089
die	w5_d501e17092
verwahrte	w7_d501e17095
Silber=effecten	w9_d501e17098
verkauffet,	w1_d501e17104
und	w3_d501e17107
das	w5_d501e17110
erlöste	w7_d501e17113
Geld	w9_d501e17116
sich	w11_d501e17119
annoch	w13_d501e17123
würk	w15_d501e17126
lich	w1_d501e17131
in	w3_d501e17134
Deposito	w5_d501e17137
befindet,	w7_d501e17140
folgsam	w9_d501e17143
da	w11_d501e17146
ihnen	w13_d501e17150
nun	w15_d501e17153
mehro	w1_d501e17158
als	w3_d501e17161
vorgedachter	w5_d501e17164
Sasfeußin	w7_d501e17167
weiters	w9_d501e17170
unterm	w11_d501e17173
11.	w1_d501e17178
May	w3_d501e17181
vorigen	w5_d501e17184
1759.	w7_d501e17187
Jahrs	w9_d501e17190
bey	w11_d501e17193
dem	w13_d501e17197
allhiesigen	w15_d501e17200
Castro	w1_d501e17206
Universitatis	w3_d501e17209
in	w5_d501e17212
Justitialibus	w7_d501e17215
erklärten	w9_d501e17218
Er	w11_d501e17221
ben	w1_d501e17226
sothaner	w3_d501e17229
zurück	w5_d501e17232
gebliebenen	w7_d501e17235
5ten	w9_d501e17238
Erbs=antheil	w11_d501e17241
von	w1_d501e17246
ihren	w3_d501e17249
Gegentheilen,	w5_d501e17252
als	w7_d501e17255
weiteren	w9_d501e17258
Erbenser	w11_d501e17261
ben	w1_d501e17266
deren	w3_d501e17269
Alt=de	w5_d501e17272
Hardischen	w7_d501e17275
Cohæreden	w9_d501e17278
billig	w11_d501e17281
ersetzet	w1_d501e17287
werden,	w3_d501e17290
und	w5_d501e17293
sothanes	w7_d501e17296
Depositum	w9_d501e17299
eben	w11_d501e17302
in	w13_d501e17306
die	w1_d501e17311
Alt=de	w3_d501e17314
Hardische	w5_d501e17317
Massam	w7_d501e17320
gehörig,	w9_d501e17323
mithin	w11_d501e17326
sie	w13_d501e17330
billig	w1_d501e17335
von	w3_d501e17338
dieser	w5_d501e17341
vorzüglich	w7_d501e17344
ihre	w9_d501e17347
Contentirung	w11_d501e17350
über	w13_d501e17354
kommen	w1_d501e17359
müsten.	w3_d501e17362
Dahero	w5_d501e17365
dann	w7_d501e17368
Eingangs=erwehl,	w9_d501e17371
rußische	w1_d501e17377
Hinterlassene	w3_d501e17380
gehorsamst	w5_d501e17383
und	w7_d501e17386
te	w1_d501e17391
Clarä	w3_d501e17394
Sasf	w5_d501e17397
demütigst	w1_d501e17402
gebetten,	w3_d501e17405
womit	w5_d501e17408
in	w7_d501e17411
die	w9_d501e17414
Erfolglassung	w11_d501e17417
be	w13_d501e17421
ren	w1_d501e17426
aus	w3_d501e17429
denen	w5_d501e17432
in	w7_d501e17435
der	w9_d501e17438
depositirt=gewest=Alt=be	w11_d501e17441
Hardische	w1_d501e17447
Silber=truhen	w3_d501e17450
befundenen	w5_d501e17453
verkauften	w7_d501e17456
Silber=effecten,	w1_d501e17461
nunmehro	w3_d501e17464
in	w5_d501e17467
Deposito	w7_d501e17470
befmlld	w9_d501e17473
lichen	w1_d501e17478
497.	w3_d501e17481
Fl.	w5_d501e17484
59.	w7_d501e17487
Kr.	w9_d501e17490
absolute	w11_d501e17493
&	w13_d501e17497
ex	w15_d501e17500
dm-	w17_d501e17503
cio	w1_d501e17508
gewilliget,	w3_d501e17511
und	w5_d501e17514
wegen	w7_d501e17517
Ausfertigung	w9_d501e17520
des	w11_d501e17523
veran	w13_d501e17527
laßten	w1_d501e17533
Valval=edicts	w3_d501e17536
die	w5_d501e17539
Auflag	w7_d501e17542
an	w9_d501e17545
seine	w11_d501e17548
Behor	w13_d501e17552
de	w1_d501e17557
erlassen	w3_d501e17560
möge	w5_d501e17563
werden;	w7_d501e17566
Da	w9_d501e17569
nun	w11_d501e17572
in	w13_d501e17576
ermeldtCla	w15_d501e17579
rä	w1_d501e17584
Saffeußischen	w3_d501e17587
Erden	w5_d501e17590
oben	w7_d501e17593
gestelltes	w9_d501e17596
Anlangen	w11_d501e17599
und	w1_d501e17604
Bitten	w3_d501e17607
gewilliget,	w5_d501e17610
als	w7_d501e17613
wird	w9_d501e17616
denen	w11_d501e17619
Eingangs	w13_d501e17623
benannten,	w1_d501e17629
weil.	w3_d501e17632
Jacob	w5_d501e17635
Krammers	w7_d501e17638
hinterlassenen	w9_d501e17641
Erben	w1_d501e17646
und	w3_d501e17649
Erbens=erben	w5_d501e17652
zuforderst	w7_d501e17655
der	w9_d501e17658
N.	w11_d501e17661
von	w13_d501e17665
Wildenfels,	w1_d501e17670
und	w3_d501e17673
N.	w5_d501e17676
Berghofferin	w7_d501e17679
ihres	w9_d501e17682
unbekann	w11_d501e17685
ten	w1_d501e17690
Aufenthalts=halber	w3_d501e17693
durch	w5_d501e17696
dieses	w7_d501e17699
offenbare	w9_d501e17702
Edict	w11_d501e17705
hiemit	w1_d501e17711
anbefohlen,	w3_d501e17714
daß	w5_d501e17717
selbe	w7_d501e17720
auf	w9_d501e17723
diese	w11_d501e17726
von	w13_d501e17730
denen	w15_d501e17733
mehr=bemerkten	w1_d501e17738
Clarä	w3_d501e17741
Safseußischen	w5_d501e17744
Erben,	w7_d501e17747
bey	w9_d501e17750
ihr	w1_d501e17755
K.	w3_d501e17758
K	w5_d501e17761
N.	w7_d501e17764
Oest.	w9_d501e17767
Regierung	w11_d501e17770
eingereichtvorre	w13_d501e17774
censirte	w1_d501e17779
Klag,	w3_d501e17782
und	w5_d501e17785
hierauf	w7_d501e17788
mit	w9_d501e17791
Vorwissen	w11_d501e17794
bewilligte	w13_d501e17798
Erfolglassung	w1_d501e17804
von	w3_d501e17807
Zeit	w5_d501e17810
der	w7_d501e17813
Affigirung	w9_d501e17816
dieses	w11_d501e17819
Edicts	w13_d501e17823
binnen	w1_d501e17828
denen	w3_d501e17831
nächsten	w5_d501e17834
6.	w7_d501e17837
Wochen	w9_d501e17840
und	w11_d501e17843
3.	w13_d501e17847
Tagen	w15_d501e17850
alsogewiß	w1_d501e17855
bey	w3_d501e17858
dieser	w5_d501e17861
Stelle	w7_d501e17864
ihre	w9_d501e17867
etwann	w11_d501e17870
vermeintli	w13_d501e17874
che	w1_d501e17879
dagegen	w3_d501e17882
habende	w5_d501e17885
Einwürfe	w7_d501e17888
und	w9_d501e17891
Behelfe	w11_d501e17894
ein	w13_d501e17898
reichen,	w1_d501e17904
wie	w3_d501e17907
ansonsten	w5_d501e17910
in	w7_d501e17913
Entstehung	w9_d501e17916
dessen	w11_d501e17919
auf	w13_d501e17923
ferneres	w1_d501e17928
geziemendes	w3_d501e17931
Anlangen	w5_d501e17934
deren	w7_d501e17937
Clarä	w9_d501e17940
Saf	w11_d501e17943
seußischen	w1_d501e17948
Erben	w3_d501e17951
dieselbe	w5_d501e17954
weitershin	w7_d501e17957
in	w9_d501e17960
ordine	w11_d501e17963
verbescheidet,	w1_d501e17968
sohin	w3_d501e17971
in	w5_d501e17974
die	w7_d501e17977
Erfolglassung	w9_d501e17980
deren	w11_d501e17983
aus	w13_d501e17987
denen	w1_d501e17993
de	w3_d501e17996
Hardischen	w5_d501e17999
depositirt=gewesten	w7_d501e18002
Silber	w9_d501e18005
effecten	w1_d501e18010
erlöste	w3_d501e18013
Geld	w5_d501e18016
pr.	w7_d501e18019
497.	w9_d501e18022
Fl.	w11_d501e18025
59.	w13_d501e18029
Kr	w15_d501e18032
von	w17_d501e18035
de	w19_d501e18038
den	w1_d501e18043
Depositis	w3_d501e18046
ausgefolget	w5_d501e18049
werden	w7_d501e18052
solle;	w9_d501e18055
wornach	w11_d501e18058
dieselbe	w1_d501e18063
sich	w3_d501e18066
zu	w5_d501e18069
richten	w7_d501e18072
wissen	w9_d501e18075
werden	w11_d501e18078
An	w1_d501e18084
</p>
<head id="h2_d501e18175">
Lunden	w1_d501e18179
28.	w3_d501e18182
Octob.	w5_d501e18185
</head>
<p id="p4_d501e18188">
Die	w1_d501e18192
Herren	w3_d501e18195
des	w5_d501e18198
geheimen	w7_d501e18201
Staats=rahts	w9_d501e18204
versammelten	w1_d501e18209
sich	w3_d501e18212
den	w5_d501e18215
25.	w7_d501e18218
Vormittags	w9_d501e18221
in	w1_d501e18226
dem	w3_d501e18229
Pallast	w5_d501e18232
von	w7_d501e18235
Carleton,	w9_d501e18238
und	w11_d501e18241
eröfneten:	w13_d501e18245
welchergestalten	w1_d501e18251
George	w3_d501e18254
der	w5_d501e18257
Dritte,	w7_d501e18260
als	w9_d501e18263
Mo	w11_d501e18266
narch	w1_d501e18271
von	w3_d501e18274
Groß=britannien,	w5_d501e18277
ausgeruffen	w7_d501e18280
wer	w9_d501e18283
den	w1_d501e18288
solle;	w3_d501e18291
Dieses	w5_d501e18294
geschahe	w7_d501e18297
auch	w9_d501e18300
den	w11_d501e18303
26sten	w13_d501e18307
Mittags,	w1_d501e18312
vor	w3_d501e18315
dem	w5_d501e18318
Pallast	w7_d501e18321
von	w9_d501e18324
Saville,	w11_d501e18327
den	w13_d501e18331
ehedessen	w1_d501e18337
der	w3_d501e18340
Prinz	w5_d501e18343
von	w7_d501e18346
Wallis	w9_d501e18349
bewohnete	w11_d501e18352
Hierauf	w1_d501e18357
stiegen	w3_d501e18360
die	w5_d501e18363
Wappen=heerolde	w7_d501e18366
zu	w9_d501e18369
Pferde,	w1_d501e18374
und	w3_d501e18377
wiederholten	w5_d501e18380
die	w7_d501e18383
Proclamation	w9_d501e18386
in	w1_d501e18391
den	w3_d501e18394
vier	w5_d501e18397
Haupt=theilen	w7_d501e18400
der	w9_d501e18403
Stadt	w11_d501e18406
London.	w13_d501e18410
Den	w1_d501e18416
26sten	w3_d501e18419
früh	w5_d501e18422
hielte	w7_d501e18425
der	w9_d501e18428
neue	w11_d501e18431
König	w13_d501e18435
sei	w15_d501e18438
nen	w1_d501e18443
ersten	w3_d501e18446
geheimen	w5_d501e18449
Raht	w7_d501e18452
in	w9_d501e18455
ermeldetem	w11_d501e18458
Pallast	w1_d501e18463
zu	w3_d501e18466
Carleton.	w5_d501e18469
Auf	w7_d501e18472
Ersuchen	w9_d501e18475
Dero	w11_d501e18478
Staats=rähte	w1_d501e18483
ertheilten	w3_d501e18486
Sie	w5_d501e18489
folgende	w7_d501e18492
nach	w9_d501e18495
drückliche	w1_d501e18501
Erklärung:	w3_d501e18504
Der	w5_d501e18507
Tod	w7_d501e18510
des	w9_d501e18513
Königs,	w11_d501e18516
meines	w1_d501e18521
Groß=vatters,	w3_d501e18524
würde	w5_d501e18527
zu	w7_d501e18530
allen	w9_d501e18533
Zeiten	w11_d501e18536
ein	w1_d501e18541
Verlust	w3_d501e18544
für	w5_d501e18547
Groß=britannien	w7_d501e18550
gewesen	w9_d501e18553
seyn,	w1_d501e18558
allein	w3_d501e18561
nach	w5_d501e18564
Beschaffenheit	w7_d501e18567
deren	w9_d501e18570
jetzigen	w11_d501e18573
Läuften,	w1_d501e18579
ist	w3_d501e18582
selber	w5_d501e18585
unwidersprechlich	w7_d501e18588
der	w9_d501e18591
empfindlichste.	w1_d501e18596
Der	w3_d501e18599
Nachfolger	w5_d501e18602
in	w7_d501e18605
der	w9_d501e18608
Re	w11_d501e18611
gierung	w1_d501e18616
zu	w3_d501e18619
seyn,	w5_d501e18622
ist	w7_d501e18625
eine	w9_d501e18628
grosse	w11_d501e18631
Last.	w13_d501e18635
Jch	w15_d501e18638
fühle	w1_d501e18643
meine	w3_d501e18646
Schwäche,	w5_d501e18649
aber	w7_d501e18652
ich	w9_d501e18655
liebe	w11_d501e18658
mein	w13_d501e18662
Vatterland.	w1_d501e18668
Jch	w3_d501e18671
verlasse	w5_d501e18674
mich	w7_d501e18677
auf	w9_d501e18680
die	w11_d501e18683
er	w13_d501e18687
lauchte	w1_d501e18692
Einsichten,	w3_d501e18695
Erfahrung	w5_d501e18698
und	w7_d501e18701
Raht	w9_d501e18704
schläge	w1_d501e18709
Jhrer	w3_d501e18712
Excellenzen,	w5_d501e18715
und	w7_d501e18718
auf	w9_d501e18721
den	w11_d501e18724
Bey	w13_d501e18728
stand	w1_d501e18733
aller	w3_d501e18736
redlichen	w5_d501e18739
Engländer.	w7_d501e18742
Solchem	w9_d501e18745
nach	w1_d501e18751
betrette	w3_d501e18754
ich	w5_d501e18757
mit	w7_d501e18760
Vergnügen	w9_d501e18763
diese	w11_d501e18766
neue	w13_d501e18770
beschwerliche	w1_d501e18775
Bahne.	w3_d501e18778
Nichts	w5_d501e18781
soll	w7_d501e18784
mir	w9_d501e18787
nä	w11_d501e18790
her	w1_d501e18795
am	w3_d501e18798
Herzen	w5_d501e18801
seyn:	w7_d501e18804
als	w9_d501e18807
den	w11_d501e18810
Ruhm	w13_d501e18814
und	w15_d501e18817
die	w1_d501e18822
Wolfahrt	w3_d501e18825
dieser	w5_d501e18828
Königreiche	w7_d501e18831
zu	w9_d501e18834
befördern,	w11_d501e18837
wie	w1_d501e18843
auch	w3_d501e18846
die	w5_d501e18849
Verfassung	w7_d501e18852
der	w9_d501e18855
Kirche	w11_d501e18858
und	w13_d501e18862
des	w15_d501e18865
Staates	w1_d501e18870
zu	w3_d501e18873
erhalten	w5_d501e18876
und	w7_d501e18879
zu	w9_d501e18882
vermehren.	w11_d501e18885
Ja,	w1_d501e18890
da	w3_d501e18893
ich	w5_d501e18896
in	w7_d501e18899
der	w9_d501e18902
Mitte	w11_d501e18905
eines	w13_d501e18909
so	w15_d501e18912
gerechten,	w17_d501e18915
als	w19_d501e18918
noht=gedrungenen	w1_d501e18923
Krieges	w3_d501e18926
den	w5_d501e18929
Thron	w7_d501e18932
besteige,	w9_d501e18935
so	w1_d501e18941
werde	w3_d501e18944
ich	w5_d501e18947
gleicher=dingen	w7_d501e18950
mich	w9_d501e18953
möglichst	w11_d501e18956
</p>
<p id="p6_d501e18959">
beeifern,	w1_d501e18963
mit	w3_d501e18966
Beyhülfe	w5_d501e18969
meiner	w7_d501e18972
Bundesver	w9_d501e18975
wandten	w1_d501e18980
einen	w3_d501e18983
rühmlichen	w5_d501e18986
und	w7_d501e18989
beständigen	w9_d501e18992
Frieden	w1_d501e18997
zu	w3_d501e19000
stisten.”	w5_d501e19003
Die	w7_d501e19006
folgenden	w9_d501e19009
Tage	w11_d501e19012
legten	w1_d501e19018
die	w3_d501e19021
zwey	w5_d501e19024
Cammern	w7_d501e19027
und	w9_d501e19030
die	w11_d501e19033
Gerichts	w13_d501e19037
höfe	w1_d501e19042
von	w3_d501e19045
London,	w5_d501e19048
die	w7_d501e19051
Huldigung	w9_d501e19054
ab.	w11_d501e19057
</p>
<p id="p8_d501e19060">
Den	w1_d501e19064
3.	w3_d501e19067
Decemb.	w5_d501e19070
1760.	w7_d501e19073
wird	w9_d501e19076
in	w11_d501e19079
dem	w13_d501e19083
Landes	w15_d501e19086
fürstl.	w1_d501e19091
Markt	w3_d501e19094
Langenloys	w5_d501e19097
des	w7_d501e19100
Johann	w9_d501e19103
Michael	w11_d501e19106
Schiebers	w1_d501e19111
halbe	w3_d501e19114
vierziger	w5_d501e19117
Lehens=behausung,	w7_d501e19120
samt	w1_d501e19126
darzugehörigen	w3_d501e19129
Gründen,	w5_d501e19132
und	w7_d501e19135
Weißgärber	w9_d501e19138
profeßion,	w1_d501e19143
wie	w3_d501e19146
auch	w5_d501e19149
eine	w7_d501e19152
zweyte	w9_d501e19155
derley	w11_d501e19158
vacante	w13_d501e19162
Profeßion	w1_d501e19167
ohne	w3_d501e19170
Haus,	w5_d501e19173
fruhe	w7_d501e19176
um	w9_d501e19179
8.	w11_d501e19182
Uhr	w13_d501e19186
auf	w15_d501e19189
dem	w17_d501e19192
Raht=haus	w1_d501e19197
daselbst	w3_d501e19200
dem	w5_d501e19203
Meistbietenden	w7_d501e19206
licitando	w9_d501e19209
verkauffet	w1_d501e19215
werden.	w3_d501e19218
</p>
<p id="p10_d501e19221">
Den	w1_d501e19225
20.	w3_d501e19228
dies	w5_d501e19231
lauffenden	w7_d501e19234
Monats	w9_d501e19237
Novembri	w11_d501e19240
werden	w1_d501e19245
auf	w3_d501e19248
der	w5_d501e19251
Sailerstadt	w7_d501e19254
in	w9_d501e19257
der	w11_d501e19260
grossen	w13_d501e19264
Holler	w15_d501e19267
stauden	w1_d501e19272
im	w3_d501e19275
ersten	w5_d501e19278
Stock	w7_d501e19281
in	w9_d501e19284
des	w11_d501e19287
Kaiserl.	w13_d501e19291
Königl.	w15_d501e19294
Jud.	w1_d501e19300
Del.	w3_d501e19303
Mixt.	w5_d501e19306
in	w7_d501e19309
Milit.	w9_d501e19312
Canzley	w11_d501e19315
verschiedene	w13_d501e19319
Verlassenschafts=effecten,	w1_d501e19324
als:	w3_d501e19327
eine	w5_d501e19330
goldene	w7_d501e19333
Re	w9_d501e19336
petir=uhr,	w1_d501e19341
ein	w3_d501e19344
mit	w5_d501e19347
Böhmischen	w7_d501e19350
Steinen	w9_d501e19353
in	w11_d501e19356
Sil	w13_d501e19360
ber	w1_d501e19365
gefastes	w3_d501e19368
Plack,	w5_d501e19371
Manns=kleider	w7_d501e19374
und	w9_d501e19377
Wäsch,	w11_d501e19380
dann	w1_d501e19386
andere	w3_d501e19389
Fahrnussen	w5_d501e19392
Vormittags	w7_d501e19395
von	w9_d501e19398
9.	w11_d501e19401
bis	w13_d501e19405
12.	w1_d501e19410
Nachmittags	w3_d501e19413
aber	w5_d501e19416
von	w7_d501e19419
3.	w9_d501e19422
bis	w11_d501e19425
6	w13_d501e19429
Uhr	w15_d501e19432
dem	w17_d501e19435
Meistbietenden	w1_d501e19440
verkäuflich	w3_d501e19443
hindann	w5_d501e19446
gegeben	w7_d501e19449
werden.	w9_d501e19452
</p>
<p id="p12_d501e19456">
Die	w1_d501e19460
neuliche	w3_d501e19463
in	w5_d501e19466
dem	w7_d501e19469
jüngst	w9_d501e19472
verflossenen	w11_d501e19475
Octob.	w13_d501e19479
dem	w1_d501e19484
Publico	w3_d501e19487
schon	w5_d501e19490
kund	w7_d501e19493
gemachte	w9_d501e19496
künstliche	w11_d501e19499
Vir	w13_d501e19503
tuosa	w1_d501e19508
von	w3_d501e19511
Jtaliänischen,	w5_d501e19514
Niederländischen,	w7_d501e19517
als	w9_d501e19520
vielen	w1_d501e19526
anderen	w3_d501e19529
berühmten	w5_d501e19532
Meistern	w7_d501e19535
Schiltereyen,	w9_d501e19538
und	w1_d501e19543
Bilder	w3_d501e19546
denen	w5_d501e19549
Liebhabern	w7_d501e19552
auf	w9_d501e19555
der	w11_d501e19558
Sailer	w13_d501e19562
stadt	w1_d501e19567
gegen	w3_d501e19570
dem	w5_d501e19573
General=feld=marschall	w7_d501e19576
Grafen	w9_d501e19579
von	w1_d501e19584
Daun	w3_d501e19587
über,	w5_d501e19590
in	w7_d501e19593
dem	w9_d501e19596
Sefferin=Hueberischen	w11_d501e19599
Haus	w1_d501e19605
zu	w3_d501e19608
ebener	w5_d501e19611
Erde	w7_d501e19614
in	w9_d501e19617
dem	w11_d501e19620
Eck	w13_d501e19624
bey	w15_d501e19627
dem	w17_d501e19630
Do	w19_d501e19633
minico	w1_d501e19638
Roth,	w3_d501e19641
um	w5_d501e19644
billigen	w7_d501e19647
Preis	w9_d501e19650
berührte	w11_d501e19653
Bil	w13_d501e19657
der	w1_d501e19662
zu	w3_d501e19665
verkauffen	w5_d501e19668
seynd.	w7_d501e19671
Nun	w1_d501e19676
wird	w3_d501e19679
der	w5_d501e19682
Anfang	w7_d501e19685
des	w9_d501e19688
Verkaufs	w11_d501e19691
der	w13_d501e19695
Mah	w15_d501e19698
lereyen	w1_d501e19704
dies	w3_d501e19707
Monats	w5_d501e19710
Nov.	w7_d501e19713
als	w9_d501e19716
den	w11_d501e19719
20.	w13_d501e19723
21.	w15_d501e19726
und	w17_d501e19729
22.	w1_d501e19734
und	w3_d501e19737
folgende	w5_d501e19740
Täge	w7_d501e19743
gemacht,	w9_d501e19746
und	w11_d501e19749
bestimmet,	w13_d501e19753
</p>
<p id="p14_d501e19756">
alda	w1_d501e19760
ist	w3_d501e19763
auch	w5_d501e19766
für	w7_d501e19769
die	w9_d501e19772
Liebhaber	w11_d501e19775
der	w13_d501e19779
Catalogus	w15_d501e19782
zu	w1_d501e19787
haben.	w3_d501e19790
</p>
<p id="p16_d501e19793">
Es	w1_d501e19797
ist	w3_d501e19800
abermalen	w5_d501e19803
der	w7_d501e19806
Tyroller	w9_d501e19809
bot	w11_d501e19812
angelanget,	w13_d501e19816
und	w1_d501e19821
har	w3_d501e19824
mit	w5_d501e19827
sich	w7_d501e19830
gebracht	w9_d501e19833
einen	w11_d501e19836
extra	w13_d501e19840
guten	w15_d501e19843
Kir	w17_d501e19846
schen=geist;	w1_d501e19851
seine	w3_d501e19854
Logirung	w5_d501e19857
ist	w7_d501e19860
in	w9_d501e19863
dem	w11_d501e19866
Seitzer	w13_d501e19870
hof	w1_d501e19876
bey	w3_d501e19879
dem	w5_d501e19882
Wirt	w7_d501e19885
zu	w9_d501e19888
erfragen,	w11_d501e19891
er	w13_d501e19895
selbsten	w15_d501e19898
ist	w17_d501e19901
an	w19_d501e19904
zutreffen	w1_d501e19909
Vormittags	w3_d501e19912
von	w5_d501e19915
9.	w7_d501e19918
bis	w9_d501e19921
10.	w11_d501e19924
Nachmit	w13_d501e19928
tags	w1_d501e19933
aber	w3_d501e19936
von	w5_d501e19939
3.	w7_d501e19942
bis	w9_d501e19945
4.	w11_d501e19948
Uhr.	w13_d501e19952
Der	w15_d501e19955
Kirschew=geis	w17_d501e19958
ist	w1_d501e19963
in	w3_d501e19966
dem	w5_d501e19969
Prälaten=keller	w7_d501e19972
zu	w9_d501e19975
haben.	w11_d501e19978
</p>
<p id="p20_d501e19986">
Es	w1_d501e19990
ist	w3_d501e19993
am	w5_d501e19996
14.	w7_d501e19999
Novemb.	w9_d501e20002
1760.	w11_d501e20005
aus	w13_d501e20009
einem	w15_d501e20012
herr	w17_d501e20015
schaftlichen	w1_d501e20020
Hause	w3_d501e20023
alhier	w5_d501e20026
in	w7_d501e20029
Wien	w9_d501e20032
eine	w11_d501e20035
grosse	w13_d501e20039
gelbe	w1_d501e20044
brocatellene	w3_d501e20047
Tisch=decke	w5_d501e20050
gestohlen	w7_d501e20053
worden;	w9_d501e20056
wer	w1_d501e20062
also	w3_d501e20065
davon	w5_d501e20068
Nachricht	w7_d501e20071
geben	w9_d501e20074
kan,	w11_d501e20077
hat	w13_d501e20081
sich	w15_d501e20084
derohalb	w1_d501e20089
bey	w3_d501e20092
alhiesigem	w5_d501e20095
K.	w7_d501e20098
K.	w9_d501e20101
Frag	w11_d501e20104
und	w13_d501e20108
Kund	w15_d501e20111
schafts=amt	w1_d501e20116
zu	w3_d501e20119
melden,	w5_d501e20122
hat	w7_d501e20125
eine	w9_d501e20128
Erkenntlichkeit	w11_d501e20131
von	w1_d501e20136
einem	w3_d501e20139
Ducaten	w5_d501e20142
zu	w7_d501e20145
erwarten.	w9_d501e20148
</p>
<p id="p22_d501e20151">
Von	w1_d501e20155
dem	w3_d501e20158
K.	w5_d501e20161
K.	w7_d501e20164
Stadt	w9_d501e20167
und	w11_d501e20170
Land=gericht	w13_d501e20174
Wien,	w15_d501e20177
wird	w1_d501e20182
hiemit	w3_d501e20185
jedermänniglich	w5_d501e20188
kund	w7_d501e20191
und	w9_d501e20194
zu	w11_d501e20197
wissen	w13_d501e20201
gemacht:	w1_d501e20206
wasgestalten	w3_d501e20209
auf	w5_d501e20212
schriftliches	w7_d501e20215
Anlangen	w9_d501e20218
Jgnatz	w1_d501e20224
Hüttling,	w3_d501e20227
wider	w5_d501e20230
den	w7_d501e20233
Eyblischen	w9_d501e20236
Herrn	w11_d501e20239
Curatorem	w1_d501e20244
bonorum	w3_d501e20247
&	w5_d501e20250
ad	w7_d501e20253
lites	w9_d501e20256
in	w11_d501e20259
die	w13_d501e20263
gerichtl.	w15_d501e20266
Licitir	w1_d501e20271
und	w3_d501e20274
Feilbietung	w5_d501e20277
einige	w7_d501e20280
bereits	w9_d501e20283
geschätzte	w11_d501e20286
bey	w1_d501e20291
ihme	w3_d501e20294
Hüttling	w5_d501e20297
pro	w7_d501e20300
hypotheca	w9_d501e20303
befindlichen	w11_d501e20306
Zeug=waaren,	w1_d501e20312
so	w3_d501e20315
in	w5_d501e20318
einem	w7_d501e20321
Stuck	w9_d501e20324
Carmes.	w11_d501e20327
gan	w13_d501e20331
Croiset,	w1_d501e20336
einem	w3_d501e20339
Rest	w5_d501e20342
schwarzen	w7_d501e20345
Poplin,	w9_d501e20348
1.	w11_d501e20351
Stuck	w13_d501e20355
violet	w1_d501e20360
Allapens,	w3_d501e20363
3.	w5_d501e20366
Stuck	w7_d501e20369
halb=seiden	w9_d501e20372
Croiset	w11_d501e20375
1.	w1_d501e20380
Stuck	w3_d501e20383
schwarz=pigl.	w5_d501e20386
Mayländer,	w7_d501e20389
1.	w9_d501e20392
Rest=stuck	w11_d501e20395
1.	w1_d501e20401
Rest	w3_d501e20404
schwarz=geblumten	w5_d501e20407
Callamang,	w7_d501e20410
4	w9_d501e20413
Rest	w11_d501e20416
Grob=faden=parcan,	w1_d501e20421
1.	w3_d501e20424
Stuck	w5_d501e20427
Ponson=fronell,	w7_d501e20430
20.	w1_d501e20435
Stuck	w3_d501e20438
gestreiften	w5_d501e20441
Consent,	w7_d501e20444
auch	w9_d501e20447
anderen	w11_d501e20450
der	w13_d501e20454
gleichen	w1_d501e20459
Zeugen	w3_d501e20462
bestehend,	w5_d501e20465
gewilliget,	w7_d501e20468
auch	w9_d501e20471
zu	w11_d501e20474
Vornehmung	w1_d501e20480
sothaner	w3_d501e20483
Licitation	w5_d501e20486
der	w7_d501e20489
27.	w9_d501e20492
dies	w11_d501e20495
lauf	w13_d501e20499
fenden	w1_d501e20504
Monats	w3_d501e20507
Novemb.	w5_d501e20510
Vormittags	w7_d501e20513
von	w9_d501e20516
9.	w11_d501e20519
bis	w13_d501e20523
12.	w1_d501e20528
und	w3_d501e20531
Nachmittags	w5_d501e20534
von	w7_d501e20537
3.	w9_d501e20540
bis	w11_d501e20543
6.	w13_d501e20547
Uhr	w15_d501e20550
in	w17_d501e20553
dem	w19_d501e20556
sogenannt=Graf	w1_d501e20561
Gatterburgischen	w3_d501e20564
gegen	w5_d501e20567
der	w7_d501e20570
Ganß	w9_d501e20573
über	w1_d501e20579
bey	w3_d501e20582
dem	w5_d501e20585
roten	w7_d501e20588
Thurn	w9_d501e20591
ligenden	w11_d501e20594
Behausung	w13_d501e20598
im	w1_d501e20603
dritten	w3_d501e20606
Stock	w5_d501e20609
zu	w7_d501e20612
erscheinen	w9_d501e20615
