<doc id="edoc_wd_1759-10-03" attrs="word" year="1759" month="10" day="03" corpus="1">
<head id="hl1">
Lahn	w46
ausgefertigten	w7205
<g/>
,
laut	w7207
der	w7208
durch	w7209
gedachten	w7210
Franz	w7211
Bachmayr	w7212
allschon	w7213
den	w7214
25	w7215
<g/>
.
Augusti	w7217
1757	w7218
<g/>
.
hierorts	w7220
schriftlich	w7221
beschehenen	w7222
Anzeige	w7223
in	w7224
Verstoß	w7225
gerahtenen	w7226
dritten	w7227
Satz	w7228
<g/>
=
brief	w7230
<g/>
,
und	w7232
vom	w7233
obigen	w7234
Schuld	w7235
<g/>
=
schein	w7237
die	w7238
Originalien	w7239
etwann	w7240
in	w7241
Han-den	w7242
<g/>
-
haben	w7244
<g/>
,
von	w7246
heut	w7247
Dato	w7248
längstens	w7249
bis	w7250
künf-tigen	w7251
<g/>
-
Decembris	w7253
dies	w7254
Jahrs	w7255
bey	w7256
dem	w7257
Wieneri=schen	w7258
<g/>
=
Burger	w7260
<g/>
=
spitals	w7262
<g/>
=
grund	w7264
<g/>
=
buch	w7266
also	w7267
gewiß	w7268
zu	w7269
erscheinen	w7270
<g/>
,
mentionirtten	w7272
Schuld	w7273
<g/>
=
schein	w7275
<g/>
,
und	w7277
Satz	w7278
<g/>
=
auszug	w7280
mitzubringen	w7281
<g/>
,
sich	w7283
zu	w7284
legitimiren	w7285
<g/>
,
und	w7287
unter	w7288
ei	w7289
stens	w7290
ihre	w7291
Forderungen	w7292
zu	w7293
liquidi-ren	w7294
<g/>
-
<g/>
,
hiemit	w7297
sub	w7298
primo	w7299
secundo	w7300
<g/>
&
tertio	w7302
Ter-mino	w7303
<g/>
-
dergestalten	w7305
citiret	w7306
<g/>
,
daß	w7308
in	w7309
nicht	w7310
Erschei=nungs	w7311
<g/>
=
<g/>
=
fall	w7314
obig	w7315
verlorner	w7316
Original	w7317
<g/>
-
schuld	w7319
<g/>
=
schein	w7321
und	w7322
Satz	w7323
<g/>
-
auszug	w7325
ex	w7326
officio	w7327
caßiret	w7328
und	w7329
dar-überhin	w7330
<g/>
-
niemand	w7332
mehr	w7333
angehöret	w7334
<g/>
,
sondern	w7336
de=nen	w7337
<g/>
=
Ausbleibenden	w7339
das	w7340
ewige	w7341
Stillschweigen	w7342
auf=erleget	w7343
<g/>
=
<g/>
,
und	w7346
obigen	w7347
Franz	w7348
Bachmayr	w7349
<g/>
,
auf	w7351
wei=teres	w7352
<g/>
=
Anlangen	w7354
an	w7355
Statt	w7356
des	w7357
verlornen	w7358
Satz	w7359
aus=zugs	w7360
<g/>
=
eine	w7362
vidimirte	w7363
Abschrift	w7364
aus	w7365
dem	w7366
Grund	w7367
<g/>
=
und	w7369
Satz	w7370
<g/>
-
buch	w7372
extradiret	w7373
werden	w7374
wurde	w7375
<g/>
.
Actum	w7377
Wien	w7378
den	w7379
11	w7380
<g/>
.
Sept	w7382
<g/>
.
1759	w7384
<g/>
.
</p>
<p id="p66">
Wir	w7386
Endes	w7387
Gefertigte	w7388
von	w7389
einem	w7390
Löbl	w7391
<g/>
.
Land=marschallischen	w7393
<g/>
=
Gericht	w7395
verordnete	w7396
Commissarien	w7397
fügen	w7398
N	w7399
<g/>
.
allen	w7401
und	w7402
jeden	w7403
<g/>
,
so	w7405
an	w7406
Weil	w7407
<g/>
.
Thomä	w7409
Freyhart	w7410
<g/>
,
gräfl	w7412
<g/>
.
Lambergischen	w7414
Laquais	w7415
seel	w7416
<g/>
.
Ver=lassenschaft	w7418
<g/>
=
<g/>
-
erbschaft	w7421
<g/>
,
oder	w7423
Schulden	w7424
halber	w7425
Sprüch	w7426
und	w7427
Anforderungen	w7428
haben	w7429
<g/>
,
oder	w7431
zu	w7432
ha=ben	w7433
<g/>
=
vermeinen	w7435
<g/>
,
besonders	w7437
denen	w7438
unwissentlich	w7439
nächsten	w7440
Befreunden	w7441
<g/>
,
und	w7443
ab	w7444
intestato	w7445
kommen=den	w7446
<g/>
=
Erben	w7448
des	w7449
ersagten	w7450
Thomä	w7451
Freyhart	w7452
hiemit	w7453
zu	w7454
wissen	w7455
<g/>
:
welcher	w7457
<g/>
=
gestalten	w7459
wir	w7460
auf	w7461
Anlangen	w7462
des	w7463
gerichtlich	w7464
aufgestellt	w7465
<g/>
-
Freyhartischen	w7467
Curato-ris	w7468
<g/>
-
ad	w7470
Actum	w7471
Herrn	w7472
Doctoris	w7473
Wachtl	w7474
<g/>
,
und	w7476
hierüber	w7477
an	w7478
uns	w7479
ergangene	w7480
gerichtliche	w7481
Auflage	w7482
eine	w7483
nochmalige	w7484
peremptorie	w7485
clausulirte	w7486
ConvoConvocations	w7487
<g/>
=
</p>
<p id="p67">
cations	w7491
<g/>
=
tagsatzung	w7493
auf	w7494
den	w7495
2	w7496
<g/>
.
Novembris	w7498
dies	w7499
Jahrs	w7500
Nachmittag	w7501
um	w7502
2	w7503
<g/>
.
Uhr	w7505
in	w7506
mein	w7507
Land=schreibers	w7508
<g/>
=
im	w7510
Ziginischen	w7511
Haus	w7512
in	w7513
der	w7514
Wald	w7515
zeil	w7516
im	w7517
zweyten	w7518
Stock	w7519
habenden	w7520
Wohnung	w7521
zu	w7522
erschei=nen	w7523
<g/>
=
<g/>
,
p	w7526
o	w7527
ultimo	w7528
Termino	w7529
bestimmet	w7530
haben	w7531
<g/>
.
</p>
<p id="p68">
Solchemnach	w7533
werden	w7534
all	w7535
<g/>
=
und	w7537
jede	w7538
Jntereßierte	w7539
<g/>
,
so	w7541
an	w7542
obbemeldeter	w7543
Freyhartischen	w7544
Verlassenschaft=erbschaft	w7545
<g/>
=
<g/>
,
oder	w7548
Schulden	w7549
halber	w7550
Sprüch	w7551
und	w7552
Anforderungen	w7553
haben	w7554
<g/>
,
oder	w7556
zu	w7557
haben	w7558
vermeinen	w7559
<g/>
,
besonders	w7561
die	w7562
nächste	w7563
Freunde	w7564
<g/>
,
und	w7566
ab	w7567
intestato	w7568
kommende	w7569
Erben	w7570
des	w7571
Thomä	w7572
Freyhart	w7573
<g/>
,
an	w7575
ob=gedachten	w7576
<g/>
=
Tag	w7578
<g/>
,
Stund	w7580
und	w7581
Ort	w7582
also	w7583
gewiß	w7584
per=sönlich	w7585
<g/>
=
<g/>
,
oder	w7588
durch	w7589
genugsam	w7590
Gevollmächtigte	w7591
erscheinen	w7592
<g/>
,
ihre	w7594
Sprüch	w7595
anmelden	w7596
<g/>
,
und	w7598
zugleich	w7599
der	w7600
Ordnung	w7601
nach	w7602
behörig	w7603
liquidiren	w7604
<g/>
,
als	w7606
im	w7607
widrigen	w7608
die	w7609
Abhandlung	w7610
vorgenommen	w7611
<g/>
,
hierü=ber	w7613
<g/>
=
ex	w7615
officio	w7616
relationiret	w7617
<g/>
,
denen	w7619
Ausbleibenden	w7620
aber	w7621
das	w7622
ewige	w7623
Stillschweigen	w7624
auferleget	w7625
werden	w7626
solle	w7627
<g/>
.
Actum	w7629
Wien	w7630
den	w7631
3	w7632
<g/>
.
Sept	w7634
<g/>
.
1759	w7636
<g/>
.
</p>
<p id="p69">
Gabriel	w7638
Joseph	w7639
Stettner	w7640
<g/>
,
Land=schreiber	w7642
<g/>
=
<g/>
.
</p>
<p id="p70">
Franz	w7645
Bernhard	w7646
Edler	w7647
von	w7648
Keeß	w7649
<g/>
,
L	w7651
<g/>
.
M	w7653
<g/>
.
Gerichts	w7655
<g/>
=
secretarius	w7657
<g/>
.
</p>
<p id="p71">
Auf	w7659
Verordnung	w7660
einer	w7661
Hochlöbl	w7662
<g/>
.
N	w7664
<g/>
.
Oe	w7666
<g/>
.
Re=gierung	w7668
<g/>
=
<g/>
,
werden	w7671
im	w7672
tieffen	w7673
Haus	w7674
am	w7675
Hof	w7676
<g/>
,
im	w7678
anderten	w7679
Stock	w7680
verschiedene	w7681
in	w7682
Gold	w7683
<g/>
,
Silber	w7685
<g/>
,
Kleidern	w7687
<g/>
,
Weiß	w7689
<g/>
=
zeug	w7691
<g/>
,
Uhren	w7693
<g/>
,
Bildern	w7695
<g/>
,
Kästen	w7697
<g/>
,
Zinn	w7699
<g/>
,
Kupfer	w7701
<g/>
,
Meßina	w7703
<g/>
,
bestehende	w7705
Verlassen=schafts	w7706
<g/>
=
<g/>
=
effecten	w7709
<g/>
,
den	w7711
8	w7712
<g/>
.
October	w7714
fruh	w7715
von	w7716
9	w7717
<g/>
.
bis	w7719
12	w7720
<g/>
,
dann	w7722
Nachmittag	w7723
von	w7724
3	w7725
<g/>
.
bis	w7727
6	w7728
<g/>
.
Uhr	w7730
lici=tando	w7731
<g/>
=
dem	w7733
Meist	w7734
<g/>
=
bietenden	w7736
und	w7737
baar	w7738
bezahlen=den	w7739
<g/>
=
hindann	w7741
gegeben	w7742
werden	w7743
<g/>
.
</p>
<p id="p72">
Es	w7745
ist	w7746
auf	w7747
künftigen	w7748
St	w7749
<g/>
.
Georgi	w7751
1760	w7752
<g/>
.
bey	w7754
denen	w7755
Barfüßigen	w7756
Carmeliterin	w7757
bey	w7758
St	w7759
<g/>
.
Joseph	w7761
<g/>
,
daß	w7763
Kaiserl	w7764
<g/>
.
Stift	w7766
<g/>
=
haus	w7768
neben	w7769
der	w7770
Kirchen	w7771
<g/>
,
samt	w7773
3	w7774
Stöck	w7775
hoch	w7776
<g/>
,
nebst	w7778
Stallung	w7779
<g/>
,
Wagen	w7781
<g/>
=
schupfen	w7783
<g/>
,
Keller	w7785
<g/>
,
Holz	w7787
<g/>
=
gewölb	w7789
<g/>
,
Böden	w7791
<g/>
,
und	w7793
aller	w7794
Zugehör	w7795
zu	w7796
verlassen	w7797
<g/>
,
wer	w7799
solches	w7800
bestehen	w7801
will	w7802
<g/>
,
kan	w7804
sich	w7805
darumen	w7806
bey	w7807
den	w7808
Löbl	w7809
<g/>
.
Kloster	w7811
deren	w7812
Siebenbü=chern	w7813
<g/>
=
anmelden	w7815
<g/>
.
</p>
<p id="p73">
Den	w7817
8	w7818
<g/>
.
October	w7820
und	w7821
folgende	w7822
Täge	w7823
fruh	w7824
von	w7825
9	w7826
<g/>
.
bis	w7828
12	w7829
<g/>
.
<g/>
,
Nachmittag	w7832
von	w7833
3	w7834
<g/>
.
bis	w7836
6	w7837
<g/>
.
Uhr	w7839
wer=den	w7840
<g/>
=
auf	w7842
der	w7843
Sailerstadt	w7844
in	w7845
der	w7846
sogenannten	w7847
Hol=lerstauden	w7848
<g/>
=
in	w7850
dem	w7851
anderten	w7852
Stock	w7853
<g/>
,
verschiedene	w7855
Verlassenschafts	w7856
<g/>
=
effecten	w7858
<g/>
,
als	w7860
Tabattieren	w7861
<g/>
,
Sack	w7863
<g/>
=
und	w7865
andere	w7866
Uhren	w7867
<g/>
,
Silber	w7869
<g/>
,
sammetene	w7871
bordirte	w7872
und	w7873
andere	w7874
Manns	w7875
<g/>
=
kleider	w7877
<g/>
,
worunter	w7879
ein	w7880
schar-lachener	w7881
<g/>
-
mit	w7883
Gold	w7884
gestickter	w7885
Mantel	w7886
<g/>
,
ein	w7888
porce=lanener	w7889
<g/>
=
Tafel	w7891
<g/>
=
und	w7893
Confect	w7894
<g/>
=
aufsatz	w7896
<g/>
,
<g/>
,
Wägen	w7899
<g/>
,
und	w7901
Pferd	w7902
<g/>
=
geschirr	w7904
<g/>
,
bordirt	w7906
<g/>
=
und	w7908
andere	w7909
Schabracken	w7910
<g/>
,
samt	w7912
Sattel	w7913
<g/>
=
und	w7915
Zaum	w7916
<g/>
,
extra	w7918
guter	w7919
Rhein	w7920
<g/>
=
wein	w7922
<g/>
,
Oesterreicher	w7924
<g/>
,
Bisamberger	w7926
<g/>
,
Grinzinger	w7928
<g/>
,
Nuß=berger	w7930
<g/>
=
<g/>
,
Ratzerstorfer	w7933
<g/>
=
und	w7935
andere	w7936
Hungarische	w7937
Weine	w7938
<g/>
,
endlich	w7940
verschiedene	w7941
Mobilien	w7942
<g/>
,
Effecten	w7944
und	w7945
Einrichtung	w7946
<g/>
,
plus	w7948
offerenti	w7949
licitando	w7950
ververkauffet	w7951
<g/>
=
</p>
<p id="p74">
kauffet	w7953
werden	w7954
<g/>
,
und	w7956
wird	w7957
von	w7958
denen	w7959
Weinen	w7960
den	w7961
6	w7962
<g/>
.
und	w7964
7	w7965
<g/>
.
October	w7967
in	w7968
gedachten	w7969
Haus	w7970
die	w7971
Kost	w7972
gegeben	w7973
werden	w7974
<g/>
.
</p>
<p id="p75">
Von	w7976
des	w7977
Pfarr	w7978
Hausleithnerischen	w7979
Grund	w7980
<g/>
=
buchs=wegen	w7982
<g/>
=
<g/>
,
wird	w7985
hiermit	w7986
dem	w7987
dahin	w7988
unterwürfig	w7989
<g/>
,
vor	w7991
einiger	w7992
Zeit	w7993
entwichenen	w7994
<g/>
,
nunmehro	w7996
aber	w7997
unbewusten	w7998
Unterthan	w7999
Johann	w8000
Michael	w8001
Wis=bauer	w8002
<g/>
=
<g/>
,
von	w8005
Stranzendorf	w8006
kund	w8007
<g/>
,
und	w8009
zu	w8010
wissen	w8011
gemacht	w8012
<g/>
,
daß	w8014
derselbe	w8015
von	w8016
heut	w8017
Dato	w8018
an	w8019
innner	w8020
6	w8021
<g/>
.
Wochen	w8023
und	w8024
3	w8025
<g/>
.
Tägen	w8027
sich	w8028
also	w8029
gewiß	w8030
bey	w8031
diesseitiger	w8032
Grund	w8033
<g/>
=
buchs	w8035
<g/>
=
canzley	w8037
<g/>
,
damit	w8039
man	w8040
wegen	w8041
der	w8042
von	w8043
ihme	w8044
verlassenen	w8045
Behausung	w8046
samt	w8047
Grund	w8048
<g/>
=
stücken	w8050
<g/>
,
und	w8052
sich	w8053
zeigenden	w8054
namhaften	w8055
Schulden	w8056
das	w8057
weitere	w8058
vorkehren	w8059
könne	w8060
<g/>
,
einfin-den	w8062
<g/>
-
solle	w8064
<g/>
;
als	w8066
im	w8067
widrigen	w8068
das	w8069
Haus	w8070
cum	w8071
Ap-pertinentiis	w8072
<g/>
-
den	w8074
6	w8075
<g/>
.
Monats	w8077
<g/>
=
tag	w8079
Octobris	w8080
die-ses	w8081
<g/>
-
1759	w8083
<g/>
.
Jahr	w8085
ex	w8086
officio	w8087
licitando	w8088
verkauffet	w8089
werden	w8090
wurde	w8091
<g/>
.
Welches	w8093
man	w8094
also	w8095
ihme	w8096
Johann	w8097
Michael	w8098
Wisbauer	w8099
zur	w8100
behöriger	w8101
Nachricht	w8102
durch	w8103
gegenwärtiges	w8104
Edict	w8105
hat	w8106
anerinneren	w8107
wollen	w8108
<g/>
.
Gegeben	w8110
Dechant	w8111
<g/>
=
hof	w8113
Hausleithen	w8114
den	w8115
1	w8116
<g/>
.
Sept	w8118
<g/>
.
1759	w8120
<g/>
.
</p>
<p id="p76">
Von	w8122
der	w8123
Hoch	w8124
<g/>
=
gräfl	w8126
<g/>
.
Excellenz	w8128
Abensperg	w8129
<g/>
,
und	w8131
Traunischen	w8132
Herrschaft	w8133
Bockflüsser	w8134
<g/>
=
Amts=canzley	w8136
<g/>
=
wegen	w8138
<g/>
,
wird	w8140
hiermit	w8141
jedermänniglich	w8142
kund	w8143
und	w8144
zu	w8145
wissen	w8146
hemacht	w8147
<g/>
,
daß	w8149
des	w8150
Franz	w8151
Schulzens	w8152
Behausung	w8153
samt	w8154
überländ	w8155
Grund=stück	w8156
<g/>
=
<g/>
,
heurigen	w8159
Fechsung	w8160
und	w8161
Wirtschafts	w8162
<g/>
=
effec=ten	w8164
<g/>
=
<g/>
,
nachdeme	w8167
solche	w8168
unpartheyisch	w8169
abgeschätzt	w8170
<g/>
,
und	w8172
der	w8173
Ordnung	w8174
feil	w8175
gebotten	w8176
worden	w8177
<g/>
,
auf	w8179
den	w8180
5ten	w8181
lauffenden	w8182
Monats	w8183
Octobris	w8184
a	w8185
<g/>
.
c	w8187
<g/>
.
um	w8189
8	w8190
<g/>
.
Uhr	w8192
fruh	w8193
licitando	w8194
zu	w8195
verkauffen	w8196
<g/>
,
zugleich	w8198
für	w8199
jene	w8200
<g/>
,
welche	w8202
an	w8203
obgedachtem	w8204
Franz	w8205
Schulzischen	w8206
Vermögen	w8207
einige	w8208
Forderung	w8209
haben	w8210
<g/>
,
pro	w8212
tertio	w8213
<g/>
&
ultimo	w8215
Termino	w8216
die	w8217
Liquidations	w8218
<g/>
=
tagsatzung	w8220
anberaumet	w8221
seye	w8222
<g/>
.
Wer	w8224
also	w8225
obgedachte	w8226
Behau=sung	w8227
<g/>
=
und	w8229
überländ	w8230
Grund	w8231
<g/>
=
stück	w8233
oder	w8234
Wirtschafts=effecten	w8235
<g/>
=
käufich	w8237
an	w8238
sich	w8239
zu	w8240
bringen	w8241
gedenket	w8242
<g/>
,
oder	w8244
an	w8245
sothanem	w8246
Vermögen	w8247
einige	w8248
Forderung	w8249
zu	w8250
ha=ben	w8251
<g/>
=
vermeinet	w8253
<g/>
,
solle	w8255
sich	w8256
an	w8257
obbestimmten	w8258
Tag	w8259
<g/>
,
und	w8261
Stund	w8262
bey	w8263
gedachter	w8264
Herrschafts	w8265
<g/>
=
canzley	w8267
geziemend	w8268
anmelden	w8269
<g/>
.
</p>
<p id="p77">
Bey	w8271
Hrn	w8272
<g/>
.
Joh	w8274
<g/>
.
Thomas	w8276
Trattner	w8277
K	w8278
<g/>
.
K	w8280
<g/>
.
Hof	w8282
<g/>
=
buch=drucker	w8284
<g/>
=
<g/>
,
und	w8287
Buchhändler	w8288
<g/>
,
alhier	w8290
in	w8291
dessen	w8292
Buch=handlung	w8293
<g/>
=
auf	w8295
dem	w8296
Kohlmarkt	w8297
in	w8298
dem	w8299
von	w8300
Fische=rischen	w8301
<g/>
=
Haus	w8303
<g/>
,
ist	w8305
unter	w8306
andern	w8307
Büchern	w8308
folgen=des	w8309
<g/>
=
zu	w8311
haben	w8312
<g/>
:
</p>
<p id="p78">
Sammlung	w8314
poetische	w8315
Neuigkeiten	w8316
<g/>
.
1stes	w8318
Wochen=stück	w8319
<g/>
=
nebst	w8321
anderen	w8322
des	w8323
Herbst	w8324
<g/>
=
monats	w8326
<g/>
,
groß	w8328
8vo	w8329
<g/>
.
Halle	w8331
und	w8332
Leipzig	w8333
759	w8334
<g/>
.
NB	w8336
<g/>
.
Die	w8338
jährliche	w8339
Prænu-merationPraenumeration	w8340
<g/>
-
auf	w8342
diese	w8343
Wochenschrift	w8344
ist	w8345
4	w8346
<g/>
.
fl	w8348
<g/>
.
Wö=chentlich	w8350
<g/>
=
werden	w8352
2	w8353
<g/>
.
Stücke	w8355
davon	w8356
ausgegeben	w8357
<g/>
,
und	w8359
zwar	w8360
eines	w8361
am	w8362
Montag	w8363
<g/>
,
und	w8365
das	w8366
andere	w8367
am	w8368
Donnerstag	w8369
<g/>
.
Jedes	w8371
Stück	w8372
wird	w8373
besonders	w8374
a	w8375
3	w8376
<g/>
.
kr	w8378
<g/>
.
verkauft	w8380
<g/>
.
</p>
<head id="hl26">
Beschluß	w8382
der	w8383
Rußischen	w8384
Relation	w8385
</head>
<p id="p79">
Noch	w8386
währender	w8387
Bataille	w8388
rückte	w8389
ein	w8390
feindliches	w8391
Detaschement	w8392
<g/>
,
so	w8394
aus	w8395
einigen	w8396
Bataillons	w8397
und	w8398
Escadrons	w8399
bestand	w8400
<g/>
,
und	w8402
zur	w8403
Bedeckung	w8404
der	w8405
Brücken	w8406
nachgeblieben	w8407
<g/>
,
in	w8409
Frankfort	w8410
ein	w8411
<g/>
,
indem	w8413
es	w8414
den	w8415
Sieg	w8416
auf	w8417
seiner	w8418
Seite	w8419
ganz	w8420
gewiß	w8421
hielt	w8422
<g/>
,
und	w8424
machte	w8425
den	w8426
daselbst	w8427
<g/>
,
auf	w8429
Ansuchen	w8430
der	w8431
Stadt	w8432
<g/>
,
zu	w8434
ihrer	w8435
Sicherheit	w8436
nachgelassenen	w8437
Major	w8438
nebst	w8439
5	w8440
<g/>
.
Ober	w8442
officieren	w8443
<g/>
,
und	w8445
260	w8446
<g/>
.
Gemeinen	w8448
<g/>
,
ohne	w8450
auf	w8451
die	w8452
von	w8453
Magistrat	w8454
dawider	w8455
gethane	w8456
Vorstel=lung	w8457
<g/>
=
zu	w8459
achten	w8460
<g/>
,
zu	w8462
Kriegs	w8463
<g/>
=
gefangenen	w8465
<g/>
,
plunderte	w8467
einige	w8468
dahin	w8469
gebrachte	w8470
bleßirte	w8471
Officiere	w8472
<g/>
,
und	w8474
einen	w8475
Theil	w8476
der	w8477
Oesterreichischen	w8478
Bagage	w8479
<g/>
,
und	w8481
zog	w8482
hierauf	w8483
sogleich	w8484
wieder	w8485
zur	w8486
Stadt	w8487
hinaus	w8488
<g/>
.
Jnzwischen	w8490
meldet	w8491
jetzo	w8492
der	w8493
Preußische	w8494
General	w8495
<g/>
=
leutenant	w8497
Fink	w8498
in	w8499
einem	w8500
Schreiben	w8501
an	w8502
den	w8503
Bri=gadier	w8504
<g/>
=
Grafen	w8506
Brüce	w8507
<g/>
,
welcher	w8509
die	w8510
Stelle	w8511
des	w8512
dejourirenden	w8513
General	w8514
ma=jor	w8515
<g/>
=
vertritt	w8517
<g/>
,
daß	w8519
alle	w8520
diese	w8521
Mannschaft	w8522
wieder	w8523
los	w8524
<g/>
=
gelassen	w8526
werden	w8527
solle	w8528
<g/>
.
</p>
<p id="p80">
Euer	w8530
Kaiserl	w8531
<g/>
.
Majestät	w8533
kan	w8534
ich	w8535
bezeugen	w8536
<g/>
,
daß	w8538
<g/>
,
wann	w8540
jemalen	w8541
ein	w8542
Sieg	w8543
glorreicher	w8544
<g/>
,
und	w8546
vollkommener	w8547
gewesen	w8548
<g/>
,
so	w8550
verdienet	w8551
doch	w8552
der	w8553
Ei=fer	w8554
<g/>
=
<g/>
,
und	w8557
die	w8558
Geschicklichkeit	w8559
deren	w8560
Generals	w8561
und	w8562
Officiers	w8563
<g/>
,
wie	w8565
nicht	w8566
we=niger	w8567
<g/>
=
die	w8569
Unerschrockenheit	w8570
<g/>
,
Tapferkeit	w8572
<g/>
,
und	w8574
der	w8575
einsame	w8576
Gehorsam	w8577
de=ren	w8578
<g/>
=
Soldaten	w8580
auf	w8581
ewig	w8582
als	w8583
ein	w8584
Muster	w8585
angeführet	w8586
zu	w8587
werden	w8588
<g/>
.
Da	w8590
auch	w8591
sonst	w8592
bey	w8593
Armeen	w8594
<g/>
,
die	w8596
von	w8597
verschiedenen	w8598
Nationen	w8599
zusammen	w8600
<g/>
=
gesetzet	w8602
seynd	w8603
<g/>
,
der	w8605
Neid	w8606
<g/>
,
und	w8608
die	w8609
Uneinigkeit	w8610
fast	w8611
zur	w8612
Gewohnheit	w8613
geworden	w8614
<g/>
,
so	w8616
schiene	w8617
im	w8618
Gegen	w8619
<g/>
=
theil	w8621
das	w8622
Römisch	w8623
<g/>
=
Kaiserliche	w8625
Corps	w8626
sich	w8627
mit	w8628
Euer	w8629
Kai=serl	w8630
<g/>
=
<g/>
.
Majestät	w8633
Armee	w8634
nur	w8635
zu	w8636
dem	w8637
Ende	w8638
conjungiret	w8639
zu	w8640
haben	w8641
<g/>
,
damit	w8643
bey=derley	w8644
<g/>
=
Trupen	w8646
unpartheyische	w8647
Zeugen	w8648
ihrer	w8649
Bravour	w8650
<g/>
,
die	w8652
Welt	w8653
aber	w8654
von	w8655
einer	w8656
genauen	w8657
Harmonie	w8658
und	w8659
Eintracht	w8660
alliirter	w8661
Völker	w8662
ein	w8663
Beyspiel	w8664
ha=ben	w8665
<g/>
=
könte	w8667
<g/>
.
</p>
<p id="p81">
Unsere	w8669
Artillerie	w8670
hat	w8671
ihren	w8672
Ruhm	w8673
behauptet	w8674
<g/>
,
den	w8676
sie	w8677
sich	w8678
bey	w8679
allen	w8680
anderen	w8681
Gelegenheiten	w8682
schon	w8683
erworben	w8684
<g/>
.
</p>
<p id="p82">
Der	w8686
dem	w8687
fliehenden	w8688
Feinde	w8689
nachgeschickte	w8690
General	w8691
<g/>
=
major	w8693
Graf	w8694
von	w8695
Tottleben	w8696
sandte	w8697
seine	w8698
Cosacken	w8699
über	w8700
den	w8701
Morast	w8702
in	w8703
einen	w8704
Wald	w8705
nach	w8706
dem	w8707
feindlichen	w8708
linken	w8709
Flügel	w8710
<g/>
,
um	w8712
die	w8713
Cavallerie	w8714
von	w8715
der	w8716
Jnfanterie	w8717
zu	w8718
coupiren	w8719
<g/>
,
und	w8721
machte	w8722
selbst	w8723
mit	w8724
denen	w8725
Hussaren	w8726
<g/>
,
und	w8728
zweyen	w8729
Escadrons	w8730
von	w8731
Seiner	w8732
Kaiserl	w8733
<g/>
.
Hoheit	w8735
Küraßier	w8736
<g/>
=
regiment	w8738
<g/>
,
welches	w8740
sich	w8741
die	w8742
ganze	w8743
Zeit	w8744
über	w8745
ausnehmend	w8746
hervorgethan	w8747
<g/>
,
alle	w8749
Anstalten	w8750
zur	w8751
Attaque	w8752
<g/>
.
Kaum	w8754
hatten	w8755
sich	w8756
aber	w8757
die	w8758
Cosacken	w8759
gezeiget	w8760
<g/>
,
so	w8762
fieng	w8763
die	w8764
feindliche	w8765
Cavallerie	w8766
schon	w8767
an	w8768
<g/>
,
sich	w8770
zuruck	w8771
zu	w8772
ziehen	w8773
<g/>
;
sie	w8775
konte	w8776
aber	w8777
nicht	w8778
entwischen	w8779
<g/>
,
sondern	w8781
</p>
<p id="p83">
wurde	w8784
von	w8785
denen	w8786
Cosacken	w8787
und	w8788
Hussaren	w8789
zu	w8790
gleicher	w8791
Zeit	w8792
angegriffen	w8793
<g/>
,
übern	w8795
Hauffen	w8796
geworfen	w8797
<g/>
,
viele	w8799
theils	w8800
niedergestossen	w8801
<g/>
,
theils	w8803
gefangen	w8804
ge=nommen	w8805
<g/>
=
<g/>
,
und	w8808
ein	w8809
ganzes	w8810
Escadron	w8811
Kuraßiers	w8812
<g/>
,
welches	w8814
sich	w8815
von	w8816
denen	w8817
anderen	w8818
getrennet	w8819
hatte	w8820
<g/>
,
von	w8822
zwanzig	w8823
Cosacken	w8824
<g/>
,
und	w8826
funfzehen	w8827
Hussaren	w8828
in	w8829
ein	w8830
Morast	w8831
gesprenget	w8832
<g/>
,
und	w8834
samt	w8835
der	w8836
Standarte	w8837
gefangen	w8838
<g/>
.
</p>
<p id="p84">
Der	w8840
Baron	w8841
von	w8842
Loudon	w8843
hat	w8844
seiner	w8845
Seits	w8846
dem	w8847
Feinde	w8848
auf	w8849
der	w8850
Flucht	w8851
nicht	w8852
wenigeren	w8853
Schaden	w8854
zugefüget	w8855
<g/>
.
Man	w8857
hat	w8858
dem	w8859
Feinde	w8860
über=haupt	w8861
<g/>
=
zwey	w8863
Meilen	w8864
<g/>
,
oder	w8866
ungefähr	w8867
15	w8868
<g/>
.
Werst	w8870
nachgesetzt	w8871
<g/>
,
und	w8873
nur	w8874
die	w8875
Dunkelheit	w8876
der	w8877
Nacht	w8878
hat	w8879
das	w8880
weitere	w8881
Verfolgen	w8882
gehindert	w8883
<g/>
.
Auf	w8885
der	w8886
Flucht	w8887
seynd	w8888
dem	w8889
Feinde	w8890
10	w8891
<g/>
.
Canonen	w8893
nebst	w8894
Zubehör	w8895
abgenommen	w8896
<g/>
,
346	w8898
<g/>
.
Mann	w8900
Gemeine	w8901
<g/>
,
3	w8903
<g/>
.
Capitains	w8905
<g/>
,
4	w8907
<g/>
.
Leutenants	w8909
<g/>
,
und	w8911
1	w8912
<g/>
.
Cornet	w8914
zu	w8915
Kriegs=gefangenen	w8916
<g/>
=
gemacht	w8918
<g/>
,
noch	w8920
weit	w8921
mehrere	w8922
aber	w8923
niedergehauen	w8924
<g/>
,
und	w8926
zerstreuet	w8927
worden	w8928
<g/>
.
Auch	w8930
haben	w8931
unsere	w8932
Cosacken	w8933
und	w8934
Hussaren	w8935
in	w8936
zweyen	w8937
Dörfern	w8938
200	w8939
<g/>
.
