<doc id="wr_1761-09-26" attrs="word" year="1761" month="09" day="26" corpus="2">
<head id="h2_d590e2570">
St.	w1_d590e2574
dies	w7_d590e16938
auch	w9_d590e16941
gewilliget	w11_d590e16944
Als	w1_d590e16949
würdet	w3_d590e16952
allen	w5_d590e16955
und	w7_d590e16958
jeden,	w9_d590e16961
so	w11_d590e16964
an	w13_d590e16968
besagt	w15_d590e16971
Ter	w17_d590e16974
lingoisches	w1_d590e16979
Haus	w3_d590e16982
einen	w5_d590e16985
Antheil	w7_d590e16988
oder	w9_d590e16991
Sprüch	w11_d590e16994
zu	w13_d590e16998
haben	w1_d590e17003
vermeinen,	w3_d590e17006
durch	w5_d590e17009
gegenwärtiges	w7_d590e17012
Edict	w9_d590e17015
von	w11_d590e17018
Amts	w1_d590e17024
wegen	w3_d590e17027
auferleget,	w5_d590e17030
daß	w7_d590e17033
selbe	w9_d590e17036
von	w11_d590e17039
Dato	w13_d590e17043
an	w15_d590e17046
inner	w1_d590e17051
Jahr	w3_d590e17054
6.	w5_d590e17057
Wochen	w7_d590e17060
und	w9_d590e17063
3.	w11_d590e17066
Tägen	w13_d590e17070
ihre	w15_d590e17073
etwa	w17_d590e17076
habende	w1_d590e17081
Sprüch	w3_d590e17084
bey	w5_d590e17087
einem	w7_d590e17090
Stadt=raht	w9_d590e17093
also	w11_d590e17096
ge	w13_d590e17100
wiß	w1_d590e17105
anbringen,	w3_d590e17108
wie	w5_d590e17111
im	w7_d590e17114
widrigen	w9_d590e17117
nach	w11_d590e17120
Verstrei	w13_d590e17124
chung	w1_d590e17130
dieses	w3_d590e17133
Termins	w5_d590e17136
sothane	w7_d590e17139
Legitimationes,	w9_d590e17142
Sätz,	w1_d590e17147
und	w3_d590e17150
Documena	w5_d590e17153
caßiret,	w7_d590e17156
hierüber	w9_d590e17159
niemand	w11_d590e17162
nehr	w1_d590e17167
angehöret,	w3_d590e17170
sonder	w5_d590e17173
dem	w7_d590e17176
Gräflichen	w9_d590e17179
Herrn	w11_d590e17182
Supplicanten	w1_d590e17187
die	w3_d590e17190
Gewöhr	w5_d590e17193
umlnggtTerlingoi	w7_d590e17196
sdes	w1_d590e17202
Haus	w3_d590e17205
ohne	w5_d590e17208
weiterenertheilet	w7_d590e17211
werden	w9_d590e17214
solle.	w11_d590e17217
Wornach	w1_d590e17222
sich	w3_d590e17225
sodann	w5_d590e17228
jevermu	w7_d590e17231
kichten,	w9_d590e17234
und	w11_d590e17237
vor	w13_d590e17241
Schaden	w1_d590e17246
zu	w3_d590e17249
hüten	w5_d590e17252
wissen	w7_d590e17255
wird.	w9_d590e17258
</p>
<p id="p30_d590e17261">
Von	w1_d590e17265
der	w3_d590e17268
Rönzisch=Kai.	w5_d590e17271
Kön.	w7_d590e17274
Apostolischen	w9_d590e17277
Ma	w11_d590e17280
jestät	w1_d590e17285
in	w3_d590e17288
der	w5_d590e17291
Jud	w7_d590e17294
Samuel	w9_d590e17297
und	w11_d590e17300
Emanuel	w13_d590e17304
Oppenhei	w15_d590e17307
merischen	w1_d590e17312
Verlassenschafts=abhandlungs=sache	w3_d590e17315
verordneten	w1_d590e17321
Hof=commißion	w3_d590e17324
wegen,	w5_d590e17327
würdet	w7_d590e17330
all	w9_d590e17333
und	w1_d590e17338
jeden	w3_d590e17341
Partheyen,	w5_d590e17344
so	w7_d590e17347
bey	w9_d590e17350
dem	w11_d590e17353
Jud	w13_d590e17357
Samuel	w15_d590e17360
und	w1_d590e17365
Emanuel	w3_d590e17368
Oppenheimerischen	w5_d590e17371
angeordneten	w7_d590e17374
Concursu	w1_d590e17379
einige	w3_d590e17382
Forderung	w5_d590e17385
gestellet,	w7_d590e17388
und	w9_d590e17391
ange	w11_d590e17394
meldet	w1_d590e17400
haben,	w3_d590e17403
wie	w5_d590e17406
auch	w7_d590e17409
derenselben	w9_d590e17412
Erben,	w11_d590e17415
Ceßio	w13_d590e17419
narien	w1_d590e17424
oder	w3_d590e17427
Jnhabern	w5_d590e17430
sothaner	w7_d590e17433
Forderungen	w9_d590e17436
durch	w11_d590e17439
gegenwärtig=offenes	w1_d590e17444
Edict	w3_d590e17447
kund	w5_d590e17450
und	w7_d590e17453
zu	w9_d590e17456
wissen	w11_d590e17459
ge	w13_d590e17463
macht.	w1_d590e17468
Demnach	w3_d590e17471
der	w5_d590e17474
bey	w7_d590e17477
gedacht=Jud	w9_d590e17480
Sanzuel	w11_d590e17483
und	w1_d590e17489
Emanuel	w3_d590e17492
Oppenheimerischen	w5_d590e17495
angeordneten	w7_d590e17498
Concursu	w1_d590e17503
Creditorum	w3_d590e17506
mit	w5_d590e17509
denen	w7_d590e17512
sich	w9_d590e17515
angemeld	w11_d590e17518
ten	w1_d590e17523
erwehnt	w3_d590e17526
Oppen	w5_d590e17529
eimerlichen	w7_d590e17532
Credits=partheyen	w9_d590e17535
abgeführte	w1_d590e17540
Cridä=proceß	w3_d590e17543
nunmehro	w5_d590e17546
geschlossen,	w7_d590e17549
und	w1_d590e17555
zur	w3_d590e17558
Richterl.	w5_d590e17561
Entscheidung	w7_d590e17564
allbereits	w9_d590e17567
überge	w11_d590e17570
ben	w1_d590e17575
worden,	w3_d590e17578
sohin	w5_d590e17581
an	w7_d590e17584
deme	w9_d590e17587
erwindet,	w11_d590e17590
daß	w13_d590e17594
der	w15_d590e17597
ab	w17_d590e17600
gefaßte	w1_d590e17605
Cridä	w3_d590e17608
Abschied	w5_d590e17611
publiciret,	w7_d590e17614
und	w9_d590e17617
zu	w11_d590e17620
solchem	w13_d590e17624
Ende	w1_d590e17629
ad	w3_d590e17632
publicandum	w5_d590e17635
dessen	w7_d590e17638
Tag	w9_d590e17641
und	w11_d590e17644
Stund	w13_d590e17648
be	w15_d590e17651
nennet,	w1_d590e17657
ein	w3_d590e17660
solches	w5_d590e17663
aber	w7_d590e17666
denen	w9_d590e17669
gesamtintereßir	w11_d590e17672
ten	w1_d590e17677
Partheyen	w3_d590e17680
veroffenbaret	w5_d590e17683
werde;	w7_d590e17686
da	w9_d590e17689
nun	w11_d590e17692
hier	w13_d590e17696
umen	w1_d590e17701
auch	w3_d590e17704
der	w5_d590e17707
gerichtl.	w7_d590e17710
aufgestellte	w9_d590e17713
Sanzuel	w11_d590e17716
und	w13_d590e17720
Emanuel	w1_d590e17725
Oppenheimerischen	w3_d590e17728
Massä	w5_d590e17731
Curator	w7_d590e17734
ad	w9_d590e17737
li-	w11_d590e17740
tes	w1_d590e17746
Johann	w3_d590e17749
Franz	w5_d590e17752
Joseph	w7_d590e17755
Purkner	w9_d590e17758
der	w11_d590e17761
Rechten	w13_d590e17765
Doctor,	w1_d590e17770
auch	w3_d590e17773
Hof	w5_d590e17776
und	w7_d590e17779
Gerichts=abvorat	w9_d590e17782
billich	w11_d590e17785
angelanget,	w1_d590e17790
und	w3_d590e17793
somit	w5_d590e17796
zu	w7_d590e17799
Publicirung	w9_d590e17802
sothanen	w11_d590e17805
Cridä	w1_d590e17810
Avschieds	w3_d590e17813
der	w5_d590e17816
2te	w7_d590e17819
künftigen	w9_d590e17822
Monats	w11_d590e17825
Dec	w13_d590e17829
bestimmet,	w1_d590e17835
und	w3_d590e17838
anberaumet	w5_d590e17841
worden	w7_d590e17844
ist.	w9_d590e17847
Als	w11_d590e17850
wer	w13_d590e17854
den	w1_d590e17859
all	w3_d590e17862
und	w5_d590e17865
jede	w7_d590e17868
Eingangs	w9_d590e17871
ermeldte	w11_d590e17874
Partheyen	w13_d590e17878
auf	w1_d590e17883
obgedachten	w3_d590e17886
Tag	w5_d590e17889
als	w7_d590e17892
den	w9_d590e17895
2	w11_d590e17898
Decemb.	w13_d590e17902
Nachmit	w15_d590e17905
tag	w1_d590e17910
präcise	w3_d590e17913
um	w5_d590e17916
3.	w7_d590e17919
Uhr	w9_d590e17922
vor	w11_d590e17925
das	w13_d590e17929
K.	w15_d590e17932
K.	w17_d590e17935
Hofcommis	w19_d590e17938
stons	w1_d590e17944
Präsidis	w3_d590e17947
Jhrer	w5_d590e17950
K.	w7_d590e17953
K.	w9_d590e17956
Majestät	w11_d590e17959
Regierungs	w13_d590e17963
raht	w1_d590e17968
Herrn	w3_d590e17971
Paul	w5_d590e17974
Frey	w7_d590e17977
und	w9_d590e17980
Pannier,	w11_d590e17983
Herrn	w13_d590e17987
von	w15_d590e17990
Buol	w1_d590e17995
auf	w3_d590e17998
der	w5_d590e18001
hohen	w7_d590e18004
Brucken	w9_d590e18007
in	w11_d590e18010
der	w13_d590e18014
Freyherrl.	w15_d590e18017
Buolischen	w1_d590e18022
Behausung	w3_d590e18025
habenden	w5_d590e18028
Wohnung	w7_d590e18031
entwe	w9_d590e18034
der	w1_d590e18040
personlich,	w3_d590e18043
oder	w5_d590e18046
durch	w7_d590e18049
abgeordnete	w9_d590e18052
Mandata	w11_d590e18055
rios	w1_d590e18060
zu	w3_d590e18063
erscheinen,	w5_d590e18066
und	w7_d590e18069
zu	w9_d590e18072
Anhörung	w11_d590e18075
der	w13_d590e18079
Publica	w15_d590e18082
tion	w1_d590e18087
alda	w3_d590e18090
sich	w5_d590e18093
einzufinden	w7_d590e18096
haben,	w9_d590e18099
wornach	w11_d590e18102
sich	w13_d590e18106
ge	w15_d590e18109
samte	w1_d590e18114
Partheyen	w3_d590e18117
zu	w5_d590e18120
richten	w7_d590e18123
wissen	w9_d590e18126
werden.	w11_d590e18129
</p>
<list id="l32_d590e18132">
Bey	w1_d590e18136
denen	w3_d590e18139
Verlegern	w5_d590e18142
des	w7_d590e18145
Wienerischen	w9_d590e18148
Diari	w11_d590e18151
ist	w1_d590e18156
zu	w3_d590e18159
haben:	w5_d590e18162
Ehr	w1_d590e18167
und	w3_d590e18170
Sitten=rede,	w5_d590e18173
gegründet	w7_d590e18176
in	w9_d590e18179
der	w11_d590e18182
Lehr	w13_d590e18186
des	w15_d590e18189
Haupt	w1_d590e18195
felsen	w3_d590e18198
der	w5_d590e18201
Kirchen	w7_d590e18204
eines	w9_d590e18207
H.	w11_d590e18210
Apostels	w13_d590e18214
Petri,	w15_d590e18217
am	w1_d590e18222
Fest	w3_d590e18225
deren	w5_d590e18228
HH.	w7_d590e18231
Aposteln	w9_d590e18234
Petri	w11_d590e18237
und	w13_d590e18241
Pauli,	w15_d590e18244
in	w17_d590e18247
der	w1_d590e18252
eben	w3_d590e18255
diesen	w5_d590e18258
heiligen	w7_d590e18261
Apostel=fursten	w9_d590e18264
geweiht	w11_d590e18267
herrlichen	w1_d590e18272
befreyten	w3_d590e18275
Stift	w5_d590e18278
und	w7_d590e18281
Closter=kirchen	w9_d590e18284
zu	w1_d590e18290
Mölk;	w3_d590e18293
als	w5_d590e18296
drey	w7_d590e18299
Wol=ehrwürdige	w9_d590e18302
50=jährige	w11_d590e18305
Priester,	w1_d590e18310
und	w3_d590e18313
ersagt=löbl.	w5_d590e18316
Stifts	w7_d590e18319
Profelli	w9_d590e18322
ihr	w11_d590e18325
an	w13_d590e18329
dertes;	w1_d590e18334
dann	w3_d590e18337
ein	w5_d590e18340
neu	w7_d590e18343
geweihter	w9_d590e18346
ihriger	w11_d590e18349
Conpro-	w13_d590e18353
fessus	w1_d590e18358
R.	w3_d590e18361
P.	w5_d590e18364
Robertus	w7_d590e18367
Rimmerling	w9_d590e18370
sein	w11_d590e18373
erstes	w13_d590e18377
hei	w15_d590e18380
liges	w1_d590e18386
Meß	w3_d590e18389
opfer	w5_d590e18392
dem	w7_d590e18395
Allerhöchsten	w9_d590e18398
abgestattet,	w11_d590e18401
den	w13_d590e18405
29.	w1_d590e18410
Jnnii	w3_d590e18413
Anno	w5_d590e18416
1761.	w7_d590e18419
vorgetragen	w9_d590e18422
von	w11_d590e18425
dem	w13_d590e18429
(Titl.)	w15_d590e18432
Hrn.	w1_d590e18437
An	w3_d590e18440
AND0,	w5_d590e18443
des	w7_d590e18446
Löbl.	w9_d590e18449
K.	w11_d590e18452
K.	w13_d590e18456
Stifts	w15_d590e18459
Ord.	w17_d590e18462
S.	w19_d590e18465
Be-	w21_d590e18468
nedicti	w1_d590e18473
de	w3_d590e18476
Monte	w5_d590e18479
Serrato	w7_d590e18482
zu	w9_d590e18485
Wien	w11_d590e18488
würdigsten	w13_d590e18492
Abbten	w1_d590e18498
rc.	w3_d590e18501
rc.	w5_d590e18504
und	w7_d590e18507
Jhrer	w9_d590e18510
Kaiserl.	w11_d590e18513
Königl.	w13_d590e18517
Apost	w15_d590e18520
Majest.	w1_d590e18525
Raht.	w3_d590e18528
Das	w5_d590e18531
Stück	w7_d590e18534
à	w9_d590e18537
14.	w11_d590e18540
kr.	w13_d590e18544
</list>
<head id="h2_d590e18652">
Fortsetzung	w1_d590e18656
des	w3_d590e18659
Journals	w5_d590e18662
der	w7_d590e18665
Kö	w9_d590e18668
nigl.	w1_d590e18673
Französischen	w3_d590e18676
Armee	w5_d590e18679
unter	w7_d590e18682
dem	w1_d590e18687
Herrn	w3_d590e18690
Prinzen	w5_d590e18693
von	w7_d590e18696
Soubise	w9_d590e18699
vom	w1_d590e18705
10.	w3_d590e18708
bis	w5_d590e18711
15.	w7_d590e18714
Septemb.	w9_d590e18717
</head>
<p id="p4_d590e18720">
Der	w1_d590e18724
Hr.	w3_d590e18727
Marquis	w5_d590e18730
v.	w7_d590e18733
Conflans	w9_d590e18736
hube	w11_d590e18739
bey	w13_d590e18743
Dulmen	w1_d590e18748
einen	w3_d590e18751
Leutenant	w5_d590e18754
von	w7_d590e18757
der	w9_d590e18760
Brit	w11_d590e18763
tannischen	w1_d590e18768
Legion	w3_d590e18771
mit	w5_d590e18774
etlichen	w7_d590e18777
Dragonern,	w9_d590e18780
si.	w11_d590e18783
aus	w1_d590e18789
Münster	w3_d590e18792
gekommen,	w5_d590e18795
auf,	w7_d590e18798
und	w9_d590e18801
bemeister	w11_d590e18804
te	w1_d590e18809
sich	w3_d590e18812
einiger	w5_d590e18815
Fuhren	w7_d590e18818
mit	w9_d590e18821
Wein	w11_d590e18824
und	w13_d590e18828
gesalze	w15_d590e18831
nem	w1_d590e18836
Fleisch,	w3_d590e18839
als	w5_d590e18842
selbe	w7_d590e18845
eben	w9_d590e18848
in	w11_d590e18851
die	w13_d590e18855
Stadt	w15_d590e18858
hinein	w1_d590e18863
wolten.	w3_d590e18866
</p>
<p id="p6_d590e18869">
Den	w1_d590e18873
10.	w3_d590e18876
marschirte	w5_d590e18879
der	w7_d590e18882
Graf	w9_d590e18885
von	w11_d590e18888
Vogu	w13_d590e18892
nacher	w1_d590e18897
Homberg,	w3_d590e18900
sich	w5_d590e18903
alldaselbst	w7_d590e18906
zu	w9_d590e18909
lagern,	w11_d590e18912
und	w1_d590e18917
der	w3_d590e18920
Graf	w5_d590e18923
von	w7_d590e18926
Apschon	w9_d590e18929
näherte	w11_d590e18932
sich	w13_d590e18936
dem	w15_d590e18939
selben,	w1_d590e18945
um	w3_d590e18948
die	w5_d590e18951
leichte	w7_d590e18954
Trupen	w9_d590e18957
desto	w11_d590e18960
besser	w13_d590e18964
un	w15_d590e18967
terstützen	w1_d590e18972
zu	w3_d590e18975
können.	w5_d590e18978
</p>
<p id="p8_d590e18981">
Den	w1_d590e18985
11.	w3_d590e18988
marschirte	w5_d590e18991
der	w7_d590e18994
Prinz	w9_d590e18997
von	w11_d590e19000
Conde	w13_d590e19004
mit	w1_d590e19009
seiner	w3_d590e19012
Reserve	w5_d590e19015
nacher	w7_d590e19018
Recklinghausen,	w9_d590e19021
und	w1_d590e19026
den	w3_d590e19029
12.	w5_d590e19032
darauf	w7_d590e19035
setzte	w9_d590e19038
sich	w11_d590e19041
die	w13_d590e19045
ganze	w15_d590e19048
Ar	w17_d590e19051
mee	w1_d590e19057
in	w3_d590e19060
3.	w5_d590e19063
Colonnen	w7_d590e19066
in	w9_d590e19069
Marsch,	w11_d590e19072
um	w13_d590e19076
das	w15_d590e19079
nämliche	w1_d590e19084
Lager	w3_d590e19087
bey	w5_d590e19090
Recklinghausen	w7_d590e19093
zu	w9_d590e19096
be	w11_d590e19099
ziehen,	w1_d590e19104
allwo	w3_d590e19107
sie	w5_d590e19110
nunmehro	w7_d590e19113
steht.	w9_d590e19116
Die	w11_d590e19119
Reserve	w1_d590e19124
wurde	w3_d590e19127
nach	w5_d590e19130
Walldorf	w7_d590e19133
verleget,	w9_d590e19136
der	w11_d590e19139
Graf	w1_d590e19145
von	w3_d590e19148
Vogue	w5_d590e19151
aber	w7_d590e19154
setzte	w9_d590e19157
sich	w11_d590e19160
dem	w13_d590e19164
Schlos	w15_d590e19167
se	w1_d590e19172
Ruschenberg	w3_d590e19175
gegen	w5_d590e19178
über,	w7_d590e19181
und	w9_d590e19184
zu	w11_d590e19187
Luhnen	w13_d590e19191
thate	w1_d590e19196
der	w3_d590e19199
Graf	w5_d590e19202
von	w7_d590e19205
Apschon	w9_d590e19208
ein	w11_d590e19211
gleiches.	w13_d590e19215
</p>
<p id="p10_d590e19218">
Noch	w1_d590e19222
den	w3_d590e19225
nämlichen	w5_d590e19228
Tag	w7_d590e19231
als	w9_d590e19234
den	w11_d590e19237
12.	w13_d590e19241
die	w15_d590e19244
ses	w1_d590e19249
begabe	w3_d590e19252
sich	w5_d590e19255
der	w7_d590e19258
Herr	w9_d590e19261
Marschall	w11_d590e19264
Prinz	w13_d590e19268
von	w1_d590e19273
Soubise	w3_d590e19276
in	w5_d590e19279
eigener	w7_d590e19282
Person	w9_d590e19285
bis	w11_d590e19288
oberhalb	w13_d590e19292
dieser	w1_d590e19298
Stadt	w3_d590e19301
an	w5_d590e19304
dem	w7_d590e19307
rechten	w9_d590e19310
Ufer	w11_d590e19313
der	w13_d590e19317
Lippe.	w15_d590e19320
Diesen	w1_d590e19325
getroffenen	w3_d590e19328
Anstalten	w5_d590e19331
zufolge	w7_d590e19334
be	w9_d590e19337
gabe	w1_d590e19342
sich	w3_d590e19345
</p>
<p id="p12_d590e19349">
Den	w1_d590e19353
13.	w3_d590e19356
darauf	w5_d590e19359
ein	w7_d590e19362
aus	w9_d590e19365
4.	w11_d590e19368
bis	w13_d590e19372
500.	w15_d590e19375
Mann	w1_d590e19380
bestehendes	w3_d590e19383
Detaschement	w5_d590e19386
unter	w7_d590e19389
der	w9_d590e19392
Anführung	w1_d590e19397
des	w3_d590e19400
Herzogs	w5_d590e19403
von	w7_d590e19406
Fronsae	w9_d590e19409
na	w11_d590e19412
cher	w1_d590e19418
Hamm,	w3_d590e19421
repoußirte	w5_d590e19424
die	w7_d590e19427
äusserste	w9_d590e19430
feindli	w11_d590e19433
He	w1_d590e19438
Posten	w3_d590e19441
bis	w5_d590e19444
an	w7_d590e19447
die	w9_d590e19450
Glacis	w11_d590e19453
dieser	w13_d590e19457
Stadt,	w15_d590e19460
</p>
<p id="p14_d590e19463">
und	w1_d590e19467
machte	w3_d590e19470
einige	w5_d590e19473
Hussaren	w7_d590e19476
zu	w9_d590e19479
Kriegsge	w11_d590e19482
fangenen,	w1_d590e19487
verlore	w3_d590e19490
aber	w5_d590e19493
auch	w7_d590e19496
einige	w9_d590e19499
Drago	w11_d590e19502
ner,	w1_d590e19507
da	w3_d590e19510
es	w5_d590e19513
sich	w7_d590e19516
wegen	w9_d590e19519
der	w11_d590e19522
Anrückung	w13_d590e19526
eines	w15_d590e19529
weit	w1_d590e19535
stärkeren	w3_d590e19538
feindlichen	w5_d590e19541
Corps	w7_d590e19544
zurück	w9_d590e19547
zie	w11_d590e19550
hen	w1_d590e19555
müssen.	w3_d590e19558
Die	w5_d590e19561
Herren	w7_d590e19564
von	w9_d590e19567
Verac	w11_d590e19570
und	w13_d590e19574
Valle,	w1_d590e19579
Capitains	w3_d590e19582
unter	w5_d590e19585
dem	w7_d590e19588
freywilligen	w9_d590e19591
Regiment	w1_d590e19596
von	w3_d590e19599
Soubise,	w5_d590e19602
dann	w7_d590e19605
der	w9_d590e19608
Herr	w11_d590e19611
von	w13_d590e19615
Fagan,	w1_d590e19621
Leutenant	w3_d590e19624
unter	w5_d590e19627
dem	w7_d590e19630
nämlichen	w9_d590e19633
Re	w11_d590e19636
giment,	w1_d590e19641
hatten	w3_d590e19644
das	w5_d590e19647
Unglück,	w7_d590e19650
und	w9_d590e19653
zwar	w11_d590e19656
der	w13_d590e19660
erstere	w1_d590e19665
an	w3_d590e19668
der	w5_d590e19671
Fersen,	w7_d590e19674
der	w9_d590e19677
zweyte	w11_d590e19680
etwas	w13_d590e19684
leichter	w1_d590e19689
an	w3_d590e19692
dem	w5_d590e19695
Backen,	w7_d590e19698
und	w9_d590e19701
der	w11_d590e19704
dritte	w13_d590e19708
an	w15_d590e19711
dem	w1_d590e19717
Kopf	w3_d590e19720
und	w5_d590e19723
Hand	w7_d590e19726
verwundet,	w9_d590e19729
und	w11_d590e19732
ge	w13_d590e19736
fangen	w1_d590e19741
genommen	w3_d590e19744
zu	w5_d590e19747
werden.	w7_d590e19750
</p>
<p id="p16_d590e19753">
Nachdeme	w1_d590e19757
der	w3_d590e19760
Herr	w5_d590e19763
Erb=prinz	w7_d590e19766
2.	w9_d590e19769
Täge	w11_d590e19772
zu	w1_d590e19777
Bockem,	w3_d590e19780
und	w5_d590e19783
Herzfeld	w7_d590e19786
zugebracht,	w9_d590e19789
mar	w11_d590e19792
schirte	w1_d590e19797
er	w3_d590e19800
in	w5_d590e19803
der	w7_d590e19806
Nacht	w9_d590e19809
vom	w11_d590e19812
10.	w13_d590e19816
auf	w15_d590e19819
den	w17_d590e19822
11.	w1_d590e19828
nacher	w3_d590e19831
Hamm,	w5_d590e19834
und	w7_d590e19837
übersetzte	w9_d590e19840
wiederum	w11_d590e19843
unter	w1_d590e19848
Hornen	w3_d590e19851
an	w5_d590e19854
das	w7_d590e19857
linke	w9_d590e19860
Ufer	w11_d590e19863
der	w13_d590e19867
Lippe.	w15_d590e19870
Man	w1_d590e19875
hat	w3_d590e19878
aus	w5_d590e19881
einigen	w7_d590e19884
nach	w9_d590e19887
dem	w11_d590e19890
Uebersatz	w13_d590e19894
die	w15_d590e19897
ses	w1_d590e19902
Flusses	w3_d590e19905
von	w5_d590e19908
ihme	w7_d590e19911
gemachten	w9_d590e19914
Bewegun	w11_d590e19917
gen	w1_d590e19923
zu	w3_d590e19926
mutmassen	w5_d590e19929
Ursache,	w7_d590e19932
daß	w9_d590e19935
er	w11_d590e19938
seinen	w13_d590e19942
Marsch	w1_d590e19947
gegen	w3_d590e19950
die	w5_d590e19953
Armee	w7_d590e19956
des	w9_d590e19959
Prinzen	w11_d590e19962
Fer	w13_d590e19966
dinand	w1_d590e19971
zu	w3_d590e19974
richten	w5_d590e19977
entschlossen	w7_d590e19980
seye.	w9_d590e19983
</p>
<p id="p18_d590e19986">
Die	w1_d590e19990
Garnison	w3_d590e19993
von	w5_d590e19996
Münster	w7_d590e19999
wurde	w9_d590e20002
noch	w11_d590e20005
vor	w1_d590e20010
seiner	w3_d590e20013
Entfernung	w5_d590e20016
mit	w7_d590e20019
3.	w9_d590e20022
Heßischen	w11_d590e20025
Regimentern,	w1_d590e20030
und	w3_d590e20033
der	w5_d590e20036
Scheiter	w7_d590e20039
und	w9_d590e20042
Bü	w11_d590e20045
ckeburgischen	w1_d590e20051
Reiterey	w3_d590e20054
verstärket.	w5_d590e20057
Der	w7_d590e20060
Ge	w9_d590e20063
neral	w1_d590e20068
Oheim	w3_d590e20071
ist	w5_d590e20074
auf	w7_d590e20077
der	w9_d590e20080
Fläche	w11_d590e20083
bey	w13_d590e20087
Hamm	w15_d590e20090
mit	w1_d590e20095
2.	w3_d590e20098
Reiter	w5_d590e20101
und	w7_d590e20104
3.	w9_d590e20107
Fuß=regimentern	w11_d590e20110
stehen	w1_d590e20115
geblieben.	w3_d590e20118
</p>
<p id="p20_d590e20121">
Von	w1_d590e20125
der	w3_d590e20128
Hoch	w5_d590e20131
gräs	w7_d590e20134
Sigmund	w9_d590e20137
Heissensteini	w11_d590e20140
schen	w1_d590e20145
Herrschaft	w3_d590e20148
Starhenberg	w5_d590e20151
Pfistinger=antheils	w7_d590e20154
wegen,	w1_d590e20159
wird	w3_d590e20162
mit	w5_d590e20165
gegenwärtig	w7_d590e20168
offenem	w9_d590e20171
Edict	w11_d590e20174
jeder	w13_d590e20178
männiglich	w1_d590e20184
sowol	w3_d590e20187
An=als	w5_d590e20190
Abwesenden,	w7_d590e20193
deme	w9_d590e20196
daran	w11_d590e20199
gelegen,	w1_d590e20204
kund	w3_d590e20207
und	w5_d590e20210
zu	w7_d590e20213
wissen	w9_d590e20216
gemacht:	w11_d590e20219
Es	w13_d590e20223
habe	w15_d590e20226
Eingangs	w1_d590e20231
ersagte	w3_d590e20234
Herrschaft	w5_d590e20237
auf	w7_d590e20240
das	w9_d590e20243
jünguhin	w11_d590e20246
er	w13_d590e20250
folgte	w1_d590e20255
Absterben	w3_d590e20258
des	w5_d590e20261
Joseph	w7_d590e20264
Seywaldt	w9_d590e20267
diesseitig	w11_d590e20270
ge	w13_d590e20274
westen	w1_d590e20280
Unterthans,	w3_d590e20283
und	w5_d590e20286
Kupfer	w7_d590e20289
hammer	w9_d590e20292
schmid	w11_d590e20295
mei	w13_d590e20299
sters	w1_d590e20304
zu	w3_d590e20307
Walldegg,	w5_d590e20310
dann	w7_d590e20313
desse	w9_d590e20316
Ehewirtin	w11_d590e20319
Maria	w13_d590e20323
Anna,	w15_d590e20326
</p>
<p id="p26_d590e20340">
wegen	w1_d590e20344
sicherer	w3_d590e20347
Abhandlung	w5_d590e20350
derenselben	w7_d590e20353
Verlassen	w9_d590e20356
schaft	w1_d590e20361
eine	w3_d590e20364
peremptorisch=clausulirte	w5_d590e20367
Convocations	w7_d590e20370
und	w1_d590e20375
Liquidations=tagsatzung	w3_d590e20378
auf	w5_d590e20381
den	w7_d590e20384
9.	w9_d590e20387
Novemb.	w11_d590e20390
dies	w1_d590e20396
lauffenden	w3_d590e20399
1761.	w5_d590e20402
Jahrs	w7_d590e20405
in	w9_d590e20408
der	w11_d590e20411
Herrschafts	w13_d590e20415
Lanzley	w1_d590e20420
zu	w3_d590e20423
Hörnstein	w5_d590e20426
fruhe	w7_d590e20429
um	w9_d590e20432
9.	w11_d590e20435
Uhr	w13_d590e20439
anzuberau	w15_d590e20442
men,	w1_d590e20447
eine	w3_d590e20450
Nohrdurft	w5_d590e20453
zu	w7_d590e20456
seyn	w9_d590e20459
befunden;	w11_d590e20462
Solchem	w13_d590e20466
nach	w1_d590e20471
werden	w3_d590e20474
all	w5_d590e20477
und	w7_d590e20480
jede,	w9_d590e20483
welche	w11_d590e20486
an	w13_d590e20490
ersagtJo	w15_d590e20493
seph	w1_d590e20499
Seywald,	w3_d590e20502
und	w5_d590e20505
Mariä	w7_d590e20508
Annä	w9_d590e20511
dessen	w11_d590e20514
Ehe	w13_d590e20518
wir	w15_d590e20521
tin	w1_d590e20526
Verlassenschaft	w3_d590e20529
einige	w5_d590e20532
Sprüche	w7_d590e20535
haben,	w9_d590e20538
oder	w11_d590e20541
zu	w1_d590e20546
haben	w3_d590e20549
vermeinen,	w5_d590e20552
bey	w7_d590e20555
obig	w9_d590e20558
auf	w11_d590e20561
den	w13_d590e20565
9.	w15_d590e20568
Novemb.	w17_d590e20571
dies	w1_d590e20576
1761.	w3_d590e20579
Jahrs	w5_d590e20582
angeordneten	w7_d590e20585
Tag=satzung	w9_d590e20588
sich	w11_d590e20591
alsogewiß	w1_d590e20597
anzumelden,	w3_d590e20600
zu	w5_d590e20603
legitimiren,	w7_d590e20606
und	w9_d590e20609
unter	w11_d590e20612
einstens	w1_d590e20617
ihre	w3_d590e20620
Forderungen	w5_d590e20623
zu	w7_d590e20626
liquidiren	w9_d590e20629
pro	w11_d590e20632
pri-	w13_d590e20636
mo,	w1_d590e20641
secundo	w3_d590e20644
&	w5_d590e20647
