<doc id="edoc_wd_1783-12-24" attrs="word" year="1783" month="12" day="24" corpus="1">
<head id="hl1">
Jnnländische	w29
wenn	w1831
man	w1832
ihnen	w1833
also	w1834
eine	w1835
entgegengesetzte	w1836
Vor=schrift	w1837
<g/>
=
gebe	w1839
<g/>
,
so	w1841
bliebe	w1842
ihnen	w1843
kein	w1844
anderer	w1845
Schritt	w1846
übrig	w1847
<g/>
,
als	w1849
sich	w1850
aus	w1851
dem	w1852
Parla=mente	w1853
<g/>
=
zu	w1855
entfernen	w1856
<g/>
,
hingegen	w1858
wurden	w1859
die	w1860
zwey	w1861
anderen	w1862
Representanten	w1863
der	w1864
Stadt	w1865
<g/>
,
Hr	w1867
<g/>
.
Lewis	w1869
und	w1870
Hr	w1871
<g/>
.
Townsend	w1873
<g/>
,
welche	w1875
gegen	w1876
die	w1877
Bill	w1878
gestimmt	w1879
hatten	w1880
<g/>
,
</p>
<p id="p23">
von	w1882
der	w1883
Versammlung	w1884
insbesondere	w1885
ge=lobet	w1886
<g/>
=
<g/>
.
Man	w1889
ließ	w1890
es	w1891
nicht	w1892
blos	w1893
bey	w1894
Bit=ten	w1895
<g/>
=
und	w1897
Vorstellungen	w1898
bewenden	w1899
<g/>
,
son=dern	w1901
<g/>
=
schritt	w1903
sogar	w1904
zu	w1905
Drohungen	w1906
<g/>
:
So	w1908
wurde	w1909
unter	w1910
dem	w1911
29	w1912
<g/>
.
Nov	w1914
<g/>
.
durch	w1916
zwey	w1917
ungenannte	w1918
angebliche	w1919
Theilhaber	w1920
der	w1921
Compagnie	w1922
<g/>
,
mittelst	w1924
der	w1925
kleinen	w1926
Post	w1927
<g/>
,
an	w1929
Hrn	w1930
<g/>
.
Laurenz	w1932
Cox	w1933
<g/>
,
ein	w1935
Parlamentsglied	w1936
<g/>
,
einen	w1938
Brief	w1939
gesandt	w1940
<g/>
,
worinn	w1942
ihm	w1943
und	w1944
allen	w1945
<g/>
,
welche	w1947
<g/>
,
die	w1949
<g/>
,
ofterwähnte	w1951
Bill	w1952
begünstigen	w1953
würden	w1954
<g/>
,
Mord	w1956
und	w1957
Tod	w1958
an=gekündiget	w1959
<g/>
=
wurde	w1961
<g/>
,
mit	w1963
dem	w1964
Motto	w1965
<g/>
:
Nemo	w1967
me	w1968
impune	w1969
lacessit	w1970
<g/>
.
Die	w1972
Krone	w1973
hat	w1974
auf	w1975
die	w1976
Entdeckung	w1977
des	w1978
Briefstellers	w1979
100	w1980
Pfund	w1981
gesetzet	w1982
<g/>
.
<g/>
—
Jndessen	w1985
da	w1986
der	w1987
Präsident	w1988
der	w1989
Direktoren	w1990
<g/>
,
Sir	w1992
Fleischer	w1993
wenig	w1994
Hofnung	w1995
mehr	w1996
auf	w1997
eine	w1998
günstige	w1999
Wendung	w2000
der	w2001
Sache	w2002
setzte	w2003
<g/>
,
und	w2005
den	w2006
Maasregeln	w2007
der	w2008
Minister	w2009
nicht	w2010
abgeneigt	w2011
war	w2012
<g/>
,
so	w2014
hat	w2015
er	w2016
noch	w2017
am	w2018
27	w2019
<g/>
.
Novemb	w2021
<g/>
.
sein	w2023
Amt	w2024
niedergeleget	w2025
<g/>
.
Die	w2027
Eigenthü=mer	w2028
<g/>
=
der	w2030
Compagnie	w2031
hielten	w2032
Tags	w2033
darauf	w2034
eine	w2035
Versammlung	w2036
<g/>
,
in	w2038
der	w2039
statt	w2040
des	w2041
Hrn	w2042
<g/>
.
Fletschers	w2044
Sir	w2045
Nathaniel	w2046
Smith	w2047
den	w2048
Vorsitz	w2049
hatte	w2050
<g/>
.
Herr	w2052
Watson	w2053
sagte	w2054
<g/>
,
so	w2056
weit	w2057
auch	w2058
die	w2059
Sache	w2060
schon	w2061
gekommen	w2062
ist	w2063
<g/>
,
müsse	w2065
man	w2066
doch	w2067
noch	w2068
nicht	w2069
verzweifeln	w2070
<g/>
;
die	w2072
Uiberzeugung	w2073
<g/>
,
welche	w2075
das	w2076
Haus	w2077
ge=gen	w2078
<g/>
=
<g/>
,
den	w2081
Finanzstand	w2082
der	w2083
Gesellschaft	w2084
ge=schöpft	w2085
<g/>
=
zu	w2087
haben	w2088
scheint	w2089
<g/>
,
sey	w2091
durch	w2092
die	w2093
falschen	w2094
Vorspieglungen	w2095
und	w2096
ungegrün=deten	w2097
<g/>
=
Anmerkungen	w2099
des	w2100
Hrn	w2101
<g/>
.
Staatsse=kretaire	w2103
<g/>
=
Fox	w2105
bewirket	w2106
worden	w2107
<g/>
:
man	w2109
hät=te	w2110
<g/>
=
daher	w2112
gegründete	w2113
Hofnung	w2114
das	w2115
Haus	w2116
würde	w2117
eben	w2118
so	w2119
geneigt	w2120
seyn	w2121
das	w2122
Gegen=theil	w2123
<g/>
=
zu	w2125
glauben	w2126
<g/>
,
wenn	w2128
man	w2129
es	w2130
davon	w2131
aus	w2132
den	w2133
getreuen	w2134
Berechnungen	w2135
der	w2136
Com=pagnie	w2137
<g/>
=
überzeugte	w2139
<g/>
.
Er	w2141
machte	w2142
daher	w2143
den	w2144
Vorschlag	w2145
<g/>
„
den	w2147
Direktoren	w2148
aufzutragen	w2149
über	w2150
die	w2151
eingereichten	w2152
Berechnungen	w2153
alle	w2154
mögliche	w2155
Erläuterungen	w2156
zu	w2157
ertheilen	w2158
<g/>
,
welche	w2160
den	w2161
Finanzstand	w2162
der	w2163
Compagnie	w2164
in	w2165
ihr	w2166
wahren	w2167
Licht	w2168
setzen	w2169
können	w2170
<g/>
”
Alle	w2172
Stimmen	w2173
begünstigten	w2174
diesen	w2175
Vorschlag	w2176
<g/>
,
welches	w2178
nicht	w2179
ohne	w2180
Anzüglichkeiten	w2181
und	w2182
sehr	w2183
harten	w2184
Vorwürfen	w2185
gegen	w2186
die	w2187
Mini=ster	w2188
<g/>
=
<g/>
,
und	w2191
insbesondere	w2192
Hrn	w2193
<g/>
.
Fox	w2195
geschah	w2196
<g/>
.
Hr	w2198
<g/>
.
Watson	w2200
schloß	w2201
mit	w2202
der	w2203
Erklärung	w2204
<g/>
,
im	w2206
Falle	w2207
die	w2208
Bill	w2209
im	w2210
Parlamente	w2211
durchgien=gen	w2212
<g/>
=
<g/>
,
die	w2215
Compagnie	w2216
am	w2217
besten	w2218
thun	w2219
wür=de	w2220
<g/>
=
<g/>
,
ihren	w2223
Freyheitsbrief	w2224
zurückzugeben	w2225
<g/>
.
</p>
<p id="p24">
Je	w2227
grösser	w2228
die	w2229
Bewegungen	w2230
waren	w2231
<g/>
,
die	w2233
von	w2234
allen	w2235
Seiten	w2236
gegen	w2237
die	w2238
vorha=bende	w2239
<g/>
=
Bill	w2241
gemacht	w2242
wurden	w2243
<g/>
,
desto	w2245
mehr	w2246
suchten	w2247
die	w2248
Minister	w2249
dieselbe	w2250
im	w2251
Parla=mente	w2252
<g/>
=
eilig	w2254
zu	w2255
betreiben	w2256
<g/>
.
Als	w2258
das	w2259
Haus	w2260
am	w2261
1	w2262
<g/>
.
Decemb	w2264
<g/>
.
wieder	w2266
zusammengekom=men	w2267
<g/>
=
war	w2269
<g/>
,
so	w2271
that	w2272
Hr	w2273
<g/>
.
Fox	w2275
alsogleich	w2276
den	w2277
Vorschlag	w2278
<g/>
,
daß	w2280
das	w2281
Haus	w2282
in	w2283
Folge	w2284
des	w2285
am	w2286
27	w2287
<g/>
.
Nov	w2289
<g/>
.
gefaßten	w2291
Entschlusses	w2292
in	w2293
eine	w2294
Kommißion	w2295
zusammentrette	w2296
<g/>
,
um	w2298
die	w2299
von	w2300
ihm	w2301
eingebrachte	w2302
Bill	w2303
theilweise	w2304
zu	w2305
durchgehen	w2306
<g/>
.
Unmittelbar	w2308
hierauf	w2309
er=hob	w2310
<g/>
=
sich	w2312
Hr	w2313
<g/>
.
Powys	w2315
und	w2316
widersetzte	w2317
sich	w2318
dem	w2319
Vorschlage	w2320
<g/>
,
hauptsächlich	w2322
aus	w2323
dem	w2324
Grunde	w2325
<g/>
,
weil	w2327
zwischen	w2328
den	w2329
Behauptun=gen	w2330
<g/>
=
der	w2332
Minister	w2333
<g/>
,
und	w2335
der	w2336
Compagnie	w2337
eine	w2338
so	w2339
gewaltige	w2340
Verschiedenheit	w2341
herrsche	w2342
<g/>
,
daß	w2344
man	w2345
in	w2346
einer	w2347
so	w2348
wichtigen	w2349
Sache	w2350
sich	w2351
nothwendigerweise	w2352
Zeit	w2353
lassen	w2354
müsse	w2355
<g/>
,
um	w2357
die	w2358
Aechtheit	w2359
oder	w2360
den	w2361
Ungrund	w2362
der	w2363
beyderseitigen	w2364
Angaben	w2365
gehörig	w2366
zu	w2367
unter=suchen	w2368
<g/>
=
<g/>
,
bevor	w2371
man	w2372
einen	w2373
Entschluß	w2374
fas=se	w2375
<g/>
=
ꝛc	w2377
<g/>
.
Am	w2379
Ende	w2380
warf	w2381
er	w2382
Hrn	w2383
<g/>
.
Fox	w2385
vor	w2386
<g/>
,
er	w2388
habe	w2389
seine	w2390
vorige	w2391
Grundsätze	w2392
gänzlich	w2393
geändert	w2394
<g/>
,
durch	w2396
die	w2397
er	w2398
sich	w2399
auf	w2400
den	w2401
erhabenen	w2402
Posten	w2403
geschwungen	w2404
<g/>
,
den	w2406
er	w2407
nun	w2408
bekleidet	w2409
<g/>
,
und	w2411
rieth	w2412
ihm	w2413
ein	w2414
<g/>
,
eben	w2416
zu	w2417
selben	w2418
wieder	w2419
zurückzukehren	w2420
<g/>
.
Er	w2422
durchgieng	w2423
hierauf	w2424
die	w2425
Bill	w2426
<g/>
,
und	w2428
zeig=te	w2429
<g/>
=
allenthalben	w2431
an	w2432
<g/>
,
wie	w2434
sehr	w2435
sie	w2436
mit	w2437
den	w2438
ehemaligen	w2439
Gesinnungen	w2440
des	w2441
Hrn	w2442
<g/>
.
Fox	w2444
in	w2445
Widerspruch	w2446
stehe	w2447
<g/>
.
Seine	w2449
Anmerkun=gen	w2450
<g/>
=
waren	w2452
sehr	w2453
bitten	w2454
<g/>
.
Zuletzt	w2456
schalt	w2457
er=die	w2458
<g/>
=
Bill	w2460
das	w2461
Resultat	w2462
der	w2463
verderblichsten	w2464
<g/>
,
eigennützigsten	w2466
Grundsätze	w2467
<g/>
,
und	w2469
foderte	w2470
das	w2471
Haus	w2472
auf	w2473
das	w2474
nachdrücklichste	w2475
auf	w2476
<g/>
,
über	w2478
selbe	w2479
eine	w2480
Commißion	w2481
zu	w2482
halten	w2483
<g/>
.
Hr	w2485
<g/>
.
Burke	w2487
sprach	w2488
hierauf	w2489
und	w2490
sagte	w2491
<g/>
,
die	w2493
Nothwendigkeit	w2494
der	w2495
Bill	w2496
sey	w2497
so	w2498
dringend	w2499
<g/>
,
daß	w2501
sie	w2502
keinen	w2503
ferneren	w2504
Wortwechsel	w2505
mehr	w2506
zulasse	w2507
<g/>
:
es	w2509
sey	w2510
hier	w2511
die	w2512
Frage	w2513
von	w2514
einem	w2515
Gebiete	w2516
<g/>
,
das	w2518
281	w2519
<g/>
,
000	w2521
und	w2522
einige	w2523
100	w2524
Quatratmeilen	w2525
messe	w2526
<g/>
:
dieses	w2528
sey	w2529
bisher	w2530
in	w2531
den	w2532
Händen	w2533
einer	w2534
Handlungskompagnie	w2535
so	w2536
arg	w2537
behandelt	w2538
worden	w2539
<g/>
,
daß	w2541
die	w2542
ver=derbliche	w2543
<g/>
=
Unfähigkeit	w2545
derselben	w2546
<g/>
,
in	w2548
Füh=rung	w2549
<g/>
=
der	w2551
Herrschaft	w2552
darüber	w2553
genugsam	w2554
einleuchte	w2555
<g/>
.
Er	w2557
durchgieng	w2558
hierauf	w2559
die	w2560
3	w2561
letzten	w2562
Jahre	w2563
<g/>
,
und	w2565
entwarf	w2566
mit	w2567
der	w2568
ihm	w2569
eigenen	w2570
Beredsamkeit	w2571
ein	w2572
lebhaftes	w2573
Ge=mälde	w2574
<g/>
=
von	w2576
den	w2577
verderblichen	w2578
Grundsätzen	w2579
<g/>
,
</p>
<p id="p25">
Getwaltthätigkeiten	w2581
<g/>
,
Grausamkeiten	w2583
ꝛc	w2584
<g/>
.
welche	w2586
in	w2587
jenem	w2588
kurzen	w2589
Zeitraums	w2590
durch	w2591
die	w2592
Beamten	w2593
der	w2594
Compagnie	w2595
in	w2596
Jndien	w2597
sind	w2598
verübt	w2599
worden	w2600
<g/>
,
und	w2602
von	w2603
den	w2604
Folgen	w2605
<g/>
,
die	w2607
daraus	w2608
entstanden	w2609
sind	w2610
<g/>
.
Er	w2612
über=nahm	w2613
<g/>
=
hierauf	w2615
die	w2616
Rechtfertigung	w2617
des	w2618
Ur=habers	w2619
<g/>
=
jener	w2621
Bill	w2622
<g/>
(
des	w2624
Hrn	w2625
<g/>
.
Fox	w2627
<g/>
)
<g/>
.
Die	w2630
Fähigkeit	w2631
und	w2632
Tugenden	w2633
desselben	w2634
<g/>
,
sagte	w2636
er	w2637
<g/>
,
seyen	w2639
stets	w2640
der	w2641
Gegenstand	w2642
der	w2643
Ach=tung	w2644
<g/>
=
und	w2646
Bewunderung	w2647
gewesen	w2648
<g/>
:
nie=malen	w2650
<g/>
=
hätte	w2652
er	w2653
von	w2654
beyden	w2655
einen	w2656
über=zeugenderen	w2657
<g/>
=
Beweis	w2659
gegeben	w2660
<g/>
,
als	w2662
gerade	w2663
durch	w2664
jene	w2665
Bill	w2666
<g/>
;
er	w2668
suche	w2669
dadurch	w2670
nur	w2671
allein	w2672
das	w2673
Beste	w2674
des	w2675
Staates	w2676
<g/>
,
und	w2678
thue	w2679
es	w2680
mit	w2681
Verzicht	w2682
auf	w2683
den	w2684
allgemeinen	w2685
Bey=fall	w2686
<g/>
=
<g/>
,
weil	w2689
ihm	w2690
mehr	w2691
an	w2692
dem	w2693
ersten	w2694
als	w2695
dem	w2696
zweyten	w2697
liege	w2698
<g/>
,
u	w2700
<g/>
.
s	w2702
<g/>
.
s	w2704
<g/>
.
Hr	w2706
<g/>
.
Dun=combe	w2708
<g/>
=
gestand	w2710
ein	w2711
<g/>
,
daß	w2713
der	w2714
Staatssekre=tair	w2715
<g/>
=
die	w2717
bewunderungswürdigsten	w2718
Fähig=keiten	w2719
<g/>
=
besitze	w2721
<g/>
;
gegenwärtig	w2723
aber	w2724
<g/>
,
meinte	w2726
er	w2727
<g/>
,
mache	w2729
selber	w2730
davon	w2731
den	w2732
schimpflichsten	w2733
Gebrauch	w2734
<g/>
,
da	w2736
durch	w2737
dessen	w2738
Bill	w2739
die	w2740
ge=heiligsten	w2741
<g/>
=
Rechte	w2743
der	w2744
Nation	w2745
zertrümmert	w2746
<g/>
,
und	w2748
der	w2749
verderblichste	w2750
Einfluß	w2751
der	w2752
Krone	w2753
gegründet	w2754
würde	w2755
<g/>
.
Kein	w2757
Mensch	w2758
<g/>
,
sagte	w2760
er	w2761
<g/>
,
der	w2763
nur	w2764
noch	w2765
einiges	w2766
Gefühl	w2767
der	w2768
Va=terlandsliebe	w2769
<g/>
=
nähre	w2771
<g/>
,
könnte	w2773
dieselbe	w2774
ver=theidigen	w2775
<g/>
=
<g/>
.
Jn	w2778
gleichem	w2779
Tone	w2780
sprach	w2781
Hr	w2782
<g/>
.
Martin	w2784
<g/>
,
und	w2786
erneuerte	w2787
insbesondere	w2788
alle	w2789
die	w2790
vorigen	w2791
oftwiederholten	w2792
Vorwürfe	w2793
ge=gen	w2794
<g/>
=
die	w2796
Coalition	w2797
<g/>
.
Sir	w2799
Grey	w2800
Cooper	w2801
antwortete	w2802
ihren	w2803
Vorwürfen	w2804
<g/>
:
Es	w2806
scheine	w2807
ihm	w2808
widersinnig	w2809
<g/>
,
daß	w2811
man	w2812
so	w2813
lange	w2814
im=mer	w2815
<g/>
=
<g/>
,
von	w2818
der	w2819
Nothwendigkeit	w2820
anderer	w2821
Maasregeln	w2822
<g/>
,
in	w2824
Betref	w2825
der	w2826
Compagnie	w2827
<g/>
,
geredet	w2829
<g/>
,
und	w2831
nun	w2832
<g/>
,
da	w2834
dergleichen	w2835
vorge=bracht	w2836
<g/>
=
werden	w2838
<g/>
,
dieselben	w2840
verwerfe	w2841
<g/>
,
ohne	w2843
bessere	w2844
anzugeben	w2845
<g/>
.
Er	w2847
bewies	w2848
hierauf	w2849
die	w2850
Nutzbarkeit	w2851
und	w2852
Nothwendigkeit	w2853
der	w2854
Bill	w2855
in	w2856
allen	w2857
ihren	w2858
Theilen	w2859
<g/>
.
Der	w2861
Gou=verneur	w2862
<g/>
=
Ord	w2864
sprach	w2865
gegen	w2866
<g/>
,
Hr	w2868
<g/>
.
Grego=ry	w2870
<g/>
=
<g/>
,
ehemaliger	w2873
Direktor	w2874
<g/>
,
aber	w2876
für	w2877
die	w2878
Bill	w2879
<g/>
;
Hr	w2881
<g/>
.
Beaufoy	w2883
fand	w2884
einiges	w2885
in	w2886
selber	w2887
<g/>
,
das	w2889
seinen	w2890
Beyfall	w2891
hatte	w2892
<g/>
.
Hr	w2894
<g/>
.
Henry	w2896
Dun=das	w2897
<g/>
=
<g/>
(
der	w2900
ehemalige	w2901
Lord	w2902
Anwalt	w2903
<g/>
,
für	w2905
Schottland	w2906
<g/>
)
billigte	w2908
überhaupt	w2909
die	w2910
Bill	w2911
<g/>
,
tadelte	w2913
aber	w2914
die	w2915
Eilfertigkeit	w2916
der	w2917
Minister	w2918
in	w2919
diesem	w2920
Geschäfte	w2921
<g/>
.
Der	w2923
Generalfeld=citator	w2924
<g/>
=
und	w2926
Lord	w2927
John	w2928
Cavendish	w2929
aufs	w2930
worteten	w2931
ihm	w2932
<g/>
,
und	w2934
rechtfertigten	w2935
die	w2936
Mi=nister	w2937
<g/>
=
<g/>
.
Hr	w2940
<g/>
.
Thom	w2942
<g/>
.
Put	w2944
sah	w2945
die	w2946
Bill	w2947
als	w2948
</p>
<p id="p26">
eine	w2949
gewaltige	w2950
Maasregel	w2951
eines	w2952
despoli=schen	w2953
<g/>
=
Ministeriums	w2955
an	w2956
<g/>
.
Nach	w2958
ihm	w2959
sprach	w2960
Hr	w2961
<g/>
.
W	w2963
<g/>
.
Pitt	w2965
<g/>
,
und	w2967
hielt	w2968
beynahe	w2969
durch	w2970
2	w2971
Stunden	w2972
eine	w2973
sehr	w2974
nachdrückliche	w2975
wohl=geordnete	w2976
<g/>
=
Rede	w2978
<g/>
.
Er	w2980
antwortete	w2981
auf	w2982
vie=le	w2983
<g/>
=
von	w2985
dem	w2986
Staatssekretaire	w2987
am	w2988
27	w2989
<g/>
.
Nov	w2991
<g/>
.
vorgebrachte	w2993
Gründe	w2994
<g/>
;
er	w2996
sagte	w2997
<g/>
,
die	w2999
Bill	w3000
würde	w3001
nicht	w3002
den	w3003
Einfluß	w3004
der	w3005
Krone	w3006
<g/>
,
wohl	w3008
aber	w3009
jenen	w3010
der	w3011
gegenwärtigen	w3012
Minister	w3013
gründen	w3014
ꝛc	w3015
<g/>
.
Er	w3017
sprach	w3018
viel	w3019
gegen	w3020
die	w3021
Coalition	w3022
<g/>
,
dennoch	w3024
ließ	w3025
er	w3026
den	w3027
Fähigkei=ten	w3028
<g/>
=
des	w3030
Hrn	w3031
<g/>
.
Fox	w3033
alle	w3034
Gerechtigkeit	w3035
wie=derfahren	w3036
<g/>
=
<g/>
;
er	w3039
sagte	w3040
auch	w3041
<g/>
,
er	w3043
sey	w3044
über=zeugt	w3045
<g/>
=
<g/>
,
selber	w3048
habe	w3049
sie	w3050
in	w3051
den	w3052
bestgemein=testen	w3053
<g/>
=
Absichten	w3055
für	w3056
das	w3057
Vaterland	w3058
ein=gebracht	w3059
<g/>
=
<g/>
;
doch	w3062
dieser	w3063
würde	w3064
er	w3065
verfehlten	w3066
<g/>
;
denn	w3068
die	w3069
Maaßregeln	w3070
derselben	w3071
seyen	w3072
zu	w3073
heftig	w3074
<g/>
,
zu	w3076
wenig	w3077
vorbereitet	w3078
zu	w3079
grau=sam	w3080
<g/>
=
<g/>
,
ꝛc	w3083
<g/>
.
Er	w3085
machte	w3086
sich	w3087
anheischig	w3088
<g/>
,
im	w3090
Falle	w3091
diese	w3092
Bill	w3093
zurückgesetzt	w3094
würde	w3095
<g/>
,
eine	w3097
bessere	w3098
dafür	w3099
einzubringen	w3100
ꝛc	w3101
<g/>
.
Nachdem	w3103
nun	w3104
alle	w3105
Glieder	w3106
gesprochen	w3107
hatten	w3108
<g/>
,
so	w3110
stund	w3111
zuletzt	w3112
Hr	w3113
<g/>
.
Fox	w3115
auf	w3116
<g/>
,
und	w3118
hielt	w3119
eine	w3120
sehr	w3121
lange	w3122
Rede	w3123
<g/>
,
die	w3125
in	w3126
Rücksicht	w3127
auf	w3128
ihre	w3129
Anordnung	w3130
<g/>
,
die	w3132
darinn	w3133
enthaltenen	w3134
starken	w3135
und	w3136
neuen	w3137
Gründe	w3138
<g/>
,
die	w3140
darinn	w3141
geäußerten	w3142
Gesinnungen	w3143
<g/>
,
und	w3145
auf	w3146
den	w3147
einnehmendsten	w3148
Vortrag	w3149
<g/>
,
eines	w3151
der	w3152
hin=reißendsten	w3153
<g/>
=
Stücke	w3155
der	w3156
Beredsamkeit	w3157
war	w3158
<g/>
.
Er	w3160
beantwortete	w3161
zuerst	w3162
alle	w3163
gegen	w3164
die	w3165
Bill	w3166
gemachte	w3167
Einwürfe	w3168
und	w3169
zeigte	w3170
daß	w3171
da=durch	w3172
<g/>
=
der	w3174
Entzweck	w3175
der	w3176
Gesellschaft	w3177
nicht	w3178
gehindert	w3179
<g/>
,
und	w3181
ihr	w3182
Eigenthum	w3183
nicht	w3184
ge=kränket	w3185
<g/>
=
werde	w3187
<g/>
:
man	w3189
suche	w3190
nur	w3191
allein	w3192
da=durch	w3193
<g/>
=
bey	w3195
30	w3196
<g/>
.
Millionen	w3198
Menschen	w3199
von	w3200
Gewaltthätigkeiten	w3201
und	w3202
Verderben	w3203
zu	w3204
ret=ten	w3205
<g/>
=
ꝛc	w3207
<g/>
.
Er	w3209
kam	w3210
hierauf	w3211
an	w3212
die	w3213
ihm	w3214
und	w3215
dem	w3216
Ministerium	w3217
gemachten	w3218
Einwürfe	w3219
<g/>
,
die	w3221
er	w3222
mit	w3223
Bescheidenheit	w3224
<g/>
,
Edelmuth	w3226
und	w3227
Thatsachen	w3228
widersetzte	w3229
<g/>
.
<g/>
—
Nachdem	w3232
es	w3233
geendet	w3234
hatte	w3235
<g/>
,
wollte	w3237
Hr	w3238
Arden	w3239
reden	w3240
<g/>
;
aber	w3242
das	w3243
durch	w3244
eine	w3245
so	w3246
langwierige	w3247
De=batte	w3248
<g/>
=
ermüdete	w3250
Haus	w3251
verlangte	w3252
die	w3253
Stim=mensammlung	w3254
<g/>
=
<g/>
,
welche	w3257
abermal	w3258
zu	w3259
Gun=sten	w3260
<g/>
=
der	w3262
Bill	w3263
ausfiel	w3264
<g/>
;
es	w3266
waren	w3267
217	w3268
Stim=men	w3269
<g/>
=
für	w3271
die	w3272
Commißion	w3273
<g/>
,
und	w3275
nur	w3276
103	w3277
da=gegen	w3278
<g/>
=
<g/>
.
Es	w3281
war	w3282
bereits	w3283
4	w3284
Uhr	w3285
Morgens	w3286
vom	w3287
2	w3288
<g/>
.
Dec	w3290
<g/>
.
<g/>
,
da	w3293
das	w3294
Haus	w3295
auseinander	w3296
gieng	w3297
<g/>
.
</p>
<p id="p27">
Es	w3299
kann	w3300
hierauf	w3301
wieder	w3302
am	w3303
3	w3304
<g/>
.
Dec	w3306
<g/>
.
zusammen	w3308
<g/>
,
und	w3310
nachdem	w3311
die	w3312
übrigen	w3313
</p>
<p id="p28">
für	w3314
diesen	w3315
Tag	w3316
bestimmten	w3317
Geschäfte	w3318
verrichtet	w3319
waren	w3320
<g/>
,
so	w3322
gieng	w3323
es	w3324
über	w3325
die	w3326
ofterwähnte	w3327
Bill	w3328
in	w3329
Commißion	w3330
<g/>
.
Als	w3332
man	w3333
auf	w3334
die	w3335
Namen	w3336
der	w3337
zu	w3338
erwählenden	w3339
7	w3340
Commissaire	w3341
<g/>
,
und	w3343
der	w3344
9	w3345
Assistenten	w3346
kam	w3347
<g/>
,
die	w3349
in	w3350
der	w3351
Bill	w3352
noch	w3353
nicht	w3354
einge=tragen	w3355
<g/>
=
waren	w3357
<g/>
,
so	w3359
schlug	w3360
Hr	w3361
<g/>
.
Fox	w3363
als	w3364
Commissaire	w3365
vor	w3366
<g/>
:
1	w3368
<g/>
)
den	w3370
Grafen	w3371
Fitz=william	w3372
<g/>
=
<g/>
,
als	w3375
Präsidenten	w3376
<g/>
,
2	w3378
<g/>
)
Hrn	w3380
<g/>
.
Friedr	w3382
<g/>
.
Montague	w3384
<g/>
,
3	w3386
<g/>
)
Mylord	w3388
Le=wisham	w3389
<g/>
=
<g/>
,
4	w3392
<g/>
)
Hrn	w3394
Georg	w3395
Aug	w3396
<g/>
.
North	w3398
<g/>
(
den	w3400
ältesten	w3401
Sohn	w3402
des	w3403
Staatssekretai=res	w3404
<g/>
=
<g/>
,
<g/>
)
5	w3408
<g/>
)
Sir	w3410
Gilbert	w3411
Elliot	w3412
<g/>
,
6	w3414
<g/>
)
Sir	w3416
Henry	w3417
Fletscher	w3418
<g/>
,
<g/>
(
den	w3421
bisgerigen	w3422
Prä=sidenten	w3423
<g/>
=
der	w3425
gegenwärtigen	w3426
Compagnie	w3427
Direktion	w3428
<g/>
)
7	w3430
<g/>
)
Hrn	w3432
<g/>
.
Gregory	w3434
<g/>
,
<g/>
(
einen	w3437
ehemaligen	w3438
Direktor	w3439
<g/>
.
Bey	w3441
jedem	w3442
die=ser	w3443
<g/>
=
Namen	w3445
machte	w3446
Hr	w3447
<g/>
.
Fox	w3449
einige	w3450
An=merkungen	w3451
<g/>
=
über	w3453
die	w3454
Verdienste	w3455
der	w3456
Män=ner	w3457
<g/>
=
<g/>
—
Sir	w3460
Astley	w3461
wollte	w3462
den	w3463
Vorschlag	w3464
machen	w3465
<g/>
,
daß	w3467
keiner	w3468
dieser	w3469
Commissaire	w3470
im	w3471
Parlamente	w3472
sitzen	w3473
sollte	w3474
<g/>
,
aber	w3476
Hr	w3477
<g/>
.
Fox	w3479
bewies	w3480
<g/>
,
daß	w3482
dadurch	w3483
die	w3484
ganze	w3485
Ab=sicht	w3486
<g/>
=
der	w3488
Bill	w3489
vernichtet	w3490
wurde	w3491
<g/>
.
Hr	w3493
<g/>
.
Orden	w3495
meinte	w3496
kein	w3497
Mitglied	w3498
der	w3499
ehema=ligen	w3500
<g/>
=
geheimen	w3502
Commißion	w3503
zur	w3504
Untersu=chung	w3505
<g/>
=
der	w3507
Compagnie	w3508
Angelegenheiten	w3509
<g/>
,
sollte	w3511
mit	w3512
bey	w3513
der	w3514
neuen	w3515
Commißion	w3516
auf=genommen	w3517
<g/>
=
werden	w3519
<g/>
;
dagegen	w3521
aber	w3522
eiferte	w3523
General	w3524
Smith	w3525
sehr	w3526
nachdrücklich	w3527
<g/>
.
End=lich	w3529
<g/>
=
wurden	w3531
alle	w3532
die	w3533
vorgeschlagenen	w3534
Per=sonen	w3535
<g/>
=
gebilligt	w3537
<g/>
.
Als	w3539
Hr	w3540
<g/>
.
Fox	w3542
den	w3543
Na=men	w3544
<g/>
=
des	w3546
Hrn	w3547
<g/>
.
North	w3549
vorbrachte	w3550
<g/>
,
sagte	w3552
er	w3553
zum	w3554
voraus	w3555
<g/>
,
er	w3557
erwarte	w3558
nun	w3559
die	w3560
Er=neuerung	w3561
<g/>
=
aller	w3563
oft	w3564
genug	w3565
gegen	w3566
die	w3567
Coa=lition	w3568
<g/>
=
und	w3570
die	w3571
eigennütziger	w3572
Absichten	w3573
der	w3574
Minister	w3575
gemachten	w3576
spöttisthen	w3577
Vor=würfen	w3578
<g/>
=
wirklich	w3580
als	w3581
er	w3582
zuletzt	w3583
den	w3584
Na=men	w3585
<g/>
=
nannte	w3587
<g/>
,
entstund	w3589
auf	w3590
