<doc id="edoc_wd_1759-09-26" attrs="word" year="1759" month="09" day="26" corpus="1">
<head id="hl1">
Coblenz	w40
eilfertig	w7202
folgte	w7203
<g/>
,
daß	w7205
man	w7206
solche	w7207
nicht	w7208
mehr	w7209
mit	w7210
Effect	w7211
erreichen	w7212
konte	w7213
<g/>
,
folgsam	w7215
der	w7216
Feind	w7217
gegen	w7218
Abend	w7219
sich	w7220
auf	w7221
gedachte	w7222
Anhöhen	w7223
gelageret	w7224
<g/>
,
die	w7226
diesseitige	w7227
Armee	w7228
hingegen	w7229
das	w7230
Lager	w7231
ebenfalls	w7232
in	w7233
so	w7234
einer	w7235
Stellung	w7236
bezogen	w7237
<g/>
,
daß	w7239
der	w7240
rechte	w7241
Flügel	w7242
gegen	w7243
der	w7244
Elbe	w7245
<g/>
,
und	w7247
der	w7248
linke	w7249
Flügel	w7250
gegen	w7251
Taubenhein	w7252
sich	w7253
extendiret	w7254
<g/>
.
Heute	w7256
</p>
<p id="p75">
Den	w7257
20	w7258
<g/>
.
haben	w7260
Seine	w7261
Durchleucht	w7262
der	w7263
commandirende	w7264
Herr	w7265
Ge=neral	w7266
<g/>
=
die	w7268
feindliche	w7269
Position	w7270
so	w7271
nahe	w7272
<g/>
,
als	w7274
möglich	w7275
recognosciret	w7276
<g/>
,
auch	w7278
in	w7279
Verfolg	w7280
dessen	w7281
verschiedene	w7282
Vorkehrungen	w7283
veranlasset	w7284
<g/>
;
die	w7286
beederseitige	w7287
Vor	w7288
<g/>
=
trupen	w7290
haben	w7291
dabey	w7292
mit	w7293
einander	w7294
scharmutzirt	w7295
<g/>
,
ohne	w7297
daß	w7298
es	w7299
von	w7300
ei=ner	w7301
<g/>
=
Beträchtlichkeit	w7303
gewesen	w7304
<g/>
,
doch	w7306
seynd	w7307
einige	w7308
feindliche	w7309
Gefangene	w7310
einge=bracht	w7311
<g/>
=
worden	w7313
<g/>
,
auch	w7315
verschiedene	w7316
Deserteurs	w7317
angekommen	w7318
<g/>
.
</p>
<p id="p76">
Ubrigens	w7320
ist	w7321
die	w7322
Nachricht	w7323
eingeloffen	w7324
<g/>
,
daß	w7326
der	w7327
in	w7328
Leipzig	w7329
als	w7330
Com=mandant	w7331
<g/>
=
verbliebene	w7333
Herr	w7334
General	w7335
<g/>
=
major	w7337
Graf	w7338
von	w7339
Hohenlohe	w7340
die	w7341
Stadt	w7342
am	w7343
13	w7344
<g/>
.
mit	w7346
Accord	w7347
an	w7348
den	w7349
feindlichen	w7350
General	w7351
<g/>
=
major	w7353
Wunsch	w7354
übergeben	w7355
<g/>
,
wobey	w7357
die	w7358
zum	w7359
Capituliren	w7360
zuruckgelassene	w7361
wenige	w7362
Comman=dirte	w7363
<g/>
=
von	w7365
dem	w7366
Oberrheinisch	w7367
<g/>
=
Nassau	w7369
<g/>
=
Weilburgischen	w7371
<g/>
,
dann	w7373
dem	w7374
Frän=kisch	w7375
<g/>
=
<g/>
=
Hohenlohischen	w7378
Regiment	w7379
zu	w7380
Kriegsgefangenen	w7381
gemacht	w7382
worden	w7383
<g/>
;
welcher	w7385
Vorgang	w7386
dann	w7387
den	w7388
bishero	w7389
zu	w7390
Naumburg	w7391
gestandenen	w7392
Herrn	w7393
Ge=neral	w7394
<g/>
=
<g/>
=
major	w7397
Luzinsky	w7398
seine	w7399
Stellung	w7400
zu	w7401
veränderen	w7402
<g/>
,
und	w7404
sich	w7405
mit	w7406
seinem	w7407
unterhabenden	w7408
Detaschement	w7409
bey	w7410
Jena	w7411
zu	w7412
setzen	w7413
<g/>
,
um	w7415
die	w7416
weitere	w7417
feindliche	w7418
Bewegungen	w7419
in	w7420
selbigen	w7421
Gegenden	w7422
zu	w7423
beobach=ten	w7424
<g/>
=
<g/>
,
veranlasset	w7427
hat	w7428
<g/>
.
</p>
<head id="hl28">
JOURNAL	w7445
</head>
<head id="hl29">
Aus	w7446
dem	w7447
Kaiserl	w7448
<g/>
.
Königl	w7450
<g/>
.
Haupt	w7452
<g/>
=
quartier	w7454
Teichnitz	w7455
vom	w7456
17	w7457
<g/>
.
bis	w7459
20	w7460
<g/>
.
September	w7462
1759	w7463
<g/>
.
</head>
<p id="p77">
Den	w7465
17	w7466
<g/>
.
langte	w7468
von	w7469
dem	w7470
General	w7471
<g/>
=
feld	w7473
<g/>
=
marschall	w7475
<g/>
=
leutenant	w7477
Baron	w7478
von	w7479
Beck	w7480
die	w7481
Nachricht	w7482
ein	w7483
<g/>
,
daß	w7485
in	w7486
abgewichener	w7487
Nacht	w7488
ein	w7489
Theil	w7490
des	w7491
feindlichen	w7492
Corps	w7493
<g/>
,
so	w7495
diesseits	w7496
der	w7497
Neiß	w7498
bey	w7499
Landskron	w7500
gestanden	w7501
<g/>
,
aufge=brochen	w7503
<g/>
=
<g/>
,
mittelst	w7506
eigends	w7507
zwischen	w7508
Görlitz	w7509
und	w7510
Teutsch	w7511
<g/>
=
Oßig	w7513
geschlagener	w7514
Brucke	w7515
die	w7516
Neiß	w7517
repaßiret	w7518
<g/>
,
nicht	w7520
minder	w7521
der	w7522
General	w7523
Ziethen	w7524
von	w7525
Ratt=meritz	w7526
<g/>
=
nach	w7528
Seidenberg	w7529
<g/>
,
der	w7531
General	w7532
Stutterheim	w7533
aber	w7534
<g/>
,
welcher	w7536
mit	w7537
sei=nen	w7538
<g/>
=
Trupen	w7540
bey	w7541
Biede	w7542
und	w7543
Borau	w7544
sich	w7545
befunden	w7546
<g/>
,
nach	w7548
Schönwalde	w7549
mar=schiret	w7550
<g/>
=
wäre	w7552
<g/>
,
woselbst	w7554
sich	w7555
ein	w7556
und	w7557
anderer	w7558
mit	w7559
denen	w7560
beyhabenden	w7561
Tru=pen	w7562
<g/>
=
gelageret	w7564
<g/>
,
und	w7566
da	w7567
deren	w7568
Vor	w7569
<g/>
=
trupen	w7571
bis	w7572
nahe	w7573
an	w7574
Friedland	w7575
kamen	w7576
<g/>
,
so	w7578
geriehte	w7579
es	w7580
zwischen	w7581
solchen	w7582
<g/>
,
und	w7584
dem	w7585
dort	w7586
gewest	w7587
<g/>
=
dies	w7589
<g/>
=
theiligen	w7591
Com=mando	w7592
<g/>
=
von	w7594
Croaten	w7595
und	w7596
Hussaren	w7597
zu	w7598
einen	w7599
Scharmützel	w7600
<g/>
;
der	w7602
Feind	w7603
hat=te	w7604
<g/>
=
zwar	w7606
schon	w7607
einige	w7608
Escadrons	w7609
seitwärts	w7610
detaschiret	w7611
<g/>
,
um	w7613
selbes	w7614
von	w7615
Rei=chenberg	w7616
<g/>
=
zu	w7618
coupiren	w7619
<g/>
,
und	w7621
im	w7622
Rucken	w7623
zu	w7624
nehmen	w7625
<g/>
,
es	w7627
erhielte	w7628
aber	w7629
sol=ches	w7630
<g/>
=
noch	w7632
zu	w7633
rechter	w7634
Zeit	w7635
die	w7636
Nachricht	w7637
davon	w7638
<g/>
,
um	w7640
sich	w7641
dahin	w7642
retiriren	w7643
zu	w7644
können	w7645
<g/>
,
welches	w7647
dergestalt	w7648
bewürket	w7649
wurde	w7650
<g/>
,
daß	w7652
gedachtes	w7653
Commando	w7654
nur	w7655
8	w7656
<g/>
.
Mann	w7658
<g/>
,
und	w7660
8	w7661
<g/>
.
Pferd	w7663
<g/>
,
so	w7665
während	w7666
dem	w7667
Scharmützel	w7668
auf	w7669
dem	w7670
Platz	w7671
blieben	w7672
<g/>
,
vermissete	w7674
<g/>
,
dahingegen	w7676
zu	w7677
Folge	w7678
deren	w7679
herüber	w7680
getrettenen	w7681
De=serteurs	w7682
<g/>
=
der	w7684
feindliche	w7685
Verlust	w7686
an	w7687
Mannschaft	w7688
weit	w7689
beträchtlicher	w7690
gewe=sen	w7691
<g/>
=
seyn	w7693
solle	w7694
<g/>
.
</p>
<p id="p78">
Bey	w7696
dieser	w7697
des	w7698
Feindes	w7699
Position	w7700
nun	w7701
hätte	w7702
sich	w7703
solcher	w7704
vieleicht	w7705
bey=gehen	w7706
<g/>
=
lassen	w7708
<g/>
,
gar	w7710
bis	w7711
Reichenberg	w7712
vorzudringen	w7713
<g/>
,
wie	w7715
aber	w7716
der	w7717
General=feld	w7718
<g/>
=
<g/>
=
marschall	w7721
<g/>
=
leutenant	w7723
Baron	w7724
von	w7725
Beck	w7726
zu	w7727
dem	w7728
Ende	w7729
gegen	w7730
Zittau	w7731
de=taschiret	w7732
<g/>
=
worden	w7734
<g/>
,
um	w7736
die	w7737
Böhmische	w7738
Gränzen	w7739
zu	w7740
bedecken	w7741
<g/>
,
und	w7743
denen	w7744
feindlichen	w7745
Streiffereyen	w7746
Einhalt	w7747
zu	w7748
thun	w7749
<g/>
,
so	w7751
nahme	w7752
selber	w7753
mit	w7754
seinen	w7755
beyhabenden	w7756
Trupen	w7757
eine	w7758
solche	w7759
Position	w7760
<g/>
,
daß	w7762
er	w7763
da	w7764
<g/>
,
wo	w7766
es	w7767
die	w7768
Umstände	w7769
erheuscheten	w7770
<g/>
,
sogleich	w7772
Raht	w7773
zu	w7774
schaffen	w7775
vermöge	w7776
<g/>
.
</p>
<p id="p79">
Der	w7778
General	w7779
<g/>
=
feld	w7781
<g/>
=
marschall	w7783
<g/>
=
leutenant	w7785
Graf	w7786
Rudolph	w7787
von	w7788
Palfy	w7789
be=richtete	w7790
<g/>
=
<g/>
,
daß	w7793
in	w7794
der	w7795
Nacht	w7796
4	w7797
<g/>
.
feindliche	w7799
Escadronen	w7800
nebst	w7801
4	w7802
<g/>
.
Bataillonen	w7804
Jnfanterie	w7805
gegen	w7806
Draucke	w7807
gekommen	w7808
<g/>
,
und	w7810
mit	w7811
Anbruch	w7812
des	w7813
Tags	w7814
seine	w7815
daselbstige	w7816
Vor	w7817
<g/>
=
posten	w7819
repoußiret	w7820
<g/>
,
dargegen	w7822
die	w7823
Jhrige	w7824
bey	w7825
der	w7826
Wind=mühle	w7827
<g/>
=
nächst	w7829
Spremberg	w7830
ausgestellet	w7831
hätten	w7832
<g/>
,
dann	w7834
<g/>
,
daß	w7836
er	w7837
sich	w7838
wegen	w7839
Uberlegenheit	w7840
des	w7841
Feindes	w7842
bis	w7843
Neudorf	w7844
<g/>
,
und	w7846
da	w7847
dieser	w7848
weiters	w7849
bis	w7850
Traut=tendorf	w7851
<g/>
=
vorgerucket	w7853
<g/>
,
nacher	w7855
Losa	w7856
zuruck	w7857
gezogen	w7858
<g/>
,
jedoch	w7860
seine	w7861
Posten	w7862
vorvorwärts	w7863
<g/>
=
</p>
<p id="p80">
wärts	w7865
dermassen	w7866
ausgesetzet	w7867
hätte	w7868
<g/>
,
daß	w7870
alle	w7871
feindliche	w7872
fernere	w7873
Bewegun=gen	w7874
<g/>
=
beobachtet	w7876
werden	w7877
könten	w7878
<g/>
.
</p>
<p id="p81">
Fast	w7880
zu	w7881
gleicher	w7882
Zeit	w7883
meldete	w7884
auch	w7885
der	w7886
General	w7887
<g/>
=
feld	w7889
<g/>
=
wachtmeister	w7891
von	w7892
Vehla	w7893
von	w7894
Laubus	w7895
her	w7896
<g/>
,
daß	w7898
der	w7899
Feind	w7900
gegen	w7901
Vetschau	w7902
<g/>
,
Liebenau	w7904
<g/>
,
und	w7906
Kachlau	w7907
mit	w7908
starken	w7909
Partheyen	w7910
im	w7911
Anzug	w7912
begriffen	w7913
wäre	w7914
<g/>
.
</p>
<p id="p82">
Den	w7916
18	w7917
<g/>
.
raportirte	w7919
jetztersagter	w7920
General	w7921
<g/>
=
feld	w7923
<g/>
=
wacht	w7925
<g/>
=
meister	w7927
nicht	w7928
nur	w7929
<g/>
,
daß	w7931
seine	w7932
Vor	w7933
<g/>
=
posten	w7935
zuruck	w7936
getrieben	w7937
<g/>
,
und	w7939
er	w7940
sich	w7941
dahero	w7942
zwischen	w7943
Culm	w7944
und	w7945
Hoyerswerda	w7946
postiret	w7947
hätte	w7948
<g/>
,
sondern	w7950
auch	w7951
<g/>
,
daß	w7953
die	w7954
Armee	w7955
des	w7956
Königs	w7957
heut	w7958
von	w7959
Verschau	w7960
in	w7961
3	w7962
<g/>
.
Colonnen	w7964
den	w7965
Weeg	w7966
gegen	w7967
Hoyerswer=da	w7968
<g/>
=
genommen	w7970
<g/>
,
auf	w7972
einmal	w7973
aber	w7974
sich	w7975
mit	w7976
schnellen	w7977
Schritten	w7978
gegen	w7979
Mosca	w7980
gewendet	w7981
hätte	w7982
<g/>
;
welchem	w7984
der	w7985
General	w7986
<g/>
=
feld	w7988
<g/>
=
marschall	w7990
<g/>
=
leutenant	w7992
Graf	w7993
Ru=dolph	w7994
<g/>
=
von	w7996
Palfy	w7997
hinzugefüget	w7998
<g/>
,
daß	w8000
selbe	w8001
ihren	w8002
Zug	w8003
dahin	w8004
herwärts	w8005
Traut=tendorf	w8006
<g/>
=
fortgesetzet	w8008
<g/>
,
jedoch	w8010
daselbst	w8011
eine	w8012
Colonne	w8013
stehen	w8014
geblieben	w8015
wäre	w8016
<g/>
.
</p>
<p id="p83">
Ausser	w8018
deme	w8019
wurde	w8020
diesen	w8021
Tag	w8022
von	w8023
dem	w8024
General	w8025
<g/>
=
feld	w8027
<g/>
=
marschall=leutenant	w8029
<g/>
=
Baron	w8031
von	w8032
Beck	w8033
erinneret	w8034
<g/>
,
daß	w8036
das	w8037
Ziethisch	w8038
<g/>
=
und	w8040
Stutter=heimische	w8041
<g/>
=
Corps	w8043
noch	w8044
in	w8045
ihren	w8046
genommenen	w8047
Stellungen	w8048
bey	w8049
Seidenberg	w8050
und	w8051
Schönwalde	w8052
stunden	w8053
<g/>
.
</p>
<p id="p84">
Nach	w8055
einem	w8056
Bericht	w8057
von	w8058
dem	w8059
General	w8060
<g/>
=
feld	w8062
<g/>
=
marschall	w8064
<g/>
=
leutenant	w8066
Baron	w8067
von	w8068
London	w8069
ist	w8070
die	w8071
Rußisch	w8072
<g/>
=
Kaiserl	w8074
<g/>
.
Armee	w8076
<g/>
,
wie	w8078
nicht	w8079
minder	w8080
derselbe	w8081
mit	w8082
dem	w8083
ihme	w8084
anvertrauten	w8085
Corps	w8086
von	w8087
Guben	w8088
gegen	w8089
Sommer=feld	w8090
<g/>
=
auf	w8092
Amtitz	w8093
abgerucket	w8094
<g/>
.
</p>
<p id="p85">
Den	w8096
19	w8097
<g/>
.
lieffe	w8099
von	w8100
dem	w8101
General	w8102
<g/>
=
feld	w8104
<g/>
=
wacht	w8106
<g/>
=
meister	w8108
von	w8109
Vehla	w8110
der	w8111
Bericht	w8112
ein	w8113
<g/>
,
daß	w8115
ein	w8116
Theil	w8117
der	w8118
Armee	w8119
des	w8120
Königs	w8121
sich	w8122
gegen	w8123
Först	w8124
gezo=gen	w8125
<g/>
=
<g/>
,
und	w8128
die	w8129
Gegenden	w8130
von	w8131
Spremberg	w8132
völlig	w8133
geraumet	w8134
wären	w8135
<g/>
,
indeme	w8137
die	w8138
daselbst	w8139
geweste	w8140
feindliche	w8141
Trupen	w8142
heut	w8143
fruh	w8144
ebenfalls	w8145
von	w8146
dannen	w8147
auf=gebrochen	w8148
<g/>
=
seyen	w8150
<g/>
,
welches	w8152
der	w8153
General	w8154
<g/>
=
feld	w8156
<g/>
=
marschall	w8158
<g/>
=
leutenant	w8160
Graf	w8161
Ru=dolph	w8162
<g/>
=
von	w8164
Palfy	w8165
mit	w8166
dem	w8167
Beysatz	w8168
bekräftigte	w8169
<g/>
,
daß	w8171
die	w8172
in	w8173
sothaner	w8174
Stadt	w8175
gelegene	w8176
3	w8177
<g/>
.
feindliche	w8179
Bataillonen	w8180
<g/>
,
und	w8182
ausserhalb	w8183
gestandene	w8184
3	w8185
<g/>
.
Caval=lerieregimenter	w8187
<g/>
=
gegen	w8189
Mosca	w8190
und	w8191
Triebel	w8192
den	w8193
Weeg	w8194
angetretten	w8195
hätten	w8196
<g/>
,
der	w8198
König	w8199
aber	w8200
für	w8201
seine	w8202
Person	w8203
sich	w8204
in	w8205
Först	w8206
befände	w8207
<g/>
.
</p>
<p id="p86">
Gleichwie	w8209
nun	w8210
diese	w8211
des	w8212
Königs	w8213
in	w8214
Preussen	w8215
machende	w8216
Bewegun=gen	w8217
<g/>
=
<g/>
,
nebst	w8220
der	w8221
beyhaltend	w8222
<g/>
=
forthinig	w8224
alten	w8225
Position	w8226
des	w8227
Prinz	w8228
Heinrichi=schen	w8229
<g/>
=
Corps	w8231
d'Armee	w8232
erst	w8233
die	w8234
Erklärung	w8235
von	w8236
denen	w8237
wahren	w8238
Absichten	w8239
ge=ben	w8240
<g/>
=
muß	w8242
<g/>
,
so	w8244
hat	w8245
auch	w8246
solches	w8247
den	w8248
commandirenden	w8249
General	w8250
<g/>
=
feld	w8252
<g/>
=
mar=schall	w8254
<g/>
=
Grafen	w8256
von	w8257
Daun	w8258
veranlasset	w8259
<g/>
,
in	w8261
der	w8262
gegenwärtigen	w8263
hiesigen	w8264
Stellung	w8265
bis	w8266
dahin	w8267
mit	w8268
der	w8269
unterhabenden	w8270
Kais	w8271
<g/>
.
Kön	w8273
<g/>
.
Armee	w8275
zu	w8276
verbleiben	w8277
<g/>
.
</p>
</doc>
