<doc id="edoc_wd_1726-09-14" attrs="word" year="1726" month="09" day="14" corpus="1">
<head id="hl1">
Gibraltar	w54
Exem-pel	w7124
<g/>
-
es	w7126
ohne	w7127
scharffes	w7128
Einsehen	w7129
nicht	w7130
abgehen	w7131
<g/>
/
so	w7133
daß	w7134
es	w7135
die	w7136
Rebellischen	w7137
Widerspenstigen	w7138
wol	w7139
empfinden	w7140
werden	w7141
müssen	w7142
<g/>
/
weil	w7144
der=gleichen	w7145
<g/>
=
Empörungen	w7147
deren	w7148
Unterthanen	w7149
wi=der	w7150
<g/>
=
ihre	w7152
Landes	w7153
<g/>
=
Herren	w7155
sehr	w7156
verhast	w7157
und	w7158
wol	w7159
zu	w7160
straffen	w7161
seyn	w7162
<g/>
.
</p>
<head id="hl23">
Lista	w7164
deren	w7165
Verstorbenen	w7166
zu	w7167
Wien	w7168
<g/>
/
in	w7170
und	w7171
vor	w7172
der	w7173
Stadt	w7174
<g/>
.
</head>
<head id="hl24">
Den	w7176
11	w7177
<g/>
.
September	w7179
1726	w7180
<g/>
.
</head>
<head id="hl25">
Jn	w7182
der	w7183
Stadt	w7184
<g/>
.
</head>
<list id="">
Johann	w7186
Joseph	w7187
Abb	w7188
<g/>
/
B	w7190
<g/>
.
Gold	w7192
<g/>
=
Schmid	w7194
<g/>
/
im	w7196
Gariwol=dischen	w7197
<g/>
=
H	w7199
<g/>
.
in	w7201
der	w7202
Weyhburg	w7203
<g/>
=
Gassen	w7205
<g/>
/
alt	w7207
36	w7208
<g/>
.
J	w7210
<g/>
.
Dem	w7212
Paul	w7213
Langl	w7214
<g/>
/
Tapezierern	w7216
<g/>
/
s	w7218
<g/>
.
K	w7220
<g/>
.
Gothard	w7222
<g/>
/
bey	w7224
der	w7225
golden	w7226
Sonn	w7227
am	w7228
Kohl	w7229
<g/>
=
Mark	w7231
<g/>
/
alt	w7233
10	w7234
<g/>
.
J	w7236
<g/>
.
</list>
<list id="">
Dem	w7238
Fred	w7239
<g/>
.
Schulmann	w7241
<g/>
/
Guardi	w7243
<g/>
=
Soldaten	w7245
<g/>
/
s	w7247
<g/>
.
K	w7249
<g/>
.
Elis	w7251
<g/>
.
<g/>
/
in	w7254
s	w7255
<g/>
.
H	w7257
<g/>
.
unterm	w7259
Roten	w7260
<g/>
=
Thurn	w7262
<g/>
/
alt	w7264
7	w7265
<g/>
.
Viertl	w7267
J	w7268
<g/>
.
</list>
<head id="hl26">
Vor	w7270
der	w7271
Stadt	w7272
<g/>
.
</head>
<list id="">
Dem	w7274
Frantz	w7275
Ulrich	w7276
Scheigel	w7277
<g/>
/
B	w7279
<g/>
.
Gloken	w7281
<g/>
=
Giessen	w7283
<g/>
/
s	w7285
<g/>
.
K	w7287
<g/>
.
Reg	w7289
<g/>
.
<g/>
/
in	w7292
s	w7293
<g/>
.
H	w7295
<g/>
.
in	w7297
der	w7298
Leopoldstadt	w7299
<g/>
/
alt	w7301
7	w7302
<g/>
.
J	w7304
<g/>
.
Dem	w7306
Mich	w7307
<g/>
.
Kesselring	w7309
<g/>
/
B	w7311
<g/>
.
Schneidern	w7313
<g/>
/
s	w7315
<g/>
.
K	w7317
<g/>
.
Anton	w7319
<g/>
/
im	w7321
Schnürerisch	w7322
<g/>
.
H	w7324
<g/>
.
in	w7326
der	w7327
Leopoldstadt	w7328
<g/>
/
alt	w7330
2	w7331
<g/>
.
und	w7333
1	w7334
<g/>
.
halb	w7336
J	w7337
<g/>
.
Dem	w7339
David	w7340
Bauchinger	w7341
<g/>
/
B	w7343
<g/>
.
Schuh	w7345
<g/>
=
Machern	w7347
<g/>
/
s	w7349
<g/>
.
K	w7351
<g/>
.
Juliana	w7353
<g/>
/
im	w7355
Dächlbekisch	w7356
<g/>
.
H	w7358
<g/>
.
in	w7360
der	w7361
Leopoldstadt	w7362
<g/>
/
alt	w7364
4	w7365
<g/>
.
J	w7367
<g/>
.
Dem	w7369
Eliæ Eliae	w7370
Wisner	w7371
<g/>
/
Drächslern	w7373
<g/>
/
s	w7375
<g/>
.
K	w7377
<g/>
.
Clara	w7379
<g/>
/
beym	w7381
Küssen	w7382
<g/>
=
Pfenning	w7384
bey	w7385
Maria	w7386
Hülf	w7387
<g/>
/
alt	w7389
5	w7390
<g/>
.
Viertl	w7392
J	w7393
<g/>
.
Dem	w7395
Casp	w7396
<g/>
.
Sedlmayr	w7398
<g/>
/
Tischlern	w7400
<g/>
/
s	w7402
<g/>
.
K	w7404
<g/>
.
Frantz	w7406
<g/>
/
im	w7408
Winklmüllneris	w7409
<g/>
.
H	w7411
<g/>
.
bey	w7413
St	w7414
<g/>
.
Ulrich	w7416
<g/>
/
alt	w7418
2	w7419
<g/>
.
und	w7421
1	w7422
<g/>
.
halb	w7424
J	w7425
<g/>
.
Dem	w7427
Frantz	w7428
Stov	w7429
<g/>
/
Strimpf	w7431
<g/>
=
Strikern	w7433
<g/>
/
s	w7435
<g/>
.
K	w7437
<g/>
.
Helena	w7439
<g/>
/
im	w7441
Kaufmannisch	w7442
<g/>
.
H	w7444
<g/>
.
an	w7446
der	w7447
Wien	w7448
<g/>
/
alt	w7450
6	w7451
<g/>
.
Viertl	w7453
J	w7454
<g/>
.
Dem	w7456
Ant	w7457
<g/>
.
Schöp	w7459
<g/>
/
Lackey	w7461
<g/>
/
s	w7463
<g/>
.
K	w7465
<g/>
.
Anna	w7467
im	w7468
Pfaidleris	w7469
<g/>
.
H	w7471
<g/>
.
in	w7473
der	w7474
Leopoldstadt	w7475
<g/>
/
alt	w7477
3	w7478
<g/>
.
J	w7480
<g/>
.
Dem	w7482
Jac	w7483
<g/>
.
Ber	w7485
<g/>
/
Heiducken	w7487
<g/>
/
s	w7489
<g/>
.
W	w7491
<g/>
.
Sus	w7493
<g/>
.
<g/>
/
beym	w7496
weissen	w7497
Lammel	w7498
in	w7499
der	w7500
Josephstadt	w7501
<g/>
/
alt	w7503
46	w7504
<g/>
.
J	w7506
<g/>
.
Dem	w7508
Rudolph	w7509
Boliffka	w7510
<g/>
/
Schuh	w7512
<g/>
=
Machern	w7514
<g/>
/
s	w7516
<g/>
.
K	w7518
<g/>
.
Frantz	w7520
<g/>
/
beym	w7522
Rosenkranz	w7523
am	w7524
Spitlberg	w7525
<g/>
/
alt	w7527
5	w7528
<g/>
.
Viertl	w7530
J	w7531
<g/>
.
Der	w7533
Elis	w7534
<g/>
.
Wittmanin	w7536
<g/>
/
armen	w7538
Wittib	w7539
<g/>
/
ihr	w7541
K	w7542
<g/>
.
Ther	w7544
<g/>
.
<g/>
/
im	w7547
Schusterisch	w7548
<g/>
.
H	w7550
<g/>
.
im	w7552
Lerchfeld	w7553
<g/>
/
alt	w7555
7	w7556
<g/>
.
Viertl	w7558
<g/>
.
J	w7560
<g/>
.
</list>
<head id="hl27">
Den	w7562
12	w7563
<g/>
.
Septemb	w7565
<g/>
.
</head>
<head id="hl28">
Jn	w7567
der	w7568
Stadt	w7569
<g/>
.
</head>
<list id="">
Dem	w7571
Hrn	w7572
<g/>
.
Jodoc	w7574
Adam	w7575
Christ	w7576
<g/>
/
K	w7578
<g/>
.
Hof	w7580
<g/>
=
Musico	w7582
<g/>
,
s	w7584
<g/>
.
K	w7586
<g/>
.
Joh	w7588
<g/>
.
Georg	w7590
<g/>
/
beym	w7592
weissen	w7593
Löwen	w7594
am	w7595
Saltzgrieß	w7596
<g/>
/
alt	w7598
10	w7599
<g/>
.
J	w7601
<g/>
.
Jos	w7603
<g/>
.
Bruner	w7605
<g/>
/
im	w7607
Burger	w7608
<g/>
=
Spital	w7610
<g/>
/
alt	w7612
19	w7613
<g/>
.
J	w7615
<g/>
.
</list>
<head id="hl29">
Vor	w7617
der	w7618
Stadt	w7619
<g/>
.
</head>
<list id="">
Dem	w7621
Albert	w7622
Kintz	w7623
<g/>
/
Zinn	w7625
<g/>
=
Giessern	w7627
<g/>
/
s	w7629
<g/>
.
W	w7631
<g/>
.
Elis	w7633
<g/>
/
beym	w7635
grün	w7636
Wasen	w7637
ausserm	w7638
Neubau	w7639
<g/>
/
alt	w7641
70	w7642
<g/>
.
J	w7644
<g/>
.
Urban	w7646
Dratter	w7647
<g/>
/
Guardi	w7649
<g/>
=
Soldat	w7651
<g/>
/
bey	w7653
der	w7654
grün	w7655
Sau=len	w7656
<g/>
=
auf	w7658
der	w7659
Landstraß	w7660
<g/>
/
alt	w7662
44	w7663
<g/>
.
J	w7665
<g/>
.
Maria	w7667
Heidin	w7668
<g/>
/
arme	w7670
Wittib	w7671
<g/>
/
beym	w7673
schwartzen	w7674
Kegel	w7675
am	w7676
Neustift	w7677
<g/>
/
alt	w7679
89	w7680
<g/>
.
J	w7682
<g/>
.
Georg	w7684
Passauer	w7685
<g/>
/
alt	w7687
60	w7688
<g/>
.
J	w7690
<g/>
.
und	w7692
Ther	w7693
<g/>
.
Straubin	w7695
<g/>
/
alt	w7697
15	w7698
<g/>
.
J	w7700
<g/>
.
<g/>
/
beede	w7703
im	w7704
Kranken	w7705
<g/>
=
H	w7707
<g/>
.
</list>
<head id="hl30">
Den	w7709
13	w7710
<g/>
.
Septemb	w7712
<g/>
.
</head>
<head id="hl31">
Jn	w7714
der	w7715
Stadt	w7716
<g/>
.
</head>
<list id="">
Dem	w7718
Hrn	w7719
<g/>
.
Mich	w7721
<g/>
.
Vieglmayr	w7723
<g/>
/
B	w7725
<g/>
.
Handels	w7727
<g/>
=
Mann	w7729
<g/>
/
s	w7731
<g/>
.
K	w7733
<g/>
.
Frantz	w7735
<g/>
/
beym	w7737
roten	w7738
Creutz	w7739
am	w7740
roten	w7741
Thurn	w7742
<g/>
/
alt	w7744
3	w7745
<g/>
.
J	w7747
<g/>
.
Dem	w7749
Joh	w7750
<g/>
.
Georg	w7752
Mohr	w7753
<g/>
/
N	w7755
<g/>
.
Oe	w7757
<g/>
.
Regierungs	w7759
<g/>
=
und	w7761
Cantzley	w7762
<g/>
=
Haitzern	w7764
<g/>
/
s	w7766
<g/>
.
K	w7768
<g/>
.
An	w7770
<g/>
.
Cath	w7772
<g/>
.
<g/>
/
im	w7775
Vetera=nischen	w7776
<g/>
=
H	w7778
<g/>
.
in	w7780
der	w7781
Schaufler	w7782
<g/>
=
Gassen	w7784
<g/>
/
alt	w7786
3	w7787
<g/>
.
J	w7789
<g/>
.
Justina	w7791
Volkin	w7792
<g/>
/
ledigs	w7794
Mensch	w7795
<g/>
/
im	w7797
Fischeris	w7798
<g/>
.
H	w7800
<g/>
.
am	w7802
roten	w7803
Thurn	w7804
<g/>
/
alt	w7806
28	w7807
<g/>
.
J	w7809
<g/>
.
</list>
<head id="hl32">
Vor	w7811
der	w7812
Stadt	w7813
<g/>
.
</head>
<list id="">
Hr	w7815
<g/>
.
Jos	w7817
<g/>
.
Carl	w7819
Mayrhofer	w7820
<g/>
/
v	w7822
<g/>
.
Grünbichl	w7824
<g/>
/
K	w7826
<g/>
.
Tabor	w7828
<g/>
=
Maut	w7830
<g/>
/
Amts	w7832
<g/>
=
Ober	w7834
<g/>
=
Einnehmer	w7836
<g/>
/
im	w7838
Amt	w7839
<g/>
/
alt	w7841
34	w7842
<g/>
.
J	w7844
<g/>
.
Dem	w7846
Andre	w7847
Markl	w7848
<g/>
/
Hofbefr	w7850
<g/>
.
Gold	w7852
<g/>
=
Arbeitern	w7854
<g/>
/
s	w7856
<g/>
.
K	w7858
<g/>
.
M	w7860
<g/>
.
An	w7862
<g/>
.
<g/>
/
in	w7865
s	w7866
<g/>
.
H	w7868
<g/>
.
in	w7870
der	w7871
Alster	w7872
<g/>
=
Gassen	w7874
<g/>
/
alt	w7876
4	w7877
<g/>
.
J	w7879
<g/>
.
Marg	w7881
<g/>
.
Königin	w7883
<g/>
/
Wittib	w7885
<g/>
/
im	w7887
Stermacherisch	w7888
<g/>
.
H	w7890
<g/>
.
in	w7892
der	w7893
Alster	w7894
<g/>
=
Gassen	w7896
<g/>
/
alt	w7898
50	w7899
<g/>
.
J	w7901
<g/>
.
Mart	w7903
<g/>
.
Grechtl	w7905
<g/>
/
Geiger	w7907
<g/>
/
beym	w7909
golden	w7910
Schneken	w7911
auf	w7912
der	w7913
Wind	w7914
<g/>
=
Mill	w7916
<g/>
/
alt	w7918
88	w7919
<g/>
.
J	w7921
<g/>
.
</list>
</doc>
